municipio,codigo,area_km2,pop_2019,densidade_demog,IDHM_2010,PIB_pc_2017
Abdon Batista,4200051,237.517,2563,11.25,0.694,24214.96
Abelardo Luz,4200101,953.992,17904,17.94,0.696,33976.15
Agrolândia,4200200,206.815,10864,44.92,0.725,22980.77
Agronômica,4200309,129.774,5448,37.57,0.741,28610.56
Água Doce,4200408,1319.137,7145,5.3,0.698,41691.56
Águas de Chapecó,4200507,139.511,6486,43.7,0.713,15070.84
Águas Frias,4200556,76.631,2366,31.84,0.745,39069.51
Águas Mornas,4200606,326.66,6469,16.95,0.723,21778.19
Alfredo Wagner,4200705,733.489,10036,12.84,0.668,23062.64
Alto Bela Vista,4200754,103.433,1937,19.28,0.755,26224.78
Anchieta,4200804,232.348,5638,27.94,0.699,22163.72
Angelina,4200903,499.998,4801,10.5,0.687,19775.21
Anita Garibaldi,4201000,589.812,7133,14.67,0.688,18252.32
Anitápolis,4201109,540.636,3232,5.93,0.674,16456.38
Antônio Carlos,4201208,234.422,8513,32.62,0.749,69338.86
Apiúna,4201257,493.49,10743,19.46,0.708,39352.86
Arabutã,4201273,132.779,4267,31.57,0.733,29491.15
Araquari,4201307,386.693,38129,64.61,0.703,111317.12
Araranguá,4201406,301.819,68228,202.14,0.76,25697.19
Armazém,4201505,173.958,8674,44.67,0.77,19776.03
Arroio Trinta,4201604,93.53,3550,37.14,0.764,25864.9
Arvoredo,4201653,90.503,2240,24.9,0.715,38541.55
Ascurra,4201703,112.884,7934,66.83,0.742,24440.55
Atalanta,4201802,94.383,3210,35.03,0.733,30587.87
Aurora,4201901,207.045,5679,26.86,0.733,29321.67
Balneário Arroio do Silva,4201950,94.477,13071,100.63,0.746,12872.71
Balneário Camboriú,4202008,45.214,142295,2337.67,0.845,38061.55
Balneário Barra do Sul,4202057,108.914,10795,75.76,0.716,18226.15
Balneário Gaivota,4202073,146.834,10979,56.49,0.728,13519.95
Bandeirante,4202081,148.074,2678,19.72,0.672,22728.62
Barra Bonita,4202099,92.561,1677,20.09,0.701,22977.39
Barra Velha,4202107,138.947,29168,159.78,0.738,59902.18
Bela Vista do Toldo,4202131,535.682,6337,11.16,0.675,22101.49
Belmonte,4202156,93.852,2706,28.52,0.705,19673.06
Benedito Novo,4202206,388.291,11652,26.58,0.74,25739.56
Biguaçu,4202305,365.755,68481,156.94,0.739,24176.25
Blumenau,4202404,518.619,357199,595.97,0.806,45934.42
Bocaina do Sul,4202438,510.673,3474,6.42,0.647,19754.14
Bombinhas,4202453,35.143,19769,397.99,0.781,32125.78
Bom Jardim da Serra,4202503,938.516,4743,4.7,0.696,25530.42
Bom Jesus,4202537,63.883,3010,39.8,0.718,31523.38
Bom Jesus do Oeste,4202578,67.777,2142,31.78,0.712,24391.4
Bom Retiro,4202602,1057.034,9966,8.47,0.699,25946.2
Botuverá,4202701,296.256,5246,15.09,0.724,55425.59
Braço do Norte,4202800,212.045,33450,136.97,0.778,34745.45
Braço do Trombudo,4202859,89.411,3743,38.28,0.78,37172.77
Brunópolis,4202875,336.439,2420,8.46,0.661,30191.4
Brusque,4202909,284.675,134723,372.51,0.795,45676.36
Caçador,4203006,983.424,78595,71.89,0.735,39751.41
Caibi,4203105,173.079,6148,35.57,0.728,31788.15
Calmon,4203154,636.208,3346,5.31,0.622,18803.41
Camboriú,4203204,210.568,82989,293.68,0.726,17154.54
Capão Alto,4203253,1331.962,2525,2.06,0.654,38905.9
Campo Alegre,4203303,499.216,11978,23.54,0.714,37996.67
Campo Belo do Sul,4203402,1025.638,7016,7.28,0.641,30614.67
Campo Erê,4203501,479.161,8526,19.56,0.69,30171.82
Campos Novos,4203600,1717.697,36244,19.09,0.742,55010.59
Canelinha,4203709,151.008,12240,69.5,0.697,14865.54
Canoinhas,4203808,1148.036,54401,46.27,0.757,29051.81
Capinzal,4203907,244.057,22848,85.05,0.752,37208.2
Capivari de Baixo,4203956,53.222,24871,406.36,0.767,17681.16
Catanduvas,4204004,199.166,10861,48.43,0.714,36984.33
Caxambu do Sul,4204103,140.873,3642,31.35,0.691,31878.42
Celso Ramos,4204152,208.391,2728,13.3,0.719,19650.52
Cerro Negro,4204178,418.544,3124,8.58,0.621,22220.46
Chapadão do Lageado,4204194,124.866,2988,22.14,0.704,27933.29
Chapecó,4204202,624.846,220367,293.15,0.79,41683.33
Cocal do Sul,4204251,70.965,16684,213.13,0.78,42920.62
Concórdia,4204301,799.194,74641,85.79,0.8,43094.67
Cordilheira Alta,4204350,83.556,4453,45.46,0.747,50828.8
Coronel Freitas,4204400,233.698,9981,43.65,0.744,25316.31
Coronel Martins,4204459,107.502,2549,22.91,0.696,19053.55
Corupá,4204509,405.761,15909,34.39,0.78,35040.74
Correia Pinto,4204558,647.388,12795,22.71,0.702,46150.38
Criciúma,4204608,234.865,215186,815.87,0.788,33811.63
Cunha Porã,4204707,220.099,11086,48.7,0.742,46975.7
Cunhataí,4204756,54.811,1962,33.75,0.754,23522.09
Curitibanos,4204806,949.865,39745,39.79,0.721,37797.84
Descanso,4204905,287.057,8250,30.17,0.743,27241.18
Dionísio Cerqueira,4205001,378.843,15498,39.06,0.706,25916.36
Dona Emma,4205100,178.157,4146,20.54,0.742,24806.94
Doutor Pedrinho,4205159,374.205,4064,9.62,0.716,27923.23
Entre Rios,4205175,103.888,3203,28.87,0.657,14789.7
Ermo,4205191,65.311,2063,32.31,0.726,41409.78
Erval Velho,4205209,208.841,4412,20.99,0.723,31366.93
Faxinal dos Guedes,4205308,340.07,10667,31.38,0.758,40451.83
Flor do Sertão,4205357,58.457,1582,26.97,0.708,24995.49
Florianópolis,4205407,674.844,500973,623.68,0.847,40162.6
Formosa do Sul,4205431,100.408,2510,25.98,0.715,19503.5
Forquilhinha,4205456,183.351,26793,123.12,0.753,31294.89
Fraiburgo,4205506,549.188,36443,63.07,0.731,25027.5
Frei Rogério,4205555,158.775,2023,15.54,0.682,31359.7
Galvão,4205605,139.836,2873,28.47,0.708,21802.54
Garopaba,4205704,114.773,23078,157.17,0.753,24186.15
Garuva,4205803,503.595,18145,29.41,0.725,52084.6
Gaspar,4205902,386.616,69639,149.91,0.765,41905.48
Governador Celso Ramos,4206009,127.556,14471,110.93,0.747,20827.67
Grão Pará,4206108,334.362,6569,18.4,0.736,34832.26
Gravatal,4206207,165.718,11501,64.55,0.757,19677.75
Guabiruba,4206306,172.173,23832,105.51,0.754,39703.3
Guaraciaba,4206405,331.766,10090,31.78,0.751,27998.93
Guaramirim,4206504,267.514,44819,131,0.751,35841.52
Guarujá do Sul,4206603,100.63,5160,48.97,0.73,29311.09
Guatambú,4206652,206.196,4704,22.73,0.717,51729.51
Herval d'Oeste,4206702,216.581,22606,97.73,0.758,19172.13
Ibiam,4206751,146.009,1957,13.26,0.725,24059.24
Ibicaré,4206801,156.439,3202,21.65,0.708,29693.11
Ibirama,4206900,247.102,18950,70.06,0.737,22517.21
Içara,4207007,230.393,56421,200.42,0.741,38324.51
Ilhota,4207106,253.024,14184,48.86,0.738,49189.96
Imaruí,4207205,542.238,10135,21.51,0.667,17171.06
Imbituba,4207304,181.577,44853,219.59,0.765,35107.78
Imbuia,4207403,119.113,6197,46.38,0.713,20148.9
Indaial,4207502,430.799,69425,127.33,0.777,37591.23
Iomerê,4207577,113.986,2945,24.08,0.795,43605.87
Ipira,4207601,155.651,4446,30.74,0.736,18518.22
Iporã do Oeste,4207650,200.96,8996,42.1,0.759,28670.93
Ipuaçu,4207684,261.081,7514,26.06,0.66,30140.13
Ipumirim,4207700,245.921,7593,29.19,0.738,41445.5
Iraceminha,4207759,165.147,3976,26.06,0.722,23523.82
Irani,4207809,325.862,10419,29.26,0.742,20513.06
Irati,4207858,77.912,1930,26.78,0.707,17606.31
Irineópolis,4207908,589.698,11222,17.72,0.699,26880.79
Itá,4208005,166.265,6169,38.75,0.771,38268.38
Itaiópolis,4208104,1297.543,21669,15.67,0.708,32745.17
Itajaí,4208203,289.215,219536,636.11,0.795,103068.37
Itapema,4208302,58.21,65312,792.29,0.796,27752.25
Itapiranga,4208401,281.782,16872,54.51,0.775,45189.77
Itapoá,4208450,245.394,20576,59.43,0.761,36917.37
Ituporanga,4208500,336.588,25086,66.04,0.748,33774.95
Jaborá,4208609,182.483,3936,21.05,0.732,35538.64
Jacinto Machado,4208708,430.704,10416,24.59,0.716,30211.94
Jaguaruna,4208807,326.362,20024,52.66,0.721,24239.44
Jaraguá do Sul,4208906,530.894,177697,270.28,0.803,49925.22
Jardinópolis,4208955,68.499,1570,26.09,0.709,23198.6
Joaçaba,4209003,241.637,30118,116.35,0.827,53259.48
Joinville,4209102,1127.946,590466,457.58,0.809,47442.9
José Boiteux,4209151,405.552,4997,11.65,0.694,22253.16
Jupiá,4209177,91.448,2101,23.33,0.719,24811.35
Lacerdópolis,4209201,69.036,2246,31.92,0.781,41334.21
Lages,4209300,2637.66,157544,59.56,0.77,32011.96
Laguna,4209409,333.26,45814,116.77,0.752,18576.02
Lajeado Grande,4209458,65.348,1427,22.82,0.771,27094.75
Laurentino,4209508,79.333,6970,75.44,0.749,37911.29
Lauro Müller,4209607,271.852,15244,53.06,0.735,23447.11
Lebon Régis,4209706,941.64,12107,12.57,0.649,18425.75
Leoberto Leal,4209805,293.6,3041,11.56,0.686,29640.02
Lindóia do Sul,4209854,190.171,4563,24.61,0.743,23718.94
Lontras,4209904,197.586,12130,51.97,0.704,26684.86
Luiz Alves,4210001,260.106,12859,40.16,0.737,45995.95
Luzerna,4210035,117.099,5685,47.3,0.789,27843.14
Macieira,4210050,261.208,1775,7.03,0.662,23984.48
Mafra,4210100,1404.084,56292,37.69,0.777,29691.89
Major Gercino,4210209,306.058,3442,11.48,0.698,13542.33
Major Vieira,4210308,520.816,8103,14.23,0.69,23206.5
Maracajá,4210407,62.902,7293,102.52,0.768,25351.95
Maravilha,4210506,170.339,25762,129.03,0.781,42071.65
Marema,4210555,104.184,1797,21.17,0.743,31692.1
Massaranduba,4210605,374.459,16916,39.23,0.774,35791.94
Matos Costa,4210704,435.391,2520,6.56,0.657,18525.14
Meleiro,4210803,186.439,7015,37.42,0.738,34345.31
Mirim Doce,4210852,337.991,2309,7.49,0.708,23225.75
Modelo,4210902,92.346,4209,44.4,0.76,25774.79
Mondaí,4211009,200.276,11742,50.61,0.748,50555.54
Monte Carlo,4211058,191.278,9866,48.12,0.643,14007.04
Monte Castelo,4211108,560.743,8275,14.55,0.675,18765.23
Morro da Fumaça,4211207,82.818,17796,194.01,0.738,36240.1
Morro Grande,4211256,260.143,2893,11.19,0.701,45739.58
Navegantes,4211306,111.377,81475,540.56,0.736,53237.11
Nova Erechim,4211405,65.087,5019,65.88,0.765,31663.29
Nova Itaberaba,4211454,137.388,4331,31.02,0.736,29151.17
Nova Trento,4211504,402.852,14549,30.26,0.748,37131.33
Nova Veneza,4211603,295.061,15166,45.11,0.768,47637.55
Novo Horizonte,4211652,151.722,2442,18.11,0.706,32078.77
Orleans,4211702,549.859,22912,38.98,0.755,42795.88
Otacílio Costa,4211751,847.253,18744,19.33,0.74,37986.72
Ouro,4211801,213.543,7295,34.5,0.774,21722.5
Ouro Verde,4211850,188.568,2217,12,0.695,38411.9
Paial,4211876,86.048,1505,20.56,0.718,24667.43
Painel,4211892,738.331,2359,3.18,0.664,24231.62
Palhoça,4211900,394.85,171797,347.56,0.757,29298.08
Palma Sola,4212007,330.878,7423,23.52,0.704,26720.39
Palmeira,4212056,289.097,2627,8.2,0.671,41147.02
Palmitos,4212106,351.051,16169,45.45,0.737,35361.19
