"data","LB","UB","R0"
2021-08-18,0.945,1.027,0.986
2021-08-19,0.907,0.976,0.942
2021-08-20,0.965,1.02,0.993
2021-08-21,0.937,0.979,0.958
2021-08-22,0.88,0.911,0.896
2021-08-23,0.852,0.879,0.865
2021-08-24,0.837,0.864,0.851
2021-08-25,0.818,0.847,0.832
2021-08-26,0.8,0.833,0.816
2021-08-27,0.8,0.837,0.818
2021-08-28,0.788,0.828,0.808
2021-08-29,0.788,0.831,0.81
2021-08-30,0.794,0.842,0.818
2021-08-31,0.811,0.858,0.835
2021-09-01,0.83,0.877,0.853
2021-09-02,0.849,0.896,0.873
2021-09-03,0.905,0.948,0.927
2021-09-04,0.926,0.965,0.946
2021-09-05,0.946,0.985,0.965
2021-09-06,0.99,1.028,1.009
2021-09-07,1.047,1.086,1.066
2021-09-08,1.072,1.109,1.091
2021-09-09,1.076,1.119,1.097
2021-09-10,1.127,1.175,1.151
2021-09-11,1.162,1.214,1.188
2021-09-12,1.163,1.216,1.189
2021-09-13,1.165,1.22,1.193
2021-09-14,1.181,1.237,1.209
2021-09-15,1.179,1.234,1.206
2021-09-16,1.149,1.2,1.174
2021-09-17,1.116,1.169,1.143
2021-09-18,1.077,1.128,1.102
2021-09-19,1.055,1.104,1.079
2021-09-20,1.032,1.078,1.055
2021-09-21,1,1.041,1.021
2021-09-22,0.975,1.017,0.996
2021-09-23,0.942,0.983,0.963
2021-09-24,0.917,0.956,0.936
2021-09-25,0.892,0.932,0.912
2021-09-26,0.863,0.902,0.882
2021-09-27,0.828,0.869,0.848
2021-09-28,0.811,0.851,0.831
2021-09-29,0.799,0.84,0.819
2021-09-30,0.804,0.844,0.824
2021-10-01,0.817,0.856,0.837
2021-10-02,0.816,0.853,0.835
2021-10-03,0.839,0.876,0.858
2021-10-04,0.855,0.892,0.873
2021-10-05,0.863,0.901,0.882
2021-10-06,0.868,0.903,0.885
2021-10-07,0.887,0.922,0.904
2021-10-08,0.905,0.942,0.923
2021-10-09,0.932,0.97,0.951
2021-10-10,0.972,1.012,0.992
2021-10-11,0.978,1.019,0.999
