"data","R0","LB","UB"
2021-08-04,1.001,0.973,1.028
2021-08-05,0.994,0.968,1.019
2021-08-06,0.963,0.939,0.986
2021-08-07,0.966,0.945,0.988
2021-08-08,0.978,0.957,0.998
2021-08-09,0.972,0.953,0.991
2021-08-10,0.984,0.967,1.002
2021-08-11,0.984,0.967,1
2021-08-12,0.983,0.967,0.998
2021-08-13,0.979,0.964,0.995
2021-08-14,0.976,0.961,0.991
2021-08-15,0.947,0.932,0.961
2021-08-16,0.937,0.922,0.951
2021-08-17,0.948,0.933,0.964
2021-08-18,0.952,0.937,0.967
2021-08-19,0.955,0.94,0.97
2021-08-20,0.947,0.932,0.963
2021-08-21,0.955,0.939,0.972
2021-08-22,0.946,0.929,0.963
2021-08-23,0.948,0.93,0.967
2021-08-24,0.973,0.955,0.991
2021-08-25,0.94,0.922,0.958
2021-08-26,0.944,0.926,0.961
2021-08-27,0.936,0.918,0.954
2021-08-28,0.981,0.963,0.999
2021-08-29,0.98,0.963,0.996
2021-08-30,0.974,0.956,0.991
2021-08-31,0.964,0.946,0.981
2021-09-01,0.969,0.951,0.986
2021-09-02,0.971,0.955,0.987
2021-09-03,0.978,0.962,0.993
2021-09-04,0.988,0.972,1.004
2021-09-05,0.983,0.966,1
2021-09-06,0.962,0.944,0.979
2021-09-07,0.975,0.958,0.992
2021-09-08,0.999,0.981,1.017
2021-09-09,0.999,0.983,1.015
2021-09-10,1.001,0.985,1.016
2021-09-11,1.016,1,1.032
2021-09-12,1.014,0.999,1.029
2021-09-13,1.019,1.003,1.034
2021-09-14,1.026,1.009,1.043
2021-09-15,1.029,1.011,1.046
2021-09-16,1.038,1.019,1.057
2021-09-17,1.029,1.009,1.048
2021-09-18,1.028,1.007,1.048
2021-09-19,0.988,0.969,1.006
2021-09-20,0.991,0.972,1.011
2021-09-21,0.987,0.968,1.007
2021-09-22,0.988,0.969,1.007
2021-09-23,0.986,0.967,1.005
2021-09-24,0.987,0.969,1.006
2021-09-25,1.02,1.001,1.038
2021-09-26,0.995,0.977,1.013
2021-09-27,0.999,0.982,1.016
2021-09-28,0.993,0.975,1.01
2021-09-29,0.971,0.953,0.988
2021-09-30,0.97,0.952,0.987
2021-10-01,0.971,0.954,0.988
2021-10-02,1.004,0.987,1.021
2021-10-03,1.007,0.99,1.024
2021-10-04,1.009,0.991,1.026
2021-10-05,1.002,0.984,1.021
2021-10-06,0.981,0.963,1
2021-10-07,0.989,0.971,1.008
2021-10-08,0.985,0.966,1.003
2021-10-09,0.991,0.971,1.01
2021-10-10,0.963,0.944,0.981
2021-10-11,0.975,0.957,0.994
2021-10-12,0.969,0.95,0.987
2021-10-13,0.988,0.97,1.006
2021-10-14,0.993,0.976,1.011
2021-10-15,0.965,0.947,0.983
2021-10-16,0.99,0.972,1.007
2021-10-17,0.991,0.974,1.008
2021-10-18,0.985,0.968,1.003
2021-10-19,0.982,0.964,0.999
2021-10-20,0.934,0.916,0.952
2021-10-21,0.933,0.915,0.951
2021-10-22,0.952,0.935,0.969
2021-10-23,0.95,0.933,0.966
2021-10-24,0.927,0.912,0.943
2021-10-25,0.925,0.91,0.939
2021-10-26,0.917,0.902,0.932
2021-10-27,0.905,0.89,0.92
2021-10-28,0.919,0.904,0.935
2021-10-29,0.892,0.877,0.908
2021-10-30,0.92,0.903,0.936
2021-10-31,0.916,0.899,0.933
2021-11-01,0.902,0.885,0.919
2021-11-02,0.888,0.871,0.904
2021-11-03,0.888,0.871,0.905
2021-11-04,0.911,0.894,0.927
2021-11-05,0.906,0.889,0.922
2021-11-06,0.903,0.888,0.919
2021-11-07,0.908,0.893,0.924
2021-11-08,0.905,0.888,0.921
2021-11-09,0.91,0.893,0.927
2021-11-10,0.908,0.891,0.925
2021-11-11,0.903,0.885,0.921
2021-11-12,0.911,0.893,0.929
2021-11-13,0.932,0.913,0.95
2021-11-14,0.912,0.894,0.931
2021-11-15,0.911,0.893,0.929
2021-11-16,0.886,0.868,0.905
2021-11-17,0.89,0.871,0.909
2021-11-18,0.884,0.864,0.904
2021-11-19,0.877,0.858,0.896
2021-11-20,0.925,0.906,0.945
2021-11-21,0.913,0.894,0.933
2021-11-22,0.914,0.895,0.933
2021-11-23,0.922,0.902,0.941
2021-11-24,0.929,0.911,0.948
2021-11-25,0.928,0.909,0.948
2021-11-26,0.936,0.916,0.957
2021-11-27,0.911,0.891,0.931
2021-11-28,0.91,0.89,0.93
2021-11-29,0.908,0.887,0.928
2021-11-30,0.923,0.902,0.944
2021-12-01,0.946,0.925,0.966
2021-12-02,0.943,0.922,0.964
2021-12-03,0.966,0.943,0.988
2021-12-04,0.965,0.944,0.987
2021-12-05,0.982,0.96,1.005
2021-12-06,0.988,0.966,1.01
2021-12-07,0.977,0.955,0.999
2021-12-08,0.985,0.964,1.006
2021-12-09,1,0.979,1.021
2021-12-10,0.996,0.976,1.016
2021-12-11,1.028,1.009,1.048
2021-12-12,1.058,1.04,1.076
2021-12-13,1.074,1.057,1.091
2021-12-14,1.089,1.071,1.107
2021-12-15,1.106,1.088,1.124
2021-12-16,1.134,1.114,1.153
2021-12-17,1.186,1.165,1.206
2021-12-18,1.201,1.179,1.224
2021-12-19,1.212,1.188,1.235
2021-12-20,1.24,1.215,1.265
2021-12-21,1.271,1.245,1.297
2021-12-22,1.269,1.242,1.295
2021-12-23,1.281,1.254,1.308
2021-12-24,1.292,1.263,1.32
2021-12-25,1.297,1.267,1.327
2021-12-26,1.324,1.292,1.357
2021-12-27,1.417,1.383,1.451
2021-12-28,1.355,1.321,1.388
2021-12-29,1.349,1.316,1.381
2021-12-30,1.362,1.331,1.392
2021-12-31,1.362,1.33,1.393
2022-01-01,1.379,1.349,1.41
2022-01-02,1.4,1.369,1.431
2022-01-03,1.381,1.35,1.412
2022-01-04,1.459,1.429,1.489
2022-01-05,1.45,1.421,1.48
2022-01-06,1.472,1.443,1.501
2022-01-07,1.474,1.445,1.504
2022-01-08,1.459,1.426,1.492
2022-01-09,1.399,1.365,1.433
2022-01-10,1.377,1.342,1.411
2022-01-11,1.391,1.357,1.426
2022-01-12,1.391,1.354,1.428
2022-01-13,1.406,1.368,1.445
2022-01-14,1.402,1.36,1.443
2022-01-15,1.356,1.311,1.4
2022-01-16,1.395,1.35,1.44
2022-01-17,1.338,1.289,1.388
2022-01-18,1.306,1.254,1.358
2022-01-19,1.338,1.284,1.392
2022-01-20,1.329,1.274,1.384
2022-01-21,1.338,1.282,1.393
2022-01-22,1.34,1.285,1.396
2022-01-23,1.358,1.3,1.417
2022-01-24,1.372,1.313,1.43
2022-01-25,1.373,1.313,1.432
2022-01-26,1.369,1.309,1.429
2022-01-27,1.383,1.322,1.445
2022-01-28,1.353,1.291,1.415
2022-01-29,1.351,1.289,1.414
2022-01-30,1.314,1.251,1.377
2022-01-31,1.317,1.252,1.381
2022-02-01,1.324,1.258,1.389
