"data","R0","LB","UB"
2021-06-23,0.972,0.965,0.979
2021-06-24,0.973,0.966,0.98
2021-06-25,0.97,0.963,0.977
2021-06-26,0.969,0.962,0.975
2021-06-27,0.974,0.968,0.981
2021-06-28,0.973,0.967,0.98
2021-06-29,0.974,0.968,0.981
2021-06-30,0.974,0.968,0.98
2021-07-01,0.972,0.966,0.978
2021-07-02,0.975,0.969,0.981
2021-07-03,0.975,0.969,0.981
2021-07-04,0.98,0.974,0.985
2021-07-05,0.975,0.97,0.981
2021-07-06,0.976,0.971,0.981
2021-07-07,0.976,0.97,0.981
2021-07-08,0.975,0.97,0.98
2021-07-09,0.973,0.967,0.978
2021-07-10,0.974,0.969,0.979
2021-07-11,0.974,0.969,0.979
2021-07-12,0.972,0.967,0.977
2021-07-13,0.975,0.971,0.98
2021-07-14,0.979,0.974,0.983
2021-07-15,0.977,0.973,0.982
2021-07-16,0.98,0.976,0.985
2021-07-17,0.98,0.976,0.985
2021-07-18,0.976,0.971,0.981
2021-07-19,0.973,0.969,0.977
2021-07-20,0.97,0.966,0.974
2021-07-21,0.969,0.965,0.974
2021-07-22,0.973,0.968,0.977
2021-07-23,0.972,0.967,0.977
2021-07-24,0.973,0.969,0.977
2021-07-25,0.973,0.968,0.977
2021-07-26,0.972,0.968,0.977
2021-07-27,0.972,0.968,0.977
2021-07-28,0.972,0.968,0.977
2021-07-29,0.973,0.968,0.977
2021-07-30,0.973,0.968,0.978
2021-07-31,0.965,0.961,0.97
2021-08-01,0.965,0.96,0.969
2021-08-02,0.965,0.96,0.969
2021-08-03,0.969,0.965,0.974
2021-08-04,0.968,0.964,0.972
2021-08-05,0.968,0.964,0.973
2021-08-06,0.969,0.964,0.973
2021-08-07,0.967,0.963,0.972
2021-08-08,0.969,0.964,0.974
2021-08-09,0.96,0.955,0.965
2021-08-10,0.964,0.959,0.968
2021-08-11,0.963,0.959,0.968
2021-08-12,0.962,0.958,0.967
2021-08-13,0.963,0.959,0.967
2021-08-14,0.963,0.958,0.967
2021-08-15,0.96,0.956,0.965
2021-08-16,0.964,0.959,0.968
2021-08-17,0.967,0.963,0.972
2021-08-18,0.966,0.962,0.97
2021-08-19,0.961,0.957,0.966
2021-08-20,0.962,0.957,0.966
2021-08-21,0.96,0.956,0.965
2021-08-22,0.965,0.961,0.969
2021-08-23,0.964,0.96,0.968
2021-08-24,0.965,0.961,0.969
2021-08-25,0.962,0.959,0.966
2021-08-26,0.959,0.955,0.963
2021-08-27,0.959,0.955,0.963
2021-08-28,0.96,0.956,0.964
2021-08-29,0.959,0.956,0.963
2021-08-30,0.959,0.955,0.963
2021-08-31,0.959,0.955,0.963
2021-09-01,0.96,0.956,0.964
2021-09-02,0.96,0.955,0.964
2021-09-03,0.959,0.954,0.963
2021-09-04,0.96,0.956,0.964
2021-09-05,0.96,0.956,0.964
2021-09-06,0.956,0.952,0.96
2021-09-07,0.958,0.954,0.962
2021-09-08,0.957,0.953,0.961
2021-09-09,0.956,0.952,0.96
2021-09-10,0.956,0.952,0.96
2021-09-11,0.957,0.952,0.961
2021-09-12,0.957,0.952,0.961
2021-09-13,0.956,0.952,0.961
2021-09-14,0.956,0.951,0.96
2021-09-15,0.955,0.951,0.96
2021-09-16,0.955,0.95,0.96
2021-09-17,0.954,0.949,0.959
2021-09-18,0.954,0.95,0.959
2021-09-19,0.953,0.949,0.958
2021-09-20,0.958,0.953,0.963
2021-09-21,0.959,0.954,0.964
2021-09-22,0.958,0.953,0.963
2021-09-23,0.957,0.952,0.962
2021-09-24,0.948,0.943,0.953
2021-09-25,0.949,0.944,0.954
2021-09-26,0.949,0.944,0.953
2021-09-27,0.953,0.948,0.958
2021-09-28,0.951,0.946,0.957
2021-09-29,0.953,0.948,0.958
2021-09-30,0.952,0.947,0.957
2021-10-01,0.951,0.946,0.956
2021-10-02,0.944,0.939,0.949
2021-10-03,0.942,0.936,0.947
2021-10-04,0.944,0.939,0.949
2021-10-05,0.944,0.939,0.949
2021-10-06,0.945,0.94,0.95
2021-10-07,0.945,0.94,0.95
2021-10-08,0.944,0.939,0.949
2021-10-09,0.943,0.938,0.947
2021-10-10,0.941,0.936,0.946
2021-10-11,0.942,0.937,0.948
2021-10-12,0.94,0.935,0.945
2021-10-13,0.941,0.936,0.946
2021-10-14,0.94,0.934,0.945
2021-10-15,0.939,0.934,0.945
2021-10-16,0.936,0.931,0.942
2021-10-17,0.934,0.929,0.94
2021-10-18,0.936,0.93,0.941
2021-10-19,0.935,0.93,0.94
2021-10-20,0.935,0.929,0.94
2021-10-21,0.934,0.928,0.94
2021-10-22,0.937,0.931,0.943
2021-10-23,0.931,0.925,0.937
2021-10-24,0.93,0.924,0.936
2021-10-25,0.925,0.918,0.931
2021-10-26,0.926,0.919,0.932
2021-10-27,0.924,0.918,0.931
2021-10-28,0.923,0.916,0.93
2021-10-29,0.922,0.915,0.929
2021-10-30,0.922,0.915,0.929
2021-10-31,0.932,0.925,0.938
2021-11-01,0.924,0.917,0.931
2021-11-02,0.924,0.917,0.931
2021-11-03,0.927,0.92,0.933
2021-11-04,0.927,0.92,0.934
2021-11-05,0.927,0.921,0.934
2021-11-06,0.926,0.92,0.933
2021-11-07,0.927,0.921,0.934
2021-11-08,0.928,0.921,0.935
2021-11-09,0.924,0.917,0.931
2021-11-10,0.921,0.914,0.928
2021-11-11,0.919,0.912,0.927
2021-11-12,0.93,0.922,0.938
2021-11-13,0.93,0.922,0.938
2021-11-14,0.933,0.925,0.941
2021-11-15,0.932,0.924,0.941
2021-11-16,0.932,0.924,0.941
2021-11-17,0.933,0.924,0.941
2021-11-18,0.935,0.926,0.944
2021-11-19,0.935,0.926,0.944
2021-11-20,0.934,0.925,0.943
2021-11-21,0.933,0.923,0.942
2021-11-22,0.924,0.914,0.933
2021-11-23,0.922,0.913,0.932
2021-11-24,0.923,0.914,0.933
2021-11-25,0.916,0.906,0.925
2021-11-26,0.919,0.909,0.929
2021-11-27,0.919,0.909,0.93
2021-11-28,0.919,0.909,0.93
2021-11-29,0.914,0.903,0.925
2021-11-30,0.914,0.903,0.925
2021-12-01,0.913,0.902,0.925
2021-12-02,0.913,0.901,0.924
2021-12-03,0.913,0.901,0.924
2021-12-04,0.904,0.893,0.916
2021-12-05,0.909,0.897,0.92
2021-12-06,0.937,0.925,0.948
2021-12-07,0.936,0.924,0.947
2021-12-08,0.937,0.926,0.948
2021-12-09,0.941,0.929,0.952
2021-12-10,0.946,0.935,0.958
2021-12-11,0.945,0.934,0.957
2021-12-12,0.938,0.927,0.95
2021-12-13,0.939,0.927,0.951
2021-12-14,0.935,0.923,0.947
2021-12-15,0.934,0.923,0.946
2021-12-16,0.935,0.923,0.946
2021-12-17,0.937,0.925,0.949
2021-12-18,0.941,0.928,0.953
2021-12-19,0.921,0.908,0.933
2021-12-20,0.934,0.922,0.946
2021-12-21,0.919,0.907,0.932
