"data","R0","LB","UB"
2021-10-06,1.052,1.012,1.091
2021-10-07,1.087,1.05,1.123
2021-10-08,1.08,1.049,1.112
2021-10-09,1.085,1.058,1.112
2021-10-10,1.065,1.042,1.089
2021-10-11,1.053,1.032,1.074
2021-10-12,1.035,1.016,1.055
2021-10-13,1.086,1.068,1.104
2021-10-14,1.074,1.057,1.092
2021-10-15,1.046,1.028,1.064
2021-10-16,1.026,1.01,1.042
2021-10-17,1.021,1.003,1.038
2021-10-18,1.038,1.019,1.056
2021-10-19,0.997,0.977,1.016
2021-10-20,0.966,0.947,0.986
2021-10-21,0.97,0.95,0.99
2021-10-22,0.962,0.943,0.981
2021-10-23,0.962,0.943,0.982
2021-10-24,0.957,0.937,0.978
2021-10-25,0.974,0.953,0.994
2021-10-26,0.959,0.94,0.979
2021-10-27,0.929,0.909,0.948
2021-10-28,0.936,0.916,0.955
2021-10-29,0.956,0.936,0.976
2021-10-30,0.935,0.915,0.954
2021-10-31,0.935,0.914,0.955
2021-11-01,0.944,0.923,0.964
2021-11-02,0.953,0.933,0.972
2021-11-03,0.99,0.969,1.01
2021-11-04,0.993,0.974,1.013
2021-11-05,0.99,0.97,1.01
2021-11-06,0.935,0.915,0.954
2021-11-07,0.941,0.921,0.96
2021-11-08,0.949,0.931,0.967
2021-11-09,0.941,0.921,0.96
2021-11-10,0.954,0.935,0.974
2021-11-11,0.935,0.915,0.956
2021-11-12,0.922,0.902,0.942
2021-11-13,0.92,0.898,0.942
2021-11-14,0.983,0.961,1.006
2021-11-15,0.972,0.95,0.994
2021-11-16,0.963,0.941,0.984
2021-11-17,0.952,0.931,0.974
2021-11-18,0.931,0.91,0.952
2021-11-19,0.955,0.933,0.976
2021-11-20,0.93,0.91,0.95
2021-11-21,0.916,0.898,0.935
2021-11-22,0.901,0.882,0.921
2021-11-23,0.901,0.881,0.921
2021-11-24,0.902,0.882,0.923
2021-11-25,0.901,0.881,0.921
2021-11-26,0.898,0.878,0.918
2021-11-27,0.905,0.883,0.926
2021-11-28,0.904,0.884,0.925
2021-11-29,0.924,0.902,0.946
2021-11-30,0.894,0.87,0.917
2021-12-01,0.916,0.892,0.939
2021-12-02,0.926,0.903,0.949
2021-12-03,0.924,0.902,0.947
2021-12-04,0.941,0.918,0.965
2021-12-05,0.986,0.963,1.01
2021-12-06,0.952,0.927,0.977
2021-12-07,0.976,0.953,0.999
2021-12-08,1.009,0.985,1.032
2021-12-09,1.045,1.021,1.069
2021-12-10,1.093,1.069,1.117
2021-12-11,1.107,1.081,1.133
2021-12-12,1.132,1.106,1.159
2021-12-13,1.115,1.088,1.142
2021-12-14,1.21,1.183,1.237
2021-12-15,1.254,1.227,1.281
2021-12-16,1.303,1.274,1.331
2021-12-17,1.333,1.303,1.362
2021-12-18,1.371,1.343,1.4
2021-12-19,1.416,1.388,1.444
2021-12-20,1.429,1.4,1.458
2021-12-21,1.434,1.406,1.462
2021-12-22,1.481,1.453,1.509
2021-12-23,1.514,1.487,1.542
2021-12-24,1.559,1.53,1.589
2021-12-25,1.597,1.565,1.629
2021-12-26,1.627,1.596,1.657
2021-12-27,1.64,1.609,1.672
2021-12-28,1.632,1.597,1.666
2021-12-29,1.697,1.663,1.732
2021-12-30,1.693,1.657,1.729
2021-12-31,1.534,1.497,1.57
2022-01-01,1.529,1.493,1.564
2022-01-02,1.536,1.501,1.571
2022-01-03,1.547,1.513,1.58
2022-01-04,1.512,1.481,1.544
2022-01-05,1.5,1.469,1.531
2022-01-06,1.424,1.395,1.452
2022-01-07,1.377,1.353,1.402
2022-01-08,1.318,1.294,1.343
2022-01-09,1.272,1.248,1.296
2022-01-10,1.214,1.19,1.238
2022-01-11,1.224,1.2,1.249
2022-01-12,1.182,1.159,1.206
2022-01-13,1.147,1.124,1.17
2022-01-14,1.089,1.066,1.112
2022-01-15,1.049,1.028,1.07
2022-01-16,1.009,0.988,1.029
2022-01-17,0.955,0.934,0.976
2022-01-18,0.925,0.904,0.945
2022-01-19,0.896,0.875,0.918
2022-01-20,0.863,0.842,0.884
2022-01-21,0.884,0.863,0.905
2022-01-22,0.875,0.854,0.896
2022-01-23,0.871,0.851,0.891
2022-01-24,0.854,0.834,0.874
2022-01-25,0.801,0.783,0.819
2022-01-26,0.79,0.771,0.808
2022-01-27,0.76,0.741,0.78
2022-01-28,0.758,0.738,0.778
2022-01-29,0.746,0.727,0.766
2022-01-30,0.76,0.74,0.779
2022-01-31,0.742,0.722,0.762
2022-02-01,0.751,0.731,0.77
2022-02-02,0.788,0.768,0.808
2022-02-03,0.783,0.763,0.802
2022-02-04,0.78,0.76,0.799
2022-02-05,0.761,0.742,0.781
2022-02-06,0.749,0.731,0.768
2022-02-07,0.755,0.738,0.773
2022-02-08,0.751,0.733,0.769
2022-02-09,0.78,0.763,0.797
2022-02-10,0.783,0.766,0.8
2022-02-11,0.758,0.739,0.778
2022-02-12,0.791,0.771,0.81
2022-02-13,0.759,0.74,0.778
2022-02-14,0.775,0.756,0.793
2022-02-15,0.798,0.78,0.816
2022-02-16,0.793,0.775,0.81
2022-02-17,0.798,0.78,0.816
2022-02-18,0.8,0.782,0.819
2022-02-19,0.822,0.803,0.841
2022-02-20,0.832,0.812,0.852
2022-02-21,0.841,0.821,0.861
2022-02-22,0.857,0.836,0.879
2022-02-23,0.825,0.803,0.847
2022-02-24,0.808,0.788,0.828
2022-02-25,0.83,0.811,0.85
2022-02-26,0.842,0.822,0.863
2022-02-27,0.84,0.82,0.86
2022-02-28,0.862,0.841,0.882
2022-03-01,0.859,0.839,0.879
2022-03-02,0.854,0.835,0.874
2022-03-03,0.87,0.851,0.89
2022-03-04,0.874,0.855,0.893
2022-03-05,0.874,0.856,0.893
2022-03-06,0.887,0.867,0.907
2022-03-07,0.904,0.883,0.924
2022-03-08,0.903,0.883,0.923
2022-03-09,0.876,0.856,0.897
2022-03-10,0.886,0.867,0.905
2022-03-11,0.879,0.86,0.898
2022-03-12,0.873,0.855,0.892
2022-03-13,0.891,0.872,0.911
2022-03-14,0.867,0.847,0.888
2022-03-15,0.876,0.855,0.897
2022-03-16,0.867,0.845,0.888
2022-03-17,0.91,0.887,0.933
2022-03-18,0.846,0.82,0.872
2022-03-19,0.887,0.858,0.915
2022-03-20,0.877,0.848,0.907
2022-03-21,0.867,0.837,0.896
2022-03-22,0.865,0.834,0.896
2022-03-23,0.844,0.814,0.875
2022-03-24,0.841,0.806,0.875
2022-03-25,0.811,0.773,0.849
2022-03-26,0.805,0.767,0.844
2022-03-27,0.794,0.75,0.837
2022-03-28,0.823,0.778,0.869
2022-03-29,0.819,0.771,0.866
2022-03-30,0.818,0.769,0.867
