"data","R0","LB","UB"
2021-01-13,1.16,1.14,1.19
2021-01-14,1.16,1.13,1.18
2021-01-15,1.13,1.11,1.15
2021-01-16,1.15,1.14,1.17
2021-01-17,1.15,1.13,1.16
2021-01-18,1.17,1.16,1.18
2021-01-19,1.17,1.16,1.19
2021-01-20,1.18,1.16,1.19
2021-01-21,1.15,1.14,1.17
2021-01-22,1.16,1.14,1.17
2021-01-23,1.15,1.14,1.17
2021-01-24,1.16,1.15,1.17
2021-01-25,1.17,1.16,1.19
2021-01-26,1.18,1.17,1.19
2021-01-27,1.18,1.17,1.2
2021-01-28,1.19,1.18,1.2
2021-01-29,1.21,1.2,1.22
2021-01-30,1.21,1.2,1.23
2021-01-31,1.22,1.21,1.23
2021-02-01,1.2,1.19,1.22
2021-02-02,1.21,1.19,1.22
2021-02-03,1.22,1.21,1.24
2021-02-04,1.21,1.19,1.22
2021-02-05,1.22,1.2,1.23
2021-02-06,1.2,1.19,1.22
2021-02-07,1.21,1.19,1.22
2021-02-08,1.2,1.18,1.21
2021-02-09,1.2,1.18,1.21
2021-02-10,1.17,1.15,1.18
2021-02-11,1.15,1.13,1.17
2021-02-12,1.13,1.12,1.15
2021-02-13,1.13,1.11,1.14
2021-02-14,1.11,1.09,1.12
2021-02-15,1.08,1.07,1.1
2021-02-16,1.08,1.06,1.09
2021-02-17,1.06,1.05,1.07
2021-02-18,1.04,1.03,1.05
2021-02-19,1.02,1.01,1.03
2021-02-20,1.01,1,1.02
2021-02-21,0.99,0.98,1.01
2021-02-22,0.97,0.95,0.98
2021-02-23,0.95,0.94,0.97
2021-02-24,0.91,0.89,0.92
2021-02-25,0.89,0.88,0.91
2021-02-26,0.87,0.86,0.89
2021-02-27,0.88,0.87,0.9
2021-02-28,0.85,0.84,0.86
2021-03-01,0.85,0.84,0.86
2021-03-02,0.85,0.84,0.86
2021-03-03,0.82,0.81,0.83
2021-03-04,0.82,0.81,0.83
2021-03-05,0.8,0.79,0.81
2021-03-06,0.8,0.79,0.81
2021-03-07,0.81,0.79,0.82
2021-03-08,0.8,0.79,0.81
2021-03-09,0.78,0.77,0.79
2021-03-10,0.78,0.77,0.79
2021-03-11,0.77,0.76,0.79
2021-03-12,0.78,0.77,0.79
2021-03-13,0.78,0.77,0.79
2021-03-14,0.78,0.77,0.8
2021-03-15,0.79,0.78,0.8
2021-03-16,0.79,0.77,0.8
2021-03-17,0.78,0.77,0.79
2021-03-18,0.77,0.76,0.78
2021-03-19,0.8,0.79,0.82
2021-03-20,0.82,0.81,0.84
2021-03-21,0.82,0.81,0.83
2021-03-22,0.83,0.82,0.84
2021-03-23,0.83,0.82,0.85
2021-03-24,0.84,0.83,0.86
2021-03-25,0.85,0.83,0.86
2021-03-26,0.86,0.84,0.87
2021-03-27,0.87,0.86,0.88
2021-03-28,0.86,0.85,0.87
2021-03-29,0.89,0.88,0.9
2021-03-30,0.9,0.89,0.91
2021-03-31,0.9,0.89,0.92
2021-04-01,0.9,0.88,0.91
2021-04-02,0.93,0.91,0.94
2021-04-03,0.93,0.91,0.94
2021-04-04,0.95,0.94,0.97
2021-04-05,0.95,0.94,0.96
2021-04-06,0.97,0.96,0.99
2021-04-07,0.97,0.96,0.99
2021-04-08,1,0.99,1.02
2021-04-09,0.99,0.98,1.01
2021-04-10,1.03,1.01,1.04
2021-04-11,1.04,1.02,1.05
2021-04-12,1.04,1.02,1.05
2021-04-13,1.04,1.03,1.06
2021-04-14,1.03,1.02,1.04
2021-04-15,1.03,1.02,1.05
2021-04-16,1.06,1.05,1.07
2021-04-17,1.07,1.06,1.08
2021-04-18,1.08,1.07,1.1
2021-04-19,1.07,1.05,1.08
2021-04-20,1.06,1.05,1.07
2021-04-21,1.07,1.06,1.08
2021-04-22,1.07,1.06,1.09
2021-04-23,1.07,1.06,1.09
2021-04-24,1.07,1.06,1.08
2021-04-25,1.07,1.06,1.08
2021-04-26,1.07,1.06,1.09
2021-04-27,1.07,1.06,1.09
2021-04-28,1.08,1.07,1.1
2021-04-29,1.09,1.07,1.1
2021-04-30,1.08,1.07,1.1
