"data","R0","LB","UB"
2021-09-22,0.922,0.887,0.957
2021-09-23,0.913,0.881,0.944
2021-09-24,0.907,0.878,0.936
2021-09-25,0.913,0.886,0.939
2021-09-26,0.919,0.896,0.943
2021-09-27,0.936,0.915,0.957
2021-09-28,0.95,0.931,0.969
2021-09-29,0.928,0.908,0.947
2021-09-30,0.939,0.92,0.958
2021-10-01,0.934,0.916,0.951
2021-10-02,0.939,0.921,0.956
2021-10-03,0.931,0.914,0.949
2021-10-04,0.96,0.942,0.979
2021-10-05,0.966,0.947,0.984
2021-10-06,0.94,0.922,0.959
2021-10-07,0.934,0.915,0.953
2021-10-08,0.955,0.936,0.975
2021-10-09,0.945,0.924,0.965
2021-10-10,0.935,0.915,0.956
2021-10-11,0.957,0.936,0.979
2021-10-12,0.951,0.93,0.972
2021-10-13,0.956,0.935,0.976
2021-10-14,0.971,0.948,0.993
2021-10-15,0.982,0.959,1.004
2021-10-16,0.927,0.903,0.95
2021-10-17,0.93,0.906,0.953
2021-10-18,0.929,0.907,0.951
2021-10-19,0.929,0.909,0.949
2021-10-20,0.925,0.904,0.945
2021-10-21,0.934,0.914,0.953
2021-10-22,0.936,0.917,0.956
2021-10-23,0.941,0.921,0.96
2021-10-24,0.909,0.889,0.929
2021-10-25,0.898,0.877,0.918
2021-10-26,0.902,0.882,0.923
2021-10-27,0.897,0.876,0.918
2021-10-28,0.905,0.884,0.926
2021-10-29,0.882,0.86,0.904
2021-10-30,0.865,0.843,0.887
2021-10-31,0.868,0.846,0.891
2021-11-01,0.886,0.864,0.909
2021-11-02,0.864,0.843,0.886
2021-11-03,0.856,0.834,0.878
2021-11-04,0.848,0.826,0.871
2021-11-05,0.873,0.851,0.895
2021-11-06,0.867,0.846,0.889
2021-11-07,0.863,0.844,0.882
2021-11-08,0.849,0.827,0.87
2021-11-09,0.838,0.816,0.86
2021-11-10,0.846,0.823,0.87
2021-11-11,0.855,0.833,0.878
2021-11-12,0.849,0.825,0.872
2021-11-13,0.851,0.828,0.875
2021-11-14,0.852,0.829,0.874
2021-11-15,0.842,0.821,0.863
2021-11-16,0.884,0.861,0.906
2021-11-17,0.877,0.856,0.898
2021-11-18,0.867,0.846,0.888
2021-11-19,0.863,0.844,0.882
2021-11-20,0.858,0.839,0.878
2021-11-21,0.839,0.819,0.858
2021-11-22,0.837,0.818,0.856
2021-11-23,0.835,0.815,0.856
2021-11-24,0.859,0.837,0.881
2021-11-25,0.834,0.811,0.857
2021-11-26,0.838,0.816,0.861
2021-11-27,0.839,0.817,0.862
2021-11-28,0.844,0.821,0.867
2021-11-29,0.857,0.834,0.88
2021-11-30,0.871,0.847,0.895
2021-12-01,0.884,0.859,0.908
2021-12-02,0.882,0.857,0.907
2021-12-03,0.911,0.885,0.937
2021-12-04,0.944,0.918,0.971
2021-12-05,0.971,0.946,0.996
2021-12-06,1.002,0.977,1.028
2021-12-07,1.011,0.984,1.038
2021-12-08,1.046,1.019,1.074
2021-12-09,1.04,1.014,1.067
2021-12-10,1.041,1.015,1.066
2021-12-11,1.115,1.089,1.14
2021-12-12,1.151,1.127,1.175
2021-12-13,1.194,1.171,1.218
2021-12-14,1.226,1.202,1.25
2021-12-15,1.258,1.234,1.283
2021-12-16,1.274,1.247,1.301
2021-12-17,1.359,1.328,1.389
2021-12-18,1.379,1.349,1.41
2021-12-19,1.42,1.389,1.451
2021-12-20,1.459,1.428,1.49
2021-12-21,1.503,1.472,1.533
2021-12-22,1.536,1.504,1.568
2021-12-23,1.585,1.554,1.616
2021-12-24,1.604,1.572,1.637
2021-12-25,1.605,1.571,1.64
2021-12-26,1.634,1.601,1.668
2021-12-27,1.647,1.615,1.679
2021-12-28,1.641,1.607,1.674
2021-12-29,1.653,1.618,1.687
2021-12-30,1.655,1.62,1.69
2021-12-31,1.665,1.63,1.699
2022-01-01,1.656,1.621,1.69
2022-01-02,1.656,1.622,1.689
2022-01-03,1.661,1.628,1.694
2022-01-04,1.659,1.625,1.694
2022-01-05,1.596,1.561,1.632
2022-01-06,1.579,1.545,1.614
2022-01-07,1.556,1.521,1.591
2022-01-08,1.537,1.503,1.571
2022-01-09,1.521,1.488,1.554
2022-01-10,1.504,1.472,1.536
2022-01-11,1.451,1.419,1.483
2022-01-12,1.4,1.369,1.43
2022-01-13,1.348,1.319,1.376
2022-01-14,1.321,1.292,1.35
2022-01-15,1.331,1.303,1.359
2022-01-16,1.296,1.268,1.324
2022-01-17,1.201,1.175,1.227
2022-01-18,1.19,1.167,1.213
2022-01-19,1.174,1.15,1.199
2022-01-20,1.165,1.141,1.189
2022-01-21,1.121,1.097,1.145
2022-01-22,1.108,1.085,1.132
2022-01-23,1.057,1.033,1.08
2022-01-24,1.058,1.034,1.083
2022-01-25,0.972,0.948,0.996
2022-01-26,0.991,0.967,1.015
2022-01-27,0.973,0.95,0.996
2022-01-28,0.916,0.894,0.939
2022-01-29,0.916,0.894,0.937
2022-01-30,0.896,0.875,0.917
2022-01-31,0.887,0.866,0.908
2022-02-01,0.863,0.842,0.884
2022-02-02,0.898,0.877,0.919
2022-02-03,0.887,0.866,0.907
2022-02-04,0.882,0.861,0.902
2022-02-05,0.876,0.856,0.896
2022-02-06,0.84,0.821,0.859
2022-02-07,0.838,0.818,0.858
2022-02-08,0.83,0.809,0.852
2022-02-09,0.878,0.856,0.899
2022-02-10,0.803,0.783,0.824
2022-02-11,0.806,0.785,0.826
2022-02-12,0.829,0.808,0.85
2022-02-13,0.818,0.797,0.838
2022-02-14,0.818,0.797,0.839
2022-02-15,0.83,0.809,0.851
2022-02-16,0.827,0.806,0.848
2022-02-17,0.822,0.803,0.841
2022-02-18,0.818,0.798,0.837
2022-02-19,0.823,0.804,0.842
2022-02-20,0.81,0.792,0.829
2022-02-21,0.771,0.75,0.792
2022-02-22,0.781,0.761,0.801
2022-02-23,0.765,0.745,0.784
2022-02-24,0.764,0.743,0.785
2022-02-25,0.768,0.747,0.79
2022-02-26,0.758,0.736,0.781
2022-02-27,0.794,0.772,0.816
2022-02-28,0.796,0.773,0.819
2022-03-01,0.776,0.751,0.8
2022-03-02,0.765,0.739,0.792
2022-03-03,0.747,0.718,0.775
2022-03-04,0.777,0.746,0.807
2022-03-05,0.763,0.73,0.795
2022-03-06,0.751,0.718,0.785
2022-03-07,0.771,0.736,0.805
2022-03-08,0.76,0.724,0.795
2022-03-09,0.751,0.713,0.789
2022-03-10,0.761,0.722,0.799
2022-03-11,0.76,0.719,0.801
2022-03-12,0.711,0.666,0.755
2022-03-13,0.704,0.659,0.749
2022-03-14,0.743,0.695,0.791
2022-03-15,0.669,0.62,0.718
2022-03-16,0.668,0.619,0.716
2022-03-17,0.66,0.61,0.71
2022-03-18,0.648,0.597,0.698
2022-03-19,0.649,0.598,0.701
2022-03-20,0.657,0.605,0.71
2022-03-21,0.684,0.63,0.737
2022-03-22,0.684,0.628,0.739
