"data","R0","LB","UB"
2021-07-28,1.186,1.092,1.28
2021-07-29,1.164,1.085,1.243
2021-07-30,1.142,1.075,1.208
2021-07-31,1.121,1.061,1.181
2021-08-01,1.105,1.052,1.159
2021-08-02,1.096,1.051,1.142
2021-08-03,1.091,1.05,1.131
2021-08-04,1.084,1.048,1.12
2021-08-05,1.082,1.052,1.112
2021-08-06,1.073,1.045,1.101
2021-08-07,1.063,1.035,1.091
2021-08-08,1.051,1.023,1.078
2021-08-09,1.04,1.012,1.068
2021-08-10,1.032,1.003,1.061
2021-08-11,1.012,0.983,1.041
2021-08-12,1.004,0.975,1.033
2021-08-13,0.968,0.934,1.002
2021-08-14,0.935,0.89,0.98
2021-08-15,0.902,0.843,0.961
2021-08-16,0.976,0.9,1.051
2021-08-17,0.974,0.896,1.052
2021-08-18,0.969,0.888,1.05
2021-08-19,0.955,0.874,1.036
2021-08-20,0.94,0.857,1.023
2021-08-21,0.935,0.852,1.019
2021-08-22,0.934,0.849,1.019
2021-08-23,0.907,0.82,0.993
2021-08-24,0.92,0.834,1.006
2021-08-25,0.899,0.813,0.984
2021-08-26,0.908,0.823,0.992
2021-08-27,0.895,0.812,0.979
2021-08-28,0.899,0.816,0.983
2021-08-29,0.902,0.819,0.986
2021-08-30,0.907,0.823,0.99
2021-08-31,0.915,0.832,0.998
2021-09-01,0.784,0.705,0.863
2021-09-02,0.837,0.79,0.884
2021-09-03,0.908,0.873,0.943
2021-09-04,0.981,0.928,1.033
2021-09-05,0.914,0.838,0.991
2021-09-06,0.929,0.852,1.005
2021-09-07,0.935,0.86,1.009
2021-09-08,0.945,0.87,1.02
2021-09-09,0.959,0.884,1.034
2021-09-10,0.956,0.88,1.032
2021-09-11,0.965,0.889,1.041
2021-09-12,0.982,0.904,1.06
2021-09-13,0.976,0.898,1.054
2021-09-14,0.986,0.904,1.067
2021-09-15,0.978,0.894,1.062
2021-09-16,0.991,0.904,1.077
2021-09-17,0.982,0.895,1.07
2021-09-18,0.978,0.89,1.066
2021-09-19,0.991,0.904,1.078
2021-09-20,1.003,0.918,1.089
2021-09-21,0.998,0.913,1.083
2021-09-22,1.01,0.924,1.096
2021-09-23,0.999,0.913,1.084
2021-09-24,0.995,0.91,1.08
2021-09-25,1,0.914,1.086
2021-09-26,1.003,0.914,1.092
2021-09-27,0.988,0.9,1.077
2021-09-28,0.985,0.896,1.074
2021-09-29,0.994,0.907,1.081
2021-09-30,0.977,0.89,1.065
2021-10-01,0.967,0.882,1.052
2021-10-02,0.972,0.888,1.056
2021-10-03,0.966,0.883,1.05
2021-10-04,0.979,0.899,1.06
2021-10-05,0.965,0.886,1.045
2021-10-06,0.978,0.9,1.057
2021-10-07,0.951,0.875,1.027
2021-10-08,0.943,0.871,1.016
2021-10-09,0.95,0.879,1.02
2021-10-10,0.929,0.858,1.001
2021-10-11,0.949,0.875,1.024
2021-10-12,0.939,0.863,1.016
2021-10-13,0.952,0.874,1.03
2021-10-14,0.941,0.864,1.018
2021-10-15,0.927,0.85,1.004
2021-10-16,0.923,0.846,0.999
2021-10-17,0.927,0.851,1.003
2021-10-18,0.927,0.85,1.004
2021-10-19,0.924,0.847,1
2021-10-20,0.913,0.837,0.988
2021-10-21,0.907,0.833,0.982
2021-10-22,0.908,0.834,0.982
2021-10-23,0.896,0.824,0.968
2021-10-24,0.888,0.816,0.959
