"data","R0","LB","UB"
2021-10-06,1.119,1.075,1.164
2021-10-07,1.055,1.013,1.097
2021-10-08,1.14,1.103,1.178
2021-10-09,1.11,1.08,1.141
2021-10-10,1.09,1.065,1.115
2021-10-11,1.092,1.072,1.113
2021-10-12,1.088,1.067,1.109
2021-10-13,1.085,1.065,1.106
2021-10-14,1.065,1.048,1.083
2021-10-15,1.064,1.048,1.081
2021-10-16,1.052,1.033,1.071
2021-10-17,1.054,1.033,1.075
2021-10-18,1.057,1.035,1.08
2021-10-19,1.038,1.015,1.061
2021-10-20,1.037,1.013,1.061
2021-10-21,1.037,1.013,1.061
2021-10-22,1.031,1.007,1.056
2021-10-23,0.999,0.974,1.024
2021-10-24,1.022,0.997,1.048
2021-10-25,1.02,0.994,1.045
2021-10-26,1.029,1.002,1.056
2021-10-27,1.014,0.988,1.041
2021-10-28,1.048,1.022,1.075
2021-10-29,1.037,1.012,1.062
2021-10-30,1.04,1.016,1.063
2021-10-31,1.02,0.999,1.042
2021-11-01,1.007,0.986,1.028
2021-11-02,1.003,0.979,1.027
2021-11-03,0.999,0.974,1.023
2021-11-04,1.009,0.983,1.035
2021-11-05,1.027,1.001,1.053
2021-11-06,0.981,0.955,1.006
2021-11-07,0.984,0.96,1.009
2021-11-08,0.988,0.963,1.013
2021-11-09,0.966,0.943,0.989
2021-11-10,0.981,0.958,1.005
2021-11-11,0.952,0.929,0.976
2021-11-12,0.969,0.945,0.993
2021-11-13,0.96,0.936,0.985
2021-11-14,0.907,0.882,0.932
2021-11-15,0.931,0.907,0.956
2021-11-16,0.918,0.894,0.941
2021-11-17,0.901,0.879,0.924
2021-11-18,0.879,0.855,0.902
2021-11-19,0.867,0.844,0.89
2021-11-20,0.84,0.817,0.862
2021-11-21,0.791,0.769,0.813
2021-11-22,0.781,0.758,0.803
2021-11-23,0.782,0.759,0.804
2021-11-24,0.799,0.775,0.823
2021-11-25,0.773,0.749,0.796
2021-11-26,0.768,0.744,0.792
2021-11-27,0.765,0.74,0.791
2021-11-28,0.782,0.757,0.807
2021-11-29,0.762,0.737,0.788
2021-11-30,0.757,0.732,0.782
2021-12-01,0.801,0.775,0.827
2021-12-02,0.778,0.752,0.805
2021-12-03,0.82,0.795,0.845
2021-12-04,0.837,0.811,0.863
2021-12-05,0.843,0.817,0.869
2021-12-06,0.873,0.845,0.9
2021-12-07,0.892,0.866,0.918
2021-12-08,0.955,0.93,0.98
2021-12-09,0.977,0.952,1.001
2021-12-10,1.06,1.036,1.083
2021-12-11,1.105,1.083,1.128
2021-12-12,1.18,1.155,1.204
2021-12-13,1.231,1.204,1.259
2021-12-14,1.23,1.201,1.258
2021-12-15,1.311,1.281,1.342
2021-12-16,1.362,1.33,1.394
2021-12-17,1.465,1.433,1.497
2021-12-18,1.522,1.486,1.558
2021-12-19,1.572,1.534,1.61
2021-12-20,1.604,1.565,1.643
2021-12-21,1.641,1.602,1.68
2021-12-22,1.716,1.675,1.757
2021-12-23,1.729,1.687,1.771
2021-12-24,1.739,1.696,1.782
2021-12-25,1.771,1.729,1.812
2021-12-26,1.79,1.75,1.83
2021-12-27,1.776,1.737,1.814
2021-12-28,1.743,1.704,1.782
2021-12-29,1.73,1.692,1.768
2021-12-30,1.744,1.707,1.782
2021-12-31,1.703,1.668,1.738
2022-01-01,1.636,1.6,1.672
2022-01-02,1.581,1.546,1.616
2022-01-03,1.529,1.496,1.562
2022-01-04,1.459,1.427,1.491
2022-01-05,1.401,1.37,1.432
2022-01-06,1.352,1.323,1.381
2022-01-07,1.326,1.295,1.357
2022-01-08,1.303,1.273,1.332
2022-01-09,1.263,1.236,1.291
2022-01-10,1.213,1.187,1.24
2022-01-11,1.177,1.152,1.201
2022-01-12,1.138,1.114,1.161
2022-01-13,1.129,1.106,1.152
2022-01-14,1.08,1.055,1.106
2022-01-15,1.101,1.077,1.125
2022-01-16,1.072,1.048,1.095
2022-01-17,1.052,1.028,1.077
2022-01-18,0.998,0.973,1.022
2022-01-19,1.024,0.999,1.049
2022-01-20,0.971,0.946,0.997
2022-01-21,0.96,0.935,0.984
2022-01-22,0.971,0.947,0.994
2022-01-23,0.939,0.917,0.961
2022-01-24,0.926,0.903,0.949
2022-01-25,0.891,0.867,0.915
2022-01-26,0.881,0.858,0.904
2022-01-27,0.875,0.852,0.898
2022-01-28,0.891,0.868,0.914
2022-01-29,0.881,0.859,0.903
2022-01-30,0.865,0.843,0.887
2022-01-31,0.845,0.824,0.866
2022-02-01,0.843,0.822,0.865
2022-02-02,0.838,0.818,0.859
2022-02-03,0.815,0.795,0.835
2022-02-04,0.787,0.766,0.807
2022-02-05,0.811,0.793,0.83
2022-02-06,0.805,0.786,0.824
2022-02-07,0.813,0.792,0.834
2022-02-08,0.813,0.792,0.835
2022-02-09,0.807,0.785,0.829
2022-02-10,0.775,0.752,0.798
2022-02-11,0.77,0.748,0.793
2022-02-12,0.773,0.75,0.796
2022-02-13,0.782,0.758,0.806
2022-02-14,0.763,0.74,0.786
2022-02-15,0.769,0.745,0.793
2022-02-16,0.819,0.795,0.842
2022-02-17,0.778,0.754,0.802
2022-02-18,0.813,0.789,0.836
2022-02-19,0.833,0.81,0.856
2022-02-20,0.847,0.825,0.868
2022-02-21,0.841,0.82,0.862
2022-02-22,0.841,0.82,0.861
2022-02-23,0.85,0.829,0.871
2022-02-24,0.866,0.844,0.888
2022-02-25,0.89,0.869,0.911
2022-02-26,0.887,0.865,0.908
2022-02-27,0.88,0.856,0.904
2022-02-28,0.908,0.884,0.933
2022-03-01,0.902,0.877,0.927
2022-03-02,0.893,0.867,0.919
2022-03-03,0.894,0.867,0.921
2022-03-04,0.904,0.877,0.931
2022-03-05,0.938,0.911,0.964
2022-03-06,0.869,0.843,0.896
2022-03-07,0.911,0.886,0.936
2022-03-08,0.907,0.882,0.932
2022-03-09,0.914,0.89,0.938
2022-03-10,0.904,0.88,0.927
2022-03-11,0.903,0.879,0.926
2022-03-12,0.898,0.876,0.92
2022-03-13,0.921,0.899,0.943
2022-03-14,0.911,0.888,0.934
2022-03-15,0.931,0.907,0.956
2022-03-16,0.882,0.857,0.907
2022-03-17,0.901,0.875,0.928
2022-03-18,0.887,0.86,0.915
2022-03-19,0.895,0.866,0.924
2022-03-20,0.889,0.859,0.918
2022-03-21,0.896,0.865,0.928
2022-03-22,0.888,0.855,0.921
2022-03-23,0.915,0.877,0.952
2022-03-24,0.901,0.862,0.939
2022-03-25,0.892,0.85,0.933
2022-03-26,0.9,0.856,0.943
2022-03-27,0.888,0.84,0.936
2022-03-28,0.904,0.852,0.956
2022-03-29,0.899,0.843,0.955
2022-03-30,0.867,0.808,0.925
