"data","R0","LB","UB"
2021-06-29,1.111,1.079,1.142
2021-06-30,1.108,1.078,1.137
2021-07-01,1.081,1.052,1.11
2021-07-02,1.095,1.067,1.123
2021-07-03,1.114,1.088,1.14
2021-07-04,1.078,1.055,1.101
2021-07-05,1.086,1.064,1.107
2021-07-06,1.117,1.096,1.138
2021-07-07,1.133,1.114,1.152
2021-07-08,1.123,1.105,1.141
2021-07-09,1.122,1.104,1.141
2021-07-10,1.098,1.08,1.116
2021-07-11,1.065,1.047,1.083
2021-07-12,1.073,1.055,1.09
2021-07-13,1.046,1.029,1.063
2021-07-14,1.043,1.026,1.059
2021-07-15,1.041,1.024,1.057
2021-07-16,1.024,1.008,1.04
2021-07-17,1.026,1.01,1.042
2021-07-18,1.017,0.999,1.036
2021-07-19,1.016,0.998,1.035
2021-07-20,0.998,0.98,1.017
2021-07-21,1.001,0.984,1.019
2021-07-22,0.996,0.979,1.014
2021-07-23,0.976,0.958,0.995
2021-07-24,0.996,0.977,1.015
2021-07-25,0.963,0.945,0.981
2021-07-26,0.954,0.937,0.972
2021-07-27,0.948,0.93,0.966
2021-07-28,0.94,0.922,0.958
2021-07-29,0.951,0.933,0.968
2021-07-30,0.946,0.928,0.964
2021-07-31,0.931,0.913,0.949
2021-08-01,0.924,0.906,0.942
2021-08-02,0.928,0.91,0.945
2021-08-03,0.924,0.906,0.941
2021-08-04,0.904,0.887,0.922
2021-08-05,0.902,0.883,0.92
2021-08-06,0.915,0.897,0.934
2021-08-07,0.896,0.876,0.916
2021-08-08,0.896,0.876,0.917
2021-08-09,0.889,0.869,0.909
2021-08-10,0.873,0.852,0.893
2021-08-11,0.867,0.848,0.886
2021-08-12,0.858,0.84,0.876
2021-08-13,0.855,0.836,0.874
2021-08-14,0.834,0.814,0.854
2021-08-15,0.845,0.825,0.865
2021-08-16,0.852,0.831,0.872
2021-08-17,0.861,0.842,0.88
2021-08-18,0.868,0.849,0.887
2021-08-19,0.88,0.861,0.898
2021-08-20,0.864,0.844,0.883
2021-08-21,0.861,0.841,0.881
2021-08-22,0.853,0.833,0.873
2021-08-23,0.837,0.816,0.857
2021-08-24,0.85,0.83,0.87
2021-08-25,0.856,0.837,0.875
2021-08-26,0.852,0.83,0.873
2021-08-27,0.895,0.873,0.916
2021-08-28,0.904,0.882,0.926
2021-08-29,0.904,0.882,0.925
2021-08-30,0.908,0.885,0.93
2021-08-31,0.939,0.919,0.959
2021-09-01,0.936,0.916,0.956
2021-09-02,0.938,0.919,0.958
2021-09-03,0.935,0.916,0.954
2021-09-04,0.956,0.937,0.976
2021-09-05,0.974,0.956,0.991
2021-09-06,0.994,0.976,1.012
2021-09-07,0.965,0.947,0.983
2021-09-08,0.976,0.958,0.994
2021-09-09,0.984,0.966,1.002
2021-09-10,1.003,0.982,1.024
2021-09-11,1.001,0.98,1.021
2021-09-12,1.015,0.994,1.035
2021-09-13,1.015,0.993,1.036
2021-09-14,1.058,1.034,1.081
2021-09-15,1.072,1.048,1.097
2021-09-16,1.056,1.031,1.081
2021-09-17,1.077,1.052,1.101
2021-09-18,1.09,1.065,1.116
2021-09-19,1.078,1.051,1.104
2021-09-20,1.089,1.062,1.116
2021-09-21,1.067,1.04,1.094
2021-09-22,1.078,1.052,1.104
2021-09-23,1.069,1.042,1.095
2021-09-24,1.064,1.038,1.09
2021-09-25,1.074,1.048,1.099
2021-09-26,1.071,1.048,1.094
2021-09-27,1.018,0.994,1.041
2021-09-28,1.023,1,1.046
2021-09-29,1.005,0.982,1.028
2021-09-30,1.037,1.015,1.059
2021-10-01,1.02,0.998,1.042
2021-10-02,0.983,0.961,1.006
2021-10-03,1.017,0.996,1.038
2021-10-04,0.993,0.973,1.014
2021-10-05,0.995,0.975,1.016
2021-10-06,0.973,0.954,0.992
2021-10-07,0.956,0.937,0.976
2021-10-08,0.929,0.91,0.948
2021-10-09,0.932,0.913,0.951
2021-10-10,0.928,0.91,0.946
2021-10-11,0.923,0.905,0.941
2021-10-12,0.91,0.892,0.928
2021-10-13,0.911,0.894,0.928
2021-10-14,0.893,0.875,0.911
2021-10-15,0.895,0.878,0.913
2021-10-16,0.879,0.862,0.897
2021-10-17,0.859,0.842,0.876
2021-10-18,0.842,0.825,0.859
2021-10-19,0.816,0.799,0.833
2021-10-20,0.819,0.803,0.835
2021-10-21,0.79,0.774,0.807
2021-10-22,0.787,0.772,0.803
2021-10-23,0.782,0.767,0.797
2021-10-24,0.77,0.753,0.786
2021-10-25,0.761,0.744,0.777
2021-10-26,0.75,0.733,0.768
2021-10-27,0.763,0.746,0.779
2021-10-28,0.76,0.743,0.776
2021-10-29,0.761,0.744,0.778
2021-10-30,0.729,0.711,0.746
