"data","R0","LB","UB"
2021-06-29,0.966,0.957,0.975
2021-06-30,0.963,0.954,0.971
2021-07-01,0.967,0.959,0.975
2021-07-02,0.972,0.964,0.98
2021-07-03,0.973,0.965,0.98
2021-07-04,0.972,0.965,0.979
2021-07-05,0.973,0.966,0.98
2021-07-06,0.971,0.964,0.978
2021-07-07,0.97,0.963,0.977
2021-07-08,0.968,0.961,0.975
2021-07-09,0.964,0.957,0.971
2021-07-10,0.964,0.958,0.971
2021-07-11,0.967,0.961,0.974
2021-07-12,0.967,0.961,0.974
2021-07-13,0.967,0.961,0.972
2021-07-14,0.966,0.96,0.972
2021-07-15,0.968,0.962,0.974
2021-07-16,0.962,0.957,0.968
2021-07-17,0.961,0.955,0.966
2021-07-18,0.961,0.955,0.967
2021-07-19,0.968,0.963,0.974
2021-07-20,0.963,0.958,0.969
2021-07-21,0.964,0.958,0.97
2021-07-22,0.965,0.959,0.971
2021-07-23,0.965,0.959,0.971
2021-07-24,0.967,0.961,0.973
2021-07-25,0.964,0.958,0.969
2021-07-26,0.962,0.957,0.968
2021-07-27,0.962,0.956,0.967
2021-07-28,0.964,0.958,0.97
2021-07-29,0.961,0.955,0.967
2021-07-30,0.967,0.961,0.974
2021-07-31,0.96,0.954,0.966
2021-08-01,0.962,0.955,0.968
2021-08-02,0.953,0.947,0.959
2021-08-03,0.954,0.948,0.96
2021-08-04,0.953,0.947,0.959
2021-08-05,0.957,0.951,0.964
2021-08-06,0.952,0.946,0.958
2021-08-07,0.957,0.951,0.962
2021-08-08,0.951,0.946,0.957
2021-08-09,0.951,0.946,0.956
2021-08-10,0.954,0.949,0.959
2021-08-11,0.952,0.947,0.957
2021-08-12,0.949,0.944,0.955
2021-08-13,0.952,0.947,0.958
2021-08-14,0.953,0.947,0.959
2021-08-15,0.953,0.947,0.959
2021-08-16,0.949,0.943,0.955
2021-08-17,0.95,0.944,0.956
2021-08-18,0.947,0.941,0.952
2021-08-19,0.949,0.943,0.955
2021-08-20,0.955,0.949,0.961
2021-08-21,0.952,0.946,0.958
2021-08-22,0.951,0.945,0.957
2021-08-23,0.951,0.945,0.956
2021-08-24,0.946,0.94,0.952
2021-08-25,0.952,0.946,0.957
2021-08-26,0.95,0.944,0.956
2021-08-27,0.956,0.95,0.961
2021-08-28,0.955,0.949,0.961
2021-08-29,0.958,0.951,0.964
2021-08-30,0.959,0.952,0.965
2021-08-31,0.96,0.953,0.966
2021-09-01,0.96,0.953,0.966
2021-09-02,0.963,0.956,0.969
2021-09-03,0.959,0.953,0.966
2021-09-04,0.958,0.952,0.965
2021-09-05,0.957,0.95,0.964
2021-09-06,0.953,0.946,0.959
2021-09-07,0.947,0.94,0.954
2021-09-08,0.951,0.944,0.957
2021-09-09,0.95,0.943,0.957
2021-09-10,0.949,0.942,0.956
2021-09-11,0.946,0.939,0.952
2021-09-12,0.944,0.937,0.95
2021-09-13,0.943,0.937,0.95
2021-09-14,0.945,0.939,0.951
2021-09-15,0.945,0.939,0.951
2021-09-16,0.945,0.939,0.951
2021-09-17,0.939,0.932,0.946
2021-09-18,0.939,0.933,0.946
2021-09-19,0.938,0.932,0.945
2021-09-20,0.937,0.93,0.944
2021-09-21,0.937,0.93,0.944
2021-09-22,0.938,0.931,0.945
2021-09-23,0.933,0.926,0.94
2021-09-24,0.939,0.932,0.945
2021-09-25,0.932,0.925,0.939
2021-09-26,0.936,0.929,0.943
2021-09-27,0.936,0.93,0.943
2021-09-28,0.928,0.921,0.934
2021-09-29,0.921,0.914,0.927
2021-09-30,0.923,0.917,0.929
2021-10-01,0.921,0.914,0.927
2021-10-02,0.92,0.913,0.926
2021-10-03,0.924,0.917,0.93
2021-10-04,0.921,0.914,0.927
2021-10-05,0.92,0.914,0.927
2021-10-06,0.918,0.912,0.925
2021-10-07,0.917,0.91,0.923
2021-10-08,0.915,0.908,0.921
2021-10-09,0.905,0.899,0.912
2021-10-10,0.913,0.906,0.919
2021-10-11,0.913,0.907,0.92
2021-10-12,0.912,0.906,0.919
2021-10-13,0.908,0.902,0.914
2021-10-14,0.909,0.902,0.915
2021-10-15,0.907,0.901,0.914
2021-10-16,0.913,0.906,0.92
2021-10-17,0.907,0.901,0.914
2021-10-18,0.903,0.896,0.909
2021-10-19,0.903,0.897,0.909
2021-10-20,0.899,0.892,0.905
2021-10-21,0.898,0.892,0.905
2021-10-22,0.906,0.899,0.913
2021-10-23,0.904,0.897,0.911
2021-10-24,0.907,0.9,0.914
2021-10-25,0.9,0.893,0.907
2021-10-26,0.894,0.887,0.9
2021-10-27,0.893,0.887,0.9
2021-10-28,0.891,0.885,0.898
2021-10-29,0.892,0.886,0.899
2021-10-30,0.89,0.883,0.896
2021-10-31,0.898,0.892,0.905
2021-11-01,0.899,0.892,0.905
2021-11-02,0.9,0.893,0.907
2021-11-03,0.898,0.891,0.905
2021-11-04,0.9,0.893,0.906
2021-11-05,0.899,0.892,0.907
2021-11-06,0.899,0.891,0.906
2021-11-07,0.894,0.886,0.902
2021-11-08,0.898,0.889,0.906
2021-11-09,0.884,0.876,0.893
2021-11-10,0.896,0.887,0.904
2021-11-11,0.887,0.878,0.896
2021-11-12,0.895,0.886,0.904
2021-11-13,0.898,0.889,0.907
2021-11-14,0.893,0.884,0.902
2021-11-15,0.9,0.892,0.909
2021-11-16,0.897,0.888,0.906
2021-11-17,0.899,0.89,0.908
2021-11-18,0.889,0.88,0.898
2021-11-19,0.887,0.877,0.896
2021-11-20,0.895,0.885,0.905
2021-11-21,0.896,0.886,0.906
2021-11-22,0.894,0.884,0.904
2021-11-23,0.88,0.868,0.891
2021-11-24,0.903,0.891,0.914
2021-11-25,0.902,0.89,0.914
2021-11-26,0.891,0.879,0.903
2021-11-27,0.896,0.884,0.908
2021-11-28,0.893,0.881,0.906
2021-11-29,0.893,0.88,0.906
2021-11-30,0.889,0.876,0.902
2021-12-01,0.894,0.881,0.907
2021-12-02,0.882,0.868,0.896
2021-12-03,0.884,0.871,0.897
2021-12-04,0.883,0.869,0.896
2021-12-05,0.882,0.869,0.896
2021-12-06,0.874,0.86,0.888
2021-12-07,0.889,0.875,0.903
2021-12-08,0.892,0.878,0.907
2021-12-09,0.882,0.867,0.897
2021-12-10,0.881,0.866,0.896
2021-12-11,0.882,0.867,0.898
2021-12-12,0.885,0.87,0.9
2021-12-13,0.886,0.871,0.902
2021-12-14,0.895,0.88,0.911
2021-12-15,0.895,0.879,0.911
2021-12-16,0.897,0.881,0.913
2021-12-17,0.895,0.879,0.911
2021-12-18,0.899,0.882,0.915
2021-12-19,0.889,0.872,0.906
2021-12-20,0.899,0.882,0.915
2021-12-21,0.898,0.881,0.915
2021-12-22,0.9,0.883,0.917
2021-12-23,0.884,0.867,0.901
2021-12-24,0.894,0.877,0.91
2021-12-25,0.889,0.873,0.905
2021-12-26,0.893,0.878,0.909
2021-12-27,0.894,0.878,0.91
2021-12-28,0.895,0.879,0.911
