"data","R0","LB","UB"
2021-09-14,0.894,0.852,0.935
2021-09-15,0.891,0.853,0.929
2021-09-16,0.877,0.845,0.909
2021-09-17,0.897,0.867,0.927
2021-09-18,0.897,0.871,0.923
2021-09-19,0.838,0.814,0.862
2021-09-20,0.88,0.86,0.9
2021-09-21,0.857,0.839,0.874
2021-09-22,0.834,0.816,0.852
2021-09-23,0.832,0.813,0.85
2021-09-24,0.833,0.814,0.852
2021-09-25,0.849,0.828,0.869
2021-09-26,0.841,0.821,0.862
2021-09-27,0.844,0.823,0.866
2021-09-28,0.815,0.793,0.836
2021-09-29,0.827,0.805,0.849
2021-09-30,0.857,0.832,0.882
2021-10-01,0.874,0.849,0.9
2021-10-02,0.881,0.857,0.905
2021-10-03,0.893,0.869,0.918
2021-10-04,0.881,0.856,0.907
2021-10-05,0.876,0.852,0.901
2021-10-06,0.883,0.859,0.907
2021-10-07,0.896,0.871,0.922
2021-10-08,0.886,0.861,0.911
2021-10-09,0.864,0.839,0.889
2021-10-10,0.901,0.875,0.927
2021-10-11,0.928,0.902,0.954
2021-10-12,0.946,0.921,0.972
2021-10-13,0.939,0.912,0.966
2021-10-14,0.944,0.917,0.971
2021-10-15,0.964,0.936,0.992
2021-10-16,0.903,0.874,0.932
2021-10-17,0.944,0.916,0.971
2021-10-18,0.96,0.934,0.986
2021-10-19,0.963,0.937,0.989
2021-10-20,0.959,0.933,0.986
2021-10-21,0.991,0.965,1.017
2021-10-22,0.975,0.948,1.002
2021-10-23,0.966,0.938,0.993
2021-10-24,0.985,0.957,1.013
2021-10-25,1.034,1.005,1.063
2021-10-26,1.013,0.984,1.042
2021-10-27,1.007,0.979,1.036
2021-10-28,0.977,0.947,1.008
2021-10-29,1.023,0.994,1.052
2021-10-30,1.033,1.004,1.062
2021-10-31,0.999,0.97,1.028
2021-11-01,0.964,0.935,0.992
2021-11-02,0.962,0.932,0.992
2021-11-03,0.984,0.955,1.013
2021-11-04,0.998,0.969,1.027
2021-11-05,0.993,0.964,1.022
2021-11-06,1.016,0.986,1.045
2021-11-07,1.01,0.98,1.04
2021-11-08,0.971,0.941,1.001
2021-11-09,0.95,0.922,0.978
2021-11-10,0.899,0.871,0.927
2021-11-11,0.878,0.85,0.905
2021-11-12,0.866,0.84,0.892
2021-11-13,0.842,0.817,0.866
2021-11-14,0.822,0.797,0.847
2021-11-15,0.813,0.79,0.837
2021-11-16,0.802,0.78,0.824
2021-11-17,0.789,0.764,0.813
2021-11-18,0.773,0.749,0.796
2021-11-19,0.764,0.742,0.787
2021-11-20,0.732,0.71,0.755
2021-11-21,0.715,0.69,0.739
2021-11-22,0.699,0.673,0.724
2021-11-23,0.708,0.683,0.734
2021-11-24,0.716,0.69,0.742
2021-11-25,0.705,0.678,0.731
2021-11-26,0.697,0.67,0.724
2021-11-27,0.672,0.647,0.697
2021-11-28,0.666,0.641,0.691
2021-11-29,0.668,0.641,0.695
2021-11-30,0.681,0.653,0.708
2021-12-01,0.707,0.678,0.737
2021-12-02,0.677,0.645,0.708
2021-12-03,0.757,0.725,0.789
2021-12-04,0.767,0.735,0.799
2021-12-05,0.778,0.746,0.811
2021-12-06,0.812,0.78,0.845
2021-12-07,0.84,0.808,0.872
2021-12-08,0.884,0.853,0.915
2021-12-09,0.899,0.869,0.929
2021-12-10,0.976,0.945,1.008
2021-12-11,0.999,0.967,1.032
2021-12-12,1.053,1.022,1.084
2021-12-13,1.101,1.069,1.133
2021-12-14,1.201,1.17,1.231
2021-12-15,1.252,1.222,1.282
2021-12-16,1.31,1.275,1.344
2021-12-17,1.449,1.412,1.485
2021-12-18,1.513,1.475,1.551
2021-12-19,1.654,1.608,1.7
2021-12-20,1.722,1.672,1.773
2021-12-21,1.762,1.71,1.814
2021-12-22,1.842,1.787,1.898
2021-12-23,1.888,1.829,1.947
2021-12-24,1.964,1.905,2.023
2021-12-25,2.001,1.944,2.059
2021-12-26,2.053,1.997,2.11
2021-12-27,2,1.948,2.052
2021-12-28,1.985,1.936,2.035
2021-12-29,1.999,1.953,2.046
2021-12-30,2.013,1.966,2.061
2021-12-31,1.971,1.926,2.016
2022-01-01,1.958,1.913,2.003
2022-01-02,1.971,1.927,2.015
2022-01-03,1.881,1.837,1.925
2022-01-04,1.86,1.818,1.902
2022-01-05,1.716,1.678,1.755
2022-01-06,1.648,1.61,1.686
2022-01-07,1.61,1.573,1.647
2022-01-08,1.536,1.497,1.574
2022-01-09,1.461,1.425,1.498
2022-01-10,1.404,1.37,1.438
2022-01-11,1.388,1.353,1.422
2022-01-12,1.352,1.32,1.385
2022-01-13,1.268,1.236,1.3
2022-01-14,1.185,1.154,1.217
2022-01-15,1.145,1.114,1.175
2022-01-16,1.171,1.141,1.201
2022-01-17,1.118,1.089,1.146
2022-01-18,1.092,1.062,1.122
2022-01-19,1.089,1.06,1.119
2022-01-20,1.043,1.014,1.072
2022-01-21,1.026,0.998,1.053
2022-01-22,0.995,0.969,1.022
2022-01-23,0.949,0.923,0.975
2022-01-24,0.949,0.924,0.975
2022-01-25,0.936,0.912,0.959
2022-01-26,0.922,0.897,0.946
2022-01-27,0.929,0.902,0.955
2022-01-28,0.926,0.902,0.951
2022-01-29,0.913,0.888,0.937
2022-01-30,0.933,0.907,0.959
2022-01-31,0.907,0.882,0.933
