"data","R0","LB","UB"
2021-09-07,1.181,1.135,1.228
2021-09-08,1.162,1.12,1.205
2021-09-09,1.174,1.135,1.214
2021-09-10,1.249,1.214,1.283
2021-09-11,1.246,1.215,1.277
2021-09-12,1.219,1.193,1.244
2021-09-13,1.228,1.205,1.25
2021-09-14,1.211,1.189,1.233
2021-09-15,1.203,1.182,1.223
2021-09-16,1.187,1.164,1.211
2021-09-17,1.15,1.125,1.176
2021-09-18,1.129,1.103,1.156
2021-09-19,1.147,1.118,1.175
2021-09-20,1.129,1.1,1.158
2021-09-21,1.094,1.065,1.124
2021-09-22,1.081,1.053,1.11
2021-09-23,1.069,1.04,1.097
2021-09-24,1.01,0.981,1.04
2021-09-25,0.991,0.962,1.02
2021-09-26,1.03,1.002,1.059
2021-09-27,1.022,0.994,1.051
2021-09-28,0.972,0.946,0.999
2021-09-29,0.98,0.954,1.006
2021-09-30,0.943,0.915,0.971
2021-10-01,0.93,0.901,0.958
2021-10-02,0.88,0.851,0.909
2021-10-03,0.928,0.902,0.954
2021-10-04,0.916,0.89,0.942
2021-10-05,0.859,0.832,0.887
2021-10-06,0.855,0.827,0.883
2021-10-07,0.877,0.849,0.906
2021-10-08,0.872,0.844,0.9
2021-10-09,0.852,0.825,0.879
2021-10-10,0.884,0.859,0.91
2021-10-11,0.878,0.852,0.903
2021-10-12,0.874,0.85,0.899
2021-10-13,0.879,0.855,0.904
2021-10-14,0.878,0.852,0.903
2021-10-15,0.893,0.866,0.92
2021-10-16,0.874,0.847,0.901
2021-10-17,0.912,0.884,0.939
2021-10-18,0.911,0.883,0.939
2021-10-19,0.926,0.897,0.954
2021-10-20,0.938,0.91,0.966
2021-10-21,0.964,0.936,0.992
2021-10-22,0.978,0.951,1.004
2021-10-23,0.992,0.968,1.016
2021-10-24,1.007,0.983,1.032
2021-10-25,1.025,0.999,1.052
2021-10-26,1.024,0.997,1.052
2021-10-27,1.035,1.006,1.064
2021-10-28,1.064,1.034,1.095
2021-10-29,1.075,1.043,1.106
2021-10-30,1.094,1.064,1.125
2021-10-31,1.074,1.044,1.105
2021-11-01,1.055,1.024,1.086
2021-11-02,1.042,1.012,1.073
2021-11-03,1.053,1.024,1.083
2021-11-04,1.027,0.996,1.058
2021-11-05,1.02,0.988,1.053
2021-11-06,1.126,1.094,1.159
2021-11-07,1.089,1.059,1.119
2021-11-08,1.075,1.045,1.104
2021-11-09,1.02,0.989,1.05
2021-11-10,1.008,0.979,1.036
2021-11-11,0.997,0.968,1.025
2021-11-12,0.973,0.946,1
2021-11-13,0.963,0.936,0.989
2021-11-14,0.944,0.918,0.97
2021-11-15,0.915,0.891,0.94
2021-11-16,0.875,0.85,0.899
2021-11-17,0.846,0.82,0.871
2021-11-18,0.819,0.793,0.845
2021-11-19,0.821,0.795,0.847
2021-11-20,0.83,0.805,0.855
2021-11-21,0.812,0.786,0.837
2021-11-22,0.808,0.783,0.833
2021-11-23,0.79,0.764,0.816
2021-11-24,0.776,0.749,0.802
2021-11-25,0.732,0.703,0.761
2021-11-26,0.726,0.697,0.755
2021-11-27,0.712,0.682,0.742
2021-11-28,0.708,0.678,0.739
2021-11-29,0.745,0.715,0.776
2021-11-30,0.666,0.636,0.696
2021-12-01,0.697,0.668,0.726
2021-12-02,0.747,0.719,0.776
2021-12-03,0.757,0.728,0.786
2021-12-04,0.781,0.75,0.811
2021-12-05,0.794,0.762,0.826
2021-12-06,0.764,0.731,0.797
2021-12-07,0.87,0.838,0.902
2021-12-08,0.875,0.845,0.906
2021-12-09,0.922,0.892,0.952
2021-12-10,0.952,0.921,0.984
2021-12-11,1.055,1.023,1.087
2021-12-12,1.096,1.064,1.129
2021-12-13,1.166,1.134,1.198
2021-12-14,1.233,1.198,1.268
2021-12-15,1.367,1.327,1.406
2021-12-16,1.414,1.373,1.454
2021-12-17,1.476,1.433,1.519
2021-12-18,1.487,1.441,1.532
2021-12-19,1.654,1.606,1.703
2021-12-20,1.707,1.659,1.754
2021-12-21,1.791,1.742,1.839
2021-12-22,1.825,1.772,1.879
2021-12-23,1.765,1.708,1.821
2021-12-24,1.795,1.74,1.849
2021-12-25,1.966,1.908,2.024
2021-12-26,1.911,1.858,1.964
2021-12-27,1.937,1.887,1.986
2021-12-28,1.877,1.828,1.927
2021-12-29,1.857,1.81,1.904
2021-12-30,1.823,1.78,1.867
2021-12-31,1.753,1.711,1.794
2022-01-01,1.715,1.675,1.756
2022-01-02,1.661,1.623,1.699
2022-01-03,1.571,1.535,1.607
2022-01-04,1.558,1.522,1.594
2022-01-05,1.483,1.448,1.518
2022-01-06,1.424,1.389,1.459
2022-01-07,1.332,1.297,1.367
2022-01-08,1.273,1.242,1.305
2022-01-09,1.288,1.257,1.319
2022-01-10,1.18,1.151,1.208
2022-01-11,1.149,1.122,1.176
2022-01-12,1.115,1.086,1.144
2022-01-13,1.127,1.099,1.155
2022-01-14,1.085,1.059,1.112
2022-01-15,1.066,1.04,1.093
2022-01-16,1.027,1.001,1.053
2022-01-17,0.986,0.958,1.013
2022-01-18,0.936,0.911,0.962
2022-01-19,0.949,0.924,0.975
2022-01-20,0.942,0.916,0.968
2022-01-21,0.938,0.911,0.965
2022-01-22,0.9,0.874,0.927
2022-01-23,0.893,0.867,0.919
2022-01-24,0.887,0.859,0.914
2022-01-25,0.838,0.812,0.863
2022-01-26,0.825,0.799,0.852
2022-01-27,0.859,0.833,0.886
2022-01-28,0.847,0.822,0.873
2022-01-29,0.817,0.792,0.843
2022-01-30,0.827,0.802,0.852
2022-01-31,0.808,0.783,0.832
2022-02-01,0.807,0.781,0.833
2022-02-02,0.818,0.792,0.843
2022-02-03,0.816,0.79,0.841
2022-02-04,0.813,0.788,0.837
2022-02-05,0.795,0.771,0.82
2022-02-06,0.768,0.743,0.792
2022-02-07,0.769,0.745,0.793
2022-02-08,0.779,0.754,0.804
2022-02-09,0.779,0.755,0.803
2022-02-10,0.793,0.768,0.818
2022-02-11,0.756,0.732,0.78
2022-02-12,0.747,0.721,0.774
2022-02-13,0.744,0.716,0.772
2022-02-14,0.74,0.71,0.769
2022-02-15,0.769,0.739,0.8
2022-02-16,0.754,0.722,0.787
2022-02-17,0.766,0.733,0.799
