"data","R0","LB","UB"
2021-06-16,0.956,0.945,0.967
2021-06-17,0.956,0.946,0.967
2021-06-18,0.956,0.945,0.967
2021-06-19,0.958,0.948,0.968
2021-06-20,0.958,0.949,0.968
2021-06-21,0.959,0.949,0.968
2021-06-22,0.956,0.947,0.966
2021-06-23,0.957,0.948,0.966
2021-06-24,0.957,0.948,0.966
2021-06-25,0.961,0.953,0.97
2021-06-26,0.96,0.952,0.968
2021-06-27,0.955,0.947,0.963
2021-06-28,0.961,0.953,0.968
2021-06-29,0.955,0.948,0.962
2021-06-30,0.957,0.95,0.964
2021-07-01,0.959,0.952,0.965
2021-07-02,0.955,0.948,0.961
2021-07-03,0.955,0.949,0.961
2021-07-04,0.954,0.948,0.96
2021-07-05,0.955,0.949,0.961
2021-07-06,0.96,0.954,0.966
2021-07-07,0.957,0.95,0.963
2021-07-08,0.955,0.948,0.961
2021-07-09,0.955,0.948,0.961
2021-07-10,0.953,0.946,0.959
2021-07-11,0.952,0.946,0.959
2021-07-12,0.955,0.949,0.962
2021-07-13,0.952,0.946,0.958
2021-07-14,0.952,0.946,0.959
2021-07-15,0.95,0.943,0.957
2021-07-16,0.95,0.943,0.957
2021-07-17,0.952,0.944,0.959
2021-07-18,0.953,0.946,0.96
2021-07-19,0.952,0.945,0.96
2021-07-20,0.951,0.945,0.958
2021-07-21,0.949,0.942,0.956
2021-07-22,0.952,0.946,0.959
2021-07-23,0.952,0.945,0.959
2021-07-24,0.953,0.947,0.96
2021-07-25,0.952,0.946,0.959
2021-07-26,0.953,0.947,0.96
2021-07-27,0.954,0.947,0.961
2021-07-28,0.953,0.946,0.96
2021-07-29,0.954,0.948,0.961
2021-07-30,0.954,0.947,0.96
2021-07-31,0.953,0.946,0.96
2021-08-01,0.953,0.946,0.96
2021-08-02,0.954,0.947,0.96
2021-08-03,0.955,0.948,0.961
2021-08-04,0.955,0.948,0.961
2021-08-05,0.956,0.949,0.962
2021-08-06,0.955,0.949,0.962
2021-08-07,0.953,0.946,0.96
2021-08-08,0.953,0.947,0.96
2021-08-09,0.955,0.948,0.962
2021-08-10,0.953,0.946,0.96
2021-08-11,0.954,0.947,0.961
2021-08-12,0.954,0.947,0.961
2021-08-13,0.953,0.946,0.96
2021-08-14,0.955,0.948,0.961
2021-08-15,0.957,0.951,0.963
2021-08-16,0.955,0.949,0.961
2021-08-17,0.957,0.952,0.963
2021-08-18,0.956,0.95,0.963
2021-08-19,0.959,0.953,0.965
2021-08-20,0.958,0.952,0.965
2021-08-21,0.956,0.949,0.963
2021-08-22,0.961,0.954,0.967
2021-08-23,0.956,0.949,0.963
2021-08-24,0.957,0.95,0.964
2021-08-25,0.958,0.951,0.964
2021-08-26,0.954,0.947,0.961
2021-08-27,0.955,0.949,0.962
2021-08-28,0.958,0.952,0.964
2021-08-29,0.957,0.951,0.964
2021-08-30,0.958,0.951,0.965
2021-08-31,0.958,0.951,0.965
2021-09-01,0.958,0.951,0.966
2021-09-02,0.958,0.95,0.966
2021-09-03,0.957,0.949,0.964
2021-09-04,0.956,0.948,0.963
2021-09-05,0.955,0.948,0.963
2021-09-06,0.955,0.947,0.962
2021-09-07,0.957,0.949,0.965
2021-09-08,0.957,0.949,0.964
2021-09-09,0.956,0.948,0.963
2021-09-10,0.955,0.948,0.963
2021-09-11,0.957,0.949,0.964
2021-09-12,0.954,0.946,0.962
2021-09-13,0.955,0.948,0.963
2021-09-14,0.956,0.948,0.963
2021-09-15,0.956,0.949,0.963
2021-09-16,0.955,0.948,0.962
2021-09-17,0.955,0.948,0.962
2021-09-18,0.954,0.947,0.96
2021-09-19,0.953,0.946,0.96
2021-09-20,0.957,0.95,0.964
2021-09-21,0.955,0.947,0.962
2021-09-22,0.953,0.946,0.96
2021-09-23,0.953,0.946,0.96
2021-09-24,0.955,0.948,0.962
2021-09-25,0.957,0.95,0.963
2021-09-26,0.956,0.95,0.962
2021-09-27,0.953,0.947,0.96
2021-09-28,0.956,0.949,0.963
2021-09-29,0.956,0.949,0.963
2021-09-30,0.954,0.947,0.96
2021-10-01,0.955,0.949,0.962
2021-10-02,0.956,0.949,0.962
2021-10-03,0.953,0.947,0.96
2021-10-04,0.95,0.943,0.957
2021-10-05,0.954,0.947,0.962
2021-10-06,0.954,0.946,0.961
2021-10-07,0.953,0.946,0.96
2021-10-08,0.947,0.94,0.954
2021-10-09,0.947,0.94,0.954
2021-10-10,0.95,0.943,0.956
2021-10-11,0.948,0.941,0.954
2021-10-12,0.947,0.94,0.953
2021-10-13,0.946,0.94,0.953
2021-10-14,0.944,0.936,0.951
2021-10-15,0.949,0.942,0.956
2021-10-16,0.946,0.938,0.953
2021-10-17,0.945,0.938,0.953
2021-10-18,0.944,0.937,0.952
2021-10-19,0.94,0.933,0.948
2021-10-20,0.94,0.932,0.948
2021-10-21,0.933,0.925,0.942
2021-10-22,0.947,0.939,0.956
2021-10-23,0.931,0.922,0.94
2021-10-24,0.931,0.923,0.94
2021-10-25,0.931,0.922,0.94
2021-10-26,0.932,0.923,0.942
2021-10-27,0.93,0.92,0.939
2021-10-28,0.932,0.922,0.942
2021-10-29,0.928,0.918,0.939
2021-10-30,0.928,0.916,0.939
2021-10-31,0.93,0.919,0.942
2021-11-01,0.93,0.918,0.941
2021-11-02,0.92,0.908,0.932
2021-11-03,0.917,0.904,0.929
2021-11-04,0.917,0.905,0.93
2021-11-05,0.898,0.885,0.911
2021-11-06,0.898,0.884,0.912
2021-11-07,0.891,0.878,0.905
2021-11-08,0.89,0.876,0.904
2021-11-09,0.882,0.867,0.896
2021-11-10,0.873,0.858,0.887
2021-11-11,0.876,0.861,0.89
2021-11-12,0.877,0.862,0.892
2021-11-13,0.872,0.857,0.887
2021-11-14,0.868,0.852,0.884
2021-11-15,0.867,0.852,0.883
2021-11-16,0.865,0.849,0.881
2021-11-17,0.863,0.847,0.88
2021-11-18,0.87,0.853,0.887
2021-11-19,0.856,0.839,0.873
2021-11-20,0.854,0.836,0.872
2021-11-21,0.912,0.893,0.931
2021-11-22,0.917,0.898,0.935
2021-11-23,0.918,0.9,0.937
2021-11-24,0.92,0.901,0.939
2021-11-25,0.939,0.92,0.958
2021-11-26,0.944,0.925,0.962
2021-11-27,0.943,0.923,0.962
2021-11-28,0.944,0.924,0.963
2021-11-29,0.942,0.923,0.961
2021-11-30,0.942,0.923,0.961
2021-12-01,0.942,0.923,0.96
2021-12-02,0.941,0.923,0.96
2021-12-03,0.942,0.923,0.961
2021-12-04,0.94,0.92,0.959
2021-12-05,0.94,0.92,0.96
2021-12-06,0.94,0.92,0.96
2021-12-07,0.94,0.919,0.96
2021-12-08,0.941,0.921,0.961
2021-12-09,0.937,0.917,0.957
2021-12-10,0.937,0.917,0.958
2021-12-11,0.943,0.923,0.963
2021-12-12,0.943,0.923,0.964
