"data","R0","LB","UB"
2021-06-16,0.945,0.927,0.963
2021-06-17,0.944,0.926,0.962
2021-06-18,0.947,0.93,0.964
2021-06-19,0.929,0.912,0.946
2021-06-20,0.934,0.917,0.95
2021-06-21,0.937,0.92,0.954
2021-06-22,0.946,0.931,0.962
2021-06-23,0.949,0.934,0.963
2021-06-24,0.941,0.928,0.955
2021-06-25,0.952,0.94,0.964
2021-06-26,0.941,0.93,0.952
2021-06-27,0.925,0.915,0.935
2021-06-28,0.926,0.916,0.936
2021-06-29,0.93,0.92,0.94
2021-06-30,0.923,0.914,0.932
2021-07-01,0.921,0.912,0.93
2021-07-02,0.912,0.902,0.922
2021-07-03,0.918,0.907,0.928
2021-07-04,0.909,0.899,0.919
2021-07-05,0.909,0.899,0.92
2021-07-06,0.909,0.898,0.919
2021-07-07,0.902,0.89,0.914
2021-07-08,0.895,0.882,0.908
2021-07-09,0.925,0.911,0.939
2021-07-10,0.92,0.906,0.934
2021-07-11,0.919,0.904,0.933
2021-07-12,0.9,0.885,0.915
2021-07-13,0.899,0.884,0.915
2021-07-14,0.9,0.885,0.915
2021-07-15,0.899,0.884,0.914
2021-07-16,0.906,0.891,0.922
2021-07-17,0.906,0.891,0.921
2021-07-18,0.907,0.891,0.922
2021-07-19,0.906,0.891,0.922
2021-07-20,0.908,0.893,0.924
2021-07-21,0.911,0.896,0.927
2021-07-22,0.912,0.897,0.928
2021-07-23,0.914,0.898,0.93
2021-07-24,0.911,0.895,0.927
2021-07-25,0.9,0.884,0.915
2021-07-26,0.902,0.888,0.917
2021-07-27,0.909,0.895,0.923
2021-07-28,0.912,0.898,0.926
2021-07-29,0.912,0.898,0.926
2021-07-30,0.914,0.9,0.927
2021-07-31,0.918,0.905,0.93
2021-08-01,0.916,0.904,0.928
2021-08-02,0.917,0.906,0.929
2021-08-03,0.927,0.915,0.938
2021-08-04,0.935,0.923,0.946
2021-08-05,0.927,0.915,0.938
2021-08-06,0.936,0.925,0.947
2021-08-07,0.939,0.929,0.949
2021-08-08,0.941,0.931,0.951
2021-08-09,0.948,0.938,0.959
2021-08-10,0.949,0.939,0.959
2021-08-11,0.956,0.946,0.966
2021-08-12,0.956,0.945,0.966
2021-08-13,0.954,0.944,0.965
2021-08-14,0.96,0.95,0.97
2021-08-15,0.958,0.948,0.968
2021-08-16,0.964,0.953,0.974
2021-08-17,0.968,0.958,0.979
2021-08-18,0.969,0.959,0.98
2021-08-19,0.967,0.956,0.979
2021-08-20,0.96,0.949,0.971
2021-08-21,0.97,0.959,0.981
2021-08-22,0.968,0.956,0.979
2021-08-23,0.976,0.964,0.988
2021-08-24,0.974,0.963,0.986
2021-08-25,0.981,0.968,0.993
2021-08-26,0.987,0.974,0.999
2021-08-27,0.984,0.971,0.998
2021-08-28,0.985,0.971,0.999
2021-08-29,0.987,0.973,1.001
2021-08-30,0.985,0.971,1
2021-08-31,0.984,0.969,0.998
2021-09-01,0.985,0.971,0.999
2021-09-02,0.985,0.97,1
2021-09-03,0.992,0.975,1.008
2021-09-04,1.02,1.004,1.037
2021-09-05,1.018,1.002,1.034
2021-09-06,1.018,1.003,1.034
2021-09-07,1.024,1.009,1.039
2021-09-08,1.004,0.989,1.019
2021-09-09,1.008,0.994,1.022
2021-09-10,1.009,0.995,1.022
2021-09-11,1.014,1.002,1.027
2021-09-12,1.009,0.997,1.021
2021-09-13,1.006,0.994,1.018
2021-09-14,1.006,0.995,1.018
2021-09-15,1.012,1.002,1.023
2021-09-16,1.005,0.994,1.016
2021-09-17,0.982,0.971,0.993
2021-09-18,1.006,0.995,1.017
2021-09-19,0.994,0.984,1.004
2021-09-20,0.988,0.978,0.998
2021-09-21,0.981,0.971,0.992
2021-09-22,0.994,0.983,1.004
2021-09-23,0.994,0.983,1.005
