"data","R0","LB","UB"
2021-11-04,0.889,0.889,0.889
2021-11-05,0.89,0.89,0.89
2021-11-06,0.891,0.891,0.891
2021-11-07,0.892,0.891,0.892
2021-11-08,0.892,0.892,0.892
2021-11-09,0.891,0.891,0.891
2021-11-10,0.891,0.891,0.891
2021-11-11,0.89,0.89,0.89
2021-11-12,0.888,0.888,0.888
2021-11-13,0.887,0.887,0.887
2021-11-14,0.885,0.885,0.885
2021-11-15,0.883,0.883,0.883
2021-11-16,0.881,0.881,0.881
2021-11-17,0.88,0.879,0.88
2021-11-18,0.878,0.878,0.878
2021-11-19,0.876,0.876,0.876
2021-11-20,0.875,0.875,0.875
2021-11-21,0.874,0.874,0.874
2021-11-22,0.873,0.873,0.873
2021-11-23,0.873,0.873,0.873
2021-11-24,0.874,0.873,0.874
2021-11-25,0.874,0.874,0.874
2021-11-26,0.876,0.876,0.876
2021-11-27,0.878,0.878,0.878
2021-11-28,0.88,0.88,0.88
2021-11-29,0.883,0.883,0.883
2021-11-30,0.886,0.886,0.887
2021-12-01,0.89,0.89,0.89
2021-12-02,0.894,0.894,0.894
2021-12-03,0.898,0.898,0.898
2021-12-04,0.903,0.903,0.903
2021-12-05,0.907,0.907,0.907
2021-12-06,0.911,0.911,0.911
2021-12-07,0.915,0.915,0.915
2021-12-08,0.919,0.918,0.919
2021-12-09,0.922,0.922,0.922
2021-12-10,0.924,0.924,0.924
2021-12-11,0.926,0.926,0.926
2021-12-12,0.928,0.927,0.928
2021-12-13,0.928,0.928,0.928
2021-12-14,0.928,0.928,0.928
2021-12-15,0.928,0.928,0.928
2021-12-16,0.927,0.926,0.927
2021-12-17,0.925,0.925,0.925
2021-12-18,0.923,0.922,0.923
2021-12-19,0.92,0.92,0.92
2021-12-20,0.917,0.917,0.917
2021-12-21,0.914,0.914,0.914
2021-12-22,0.911,0.911,0.911
2021-12-23,0.908,0.908,0.908
2021-12-24,0.905,0.905,0.905
2021-12-25,0.902,0.902,0.902
2021-12-26,0.9,0.899,0.9
2021-12-27,0.897,0.897,0.897
