"data","R0","LB","UB"
2021-10-19,0.997,0.962,1.033
2021-10-20,1.031,1,1.062
2021-10-21,1.046,1.018,1.074
2021-10-22,1.028,1.001,1.054
2021-10-23,1.003,0.98,1.026
2021-10-24,1.011,0.99,1.033
2021-10-25,1.027,1.006,1.047
2021-10-26,1.042,1.023,1.061
2021-10-27,1.021,1.004,1.038
2021-10-28,1.016,0.999,1.033
2021-10-29,0.988,0.972,1.005
2021-10-30,0.978,0.962,0.994
2021-10-31,0.985,0.969,1.002
2021-11-01,0.992,0.975,1.008
2021-11-02,0.978,0.961,0.994
2021-11-03,0.983,0.965,1.001
2021-11-04,0.966,0.947,0.985
2021-11-05,0.983,0.963,1.003
2021-11-06,0.991,0.972,1.011
2021-11-07,0.986,0.966,1.006
2021-11-08,0.992,0.973,1.012
2021-11-09,0.978,0.959,0.998
2021-11-10,0.951,0.931,0.971
2021-11-11,0.971,0.95,0.993
2021-11-12,0.956,0.934,0.977
2021-11-13,0.959,0.937,0.981
2021-11-14,0.975,0.953,0.997
2021-11-15,0.967,0.943,0.991
2021-11-16,0.941,0.917,0.965
2021-11-17,0.907,0.883,0.931
2021-11-18,0.9,0.877,0.922
2021-11-19,0.909,0.888,0.93
2021-11-20,0.907,0.887,0.927
2021-11-21,0.906,0.886,0.925
2021-11-22,0.889,0.869,0.91
2021-11-23,0.887,0.867,0.908
2021-11-24,0.895,0.875,0.915
2021-11-25,0.899,0.879,0.919
2021-11-26,0.884,0.864,0.904
2021-11-27,0.886,0.866,0.906
2021-11-28,0.887,0.866,0.907
2021-11-29,0.895,0.875,0.916
2021-11-30,0.897,0.877,0.918
2021-12-01,0.891,0.87,0.911
2021-12-02,0.903,0.881,0.924
2021-12-03,0.884,0.861,0.907
2021-12-04,0.956,0.934,0.979
2021-12-05,0.971,0.949,0.994
2021-12-06,0.974,0.952,0.996
2021-12-07,1.004,0.982,1.025
2021-12-08,1.025,1.003,1.046
2021-12-09,1.037,1.014,1.061
2021-12-10,1.052,1.028,1.075
2021-12-11,1.074,1.05,1.099
2021-12-12,1.124,1.1,1.147
2021-12-13,1.146,1.123,1.169
2021-12-14,1.185,1.161,1.209
2021-12-15,1.202,1.177,1.228
2021-12-16,1.285,1.261,1.308
2021-12-17,1.343,1.319,1.368
2021-12-18,1.389,1.365,1.413
2021-12-19,1.43,1.404,1.457
2021-12-20,1.508,1.479,1.537
2021-12-21,1.542,1.512,1.571
2021-12-22,1.528,1.499,1.557
2021-12-23,1.578,1.547,1.608
2021-12-24,1.64,1.607,1.673
2021-12-25,1.604,1.571,1.638
2021-12-26,1.646,1.613,1.679
2021-12-27,1.636,1.604,1.668
2021-12-28,1.727,1.695,1.76
2021-12-29,1.712,1.681,1.743
2021-12-30,1.635,1.602,1.669
2021-12-31,1.694,1.661,1.728
2022-01-01,1.634,1.6,1.669
2022-01-02,1.593,1.56,1.627
2022-01-03,1.575,1.545,1.606
2022-01-04,1.514,1.485,1.543
2022-01-05,1.458,1.432,1.484
2022-01-06,1.425,1.4,1.45
2022-01-07,1.374,1.35,1.399
2022-01-08,1.29,1.268,1.312
2022-01-09,1.248,1.226,1.269
2022-01-10,1.199,1.178,1.22
