"data","R0","LB","UB"
2021-09-21,0.834,0.799,0.869
2021-09-22,0.835,0.8,0.87
2021-09-23,0.825,0.794,0.857
2021-09-24,0.83,0.802,0.858
2021-09-25,0.803,0.776,0.829
2021-09-26,0.8,0.777,0.824
2021-09-27,0.816,0.794,0.838
2021-09-28,0.841,0.819,0.862
2021-09-29,0.835,0.814,0.856
2021-09-30,0.84,0.818,0.862
2021-10-01,0.87,0.849,0.891
2021-10-02,0.894,0.873,0.915
2021-10-03,0.923,0.9,0.945
2021-10-04,0.898,0.876,0.919
2021-10-05,0.925,0.903,0.947
2021-10-06,0.949,0.928,0.97
2021-10-07,0.964,0.943,0.986
2021-10-08,0.978,0.955,1.002
2021-10-09,0.964,0.941,0.988
2021-10-10,0.985,0.96,1.01
2021-10-11,0.988,0.96,1.016
2021-10-12,1.025,0.995,1.055
2021-10-13,1.029,0.999,1.059
2021-10-14,1.014,0.983,1.045
2021-10-15,0.998,0.966,1.03
2021-10-16,0.97,0.939,1.002
2021-10-17,0.929,0.898,0.961
2021-10-18,0.934,0.904,0.964
2021-10-19,0.935,0.905,0.965
2021-10-20,0.938,0.909,0.967
2021-10-21,0.966,0.937,0.995
2021-10-22,0.965,0.937,0.994
2021-10-23,0.952,0.925,0.979
2021-10-24,0.936,0.908,0.964
2021-10-25,0.936,0.909,0.963
2021-10-26,0.942,0.916,0.968
2021-10-27,0.934,0.908,0.96
2021-10-28,0.908,0.883,0.933
2021-10-29,0.939,0.913,0.964
2021-10-30,0.89,0.864,0.916
2021-10-31,0.874,0.848,0.899
2021-11-01,0.898,0.872,0.925
2021-11-02,0.862,0.834,0.89
2021-11-03,0.888,0.861,0.915
2021-11-04,0.89,0.864,0.917
2021-11-05,0.892,0.865,0.919
2021-11-06,0.906,0.88,0.932
2021-11-07,0.922,0.898,0.946
2021-11-08,0.927,0.904,0.95
2021-11-09,0.93,0.906,0.954
2021-11-10,0.936,0.911,0.96
2021-11-11,0.945,0.92,0.969
2021-11-12,0.934,0.909,0.959
2021-11-13,0.898,0.873,0.924
2021-11-14,0.907,0.882,0.931
2021-11-15,0.906,0.883,0.93
2021-11-16,0.904,0.879,0.929
2021-11-17,0.9,0.875,0.925
2021-11-18,0.88,0.855,0.904
2021-11-19,0.848,0.823,0.874
2021-11-20,0.835,0.808,0.861
2021-11-21,0.836,0.81,0.862
2021-11-22,0.83,0.805,0.854
2021-11-23,0.818,0.795,0.84
2021-11-24,0.809,0.784,0.833
2021-11-25,0.81,0.786,0.834
2021-11-26,0.806,0.781,0.831
2021-11-27,0.798,0.773,0.824
2021-11-28,0.799,0.774,0.824
2021-11-29,0.794,0.768,0.819
2021-11-30,0.779,0.752,0.806
2021-12-01,0.773,0.746,0.8
2021-12-02,0.769,0.742,0.796
2021-12-03,0.775,0.749,0.802
2021-12-04,0.789,0.762,0.815
2021-12-05,0.845,0.818,0.872
2021-12-06,0.865,0.838,0.892
2021-12-07,0.897,0.868,0.925
2021-12-08,0.943,0.914,0.971
2021-12-09,0.972,0.944,1.001
2021-12-10,1.027,0.998,1.055
2021-12-11,1.039,1.008,1.07
2021-12-12,1.135,1.106,1.164
2021-12-13,1.173,1.145,1.201
2021-12-14,1.219,1.192,1.245
2021-12-15,1.291,1.259,1.323
2021-12-16,1.354,1.319,1.388
2021-12-17,1.439,1.403,1.475
2021-12-18,1.47,1.432,1.508
2021-12-19,1.526,1.485,1.566
2021-12-20,1.561,1.518,1.603
2021-12-21,1.67,1.624,1.716
2021-12-22,1.752,1.707,1.798
2021-12-23,1.772,1.728,1.817
2021-12-24,1.807,1.761,1.853
2021-12-25,1.871,1.823,1.918
2021-12-26,1.894,1.846,1.942
2021-12-27,1.872,1.822,1.921
2021-12-28,1.888,1.841,1.935
2021-12-29,1.9,1.853,1.947
2021-12-30,1.835,1.79,1.879
2021-12-31,1.821,1.779,1.863
2022-01-01,1.8,1.76,1.84
2022-01-02,1.745,1.705,1.785
2022-01-03,1.658,1.62,1.697
2022-01-04,1.722,1.683,1.761
2022-01-05,1.646,1.611,1.682
2022-01-06,1.604,1.568,1.64
2022-01-07,1.552,1.515,1.589
2022-01-08,1.488,1.453,1.522
2022-01-09,1.404,1.371,1.436
2022-01-10,1.341,1.312,1.371
2022-01-11,1.275,1.246,1.303
2022-01-12,1.215,1.186,1.244
2022-01-13,1.17,1.142,1.198
2022-01-14,1.106,1.081,1.13
2022-01-15,1.092,1.066,1.117
2022-01-16,1.07,1.045,1.096
2022-01-17,1.014,0.99,1.038
2022-01-18,0.991,0.966,1.016
2022-01-19,0.929,0.902,0.955
2022-01-20,0.891,0.865,0.918
2022-01-21,0.919,0.894,0.944
2022-01-22,0.862,0.837,0.886
