"data","R0","LB","UB"
2021-08-11,1.004,0.979,1.03
2021-08-12,0.973,0.949,0.996
2021-08-13,0.991,0.97,1.012
2021-08-14,0.988,0.969,1.008
2021-08-15,1.001,0.982,1.019
2021-08-16,0.996,0.979,1.013
2021-08-17,0.995,0.979,1.011
2021-08-18,0.977,0.961,0.993
2021-08-19,0.979,0.964,0.994
2021-08-20,0.987,0.971,1.002
2021-08-21,0.984,0.968,1
2021-08-22,1.005,0.989,1.021
2021-08-23,0.988,0.972,1.003
2021-08-24,0.989,0.974,1.005
2021-08-25,0.979,0.963,0.994
2021-08-26,0.972,0.956,0.988
2021-08-27,0.982,0.966,0.999
2021-08-28,0.964,0.948,0.981
2021-08-29,0.99,0.974,1.006
2021-08-30,0.98,0.963,0.996
2021-08-31,0.963,0.948,0.979
2021-09-01,0.967,0.952,0.982
2021-09-02,0.97,0.954,0.987
2021-09-03,0.973,0.956,0.99
2021-09-04,0.971,0.953,0.988
2021-09-05,0.976,0.959,0.993
2021-09-06,0.988,0.971,1.004
2021-09-07,0.987,0.969,1.004
2021-09-08,1.012,0.994,1.03
2021-09-09,0.995,0.978,1.012
2021-09-10,0.996,0.979,1.013
2021-09-11,1.015,0.998,1.032
2021-09-12,0.998,0.98,1.016
2021-09-13,0.995,0.976,1.015
2021-09-14,1.031,1.011,1.05
2021-09-15,1.027,1.007,1.047
2021-09-16,1.001,0.98,1.021
2021-09-17,1.015,0.996,1.033
2021-09-18,1.011,0.993,1.028
2021-09-19,1.008,0.989,1.026
2021-09-20,1,0.981,1.019
2021-09-21,1.001,0.982,1.019
2021-09-22,0.991,0.973,1.01
2021-09-23,1.003,0.985,1.021
2021-09-24,1.01,0.992,1.027
2021-09-25,1.011,0.994,1.029
2021-09-26,0.993,0.975,1.011
2021-09-27,1.012,0.995,1.03
2021-09-28,1.012,0.995,1.029
2021-09-29,1.012,0.995,1.03
2021-09-30,0.995,0.978,1.013
2021-10-01,0.991,0.974,1.007
2021-10-02,0.993,0.976,1.01
2021-10-03,0.986,0.969,1.003
2021-10-04,1,0.982,1.017
2021-10-05,1.004,0.987,1.021
2021-10-06,1.007,0.988,1.025
2021-10-07,0.988,0.968,1.008
2021-10-08,1.024,1.005,1.044
2021-10-09,1.025,1.005,1.044
2021-10-10,0.972,0.952,0.992
2021-10-11,1,0.98,1.02
2021-10-12,1.004,0.986,1.022
2021-10-13,0.993,0.974,1.011
2021-10-14,0.987,0.968,1.006
2021-10-15,0.98,0.961,0.999
2021-10-16,0.98,0.961,1
2021-10-17,0.972,0.952,0.991
2021-10-18,0.963,0.944,0.983
2021-10-19,0.977,0.958,0.996
2021-10-20,0.975,0.958,0.993
2021-10-21,0.957,0.94,0.975
2021-10-22,0.959,0.941,0.977
2021-10-23,0.959,0.942,0.977
2021-10-24,0.953,0.936,0.97
2021-10-25,0.943,0.928,0.959
2021-10-26,0.955,0.939,0.972
2021-10-27,0.955,0.939,0.971
2021-10-28,0.943,0.927,0.959
2021-10-29,0.946,0.929,0.962
2021-10-30,0.927,0.911,0.943
2021-10-31,0.93,0.912,0.947
2021-11-01,0.929,0.911,0.946
2021-11-02,0.921,0.904,0.938
2021-11-03,0.918,0.901,0.936
2021-11-04,0.91,0.892,0.927
2021-11-05,0.9,0.883,0.917
2021-11-06,0.908,0.89,0.926
2021-11-07,0.91,0.893,0.926
2021-11-08,0.906,0.888,0.923
2021-11-09,0.905,0.888,0.923
2021-11-10,0.907,0.889,0.924
2021-11-11,0.917,0.9,0.934
2021-11-12,0.899,0.882,0.917
2021-11-13,0.899,0.881,0.917
2021-11-14,0.898,0.88,0.916
2021-11-15,0.893,0.873,0.913
2021-11-16,0.883,0.863,0.903
2021-11-17,0.867,0.846,0.887
2021-11-18,0.877,0.857,0.896
2021-11-19,0.888,0.869,0.906
2021-11-20,0.889,0.87,0.909
2021-11-21,0.878,0.857,0.899
2021-11-22,0.893,0.872,0.915
2021-11-23,0.9,0.879,0.922
2021-11-24,0.908,0.886,0.931
2021-11-25,0.925,0.903,0.947
2021-11-26,0.933,0.911,0.955
2021-11-27,0.943,0.921,0.965
2021-11-28,0.945,0.922,0.969
2021-11-29,0.944,0.921,0.968
2021-11-30,0.931,0.908,0.955
2021-12-01,0.959,0.936,0.983
2021-12-02,0.968,0.945,0.991
2021-12-03,0.939,0.915,0.963
2021-12-04,0.92,0.895,0.944
2021-12-05,0.956,0.933,0.979
2021-12-06,0.982,0.96,1.004
2021-12-07,0.982,0.961,1.003
2021-12-08,1.013,0.993,1.033
2021-12-09,1.025,1.005,1.045
2021-12-10,1.039,1.02,1.058
2021-12-11,1.046,1.027,1.065
2021-12-12,1.059,1.041,1.077
2021-12-13,1.097,1.078,1.116
2021-12-14,1.102,1.083,1.121
2021-12-15,1.128,1.108,1.148
2021-12-16,1.118,1.098,1.138
2021-12-17,1.143,1.122,1.164
2021-12-18,1.18,1.159,1.202
2021-12-19,1.21,1.189,1.231
2021-12-20,1.211,1.187,1.236
2021-12-21,1.205,1.181,1.229
2021-12-22,1.229,1.204,1.255
2021-12-23,1.232,1.205,1.26
2021-12-24,1.239,1.209,1.27
2021-12-25,1.313,1.281,1.345
2021-12-26,1.317,1.283,1.351
2021-12-27,1.299,1.264,1.334
2021-12-28,1.323,1.289,1.357
2021-12-29,1.314,1.28,1.348
2021-12-30,1.294,1.261,1.328
2021-12-31,1.313,1.281,1.346
2022-01-01,1.326,1.294,1.358
2022-01-02,1.342,1.312,1.372
2022-01-03,1.343,1.313,1.373
2022-01-04,1.377,1.348,1.407
2022-01-05,1.37,1.342,1.397
2022-01-06,1.334,1.307,1.362
2022-01-07,1.323,1.296,1.349
2022-01-08,1.329,1.305,1.354
2022-01-09,1.315,1.29,1.34
2022-01-10,1.313,1.288,1.339
2022-01-11,1.322,1.297,1.347
2022-01-12,1.307,1.282,1.332
2022-01-13,1.305,1.28,1.331
2022-01-14,1.296,1.27,1.321
2022-01-15,1.272,1.247,1.297
2022-01-16,1.26,1.234,1.286
2022-01-17,1.259,1.233,1.286
2022-01-18,1.259,1.232,1.286
2022-01-19,1.252,1.223,1.281
2022-01-20,1.268,1.238,1.298
2022-01-21,1.231,1.2,1.263
2022-01-22,1.245,1.211,1.278
2022-01-23,1.233,1.196,1.27
2022-01-24,1.236,1.197,1.275
2022-01-25,1.216,1.174,1.258
2022-01-26,1.193,1.149,1.236
2022-01-27,1.18,1.135,1.225
2022-01-28,1.195,1.147,1.244
2022-01-29,1.206,1.155,1.256
2022-01-30,1.199,1.148,1.25
2022-01-31,1.186,1.136,1.236
2022-02-01,1.184,1.129,1.239
2022-02-02,1.184,1.126,1.242
2022-02-03,1.142,1.081,1.203
2022-02-04,1.172,1.111,1.233
2022-02-05,1.25,1.187,1.313
2022-02-06,1.26,1.198,1.321
2022-02-07,1.263,1.197,1.328
2022-02-08,1.169,1.102,1.235
