"data","R0","LB","UB"
2020-04-15,1.53,1.48,1.58
2020-04-16,1.53,1.49,1.57
2020-04-17,1.48,1.44,1.52
2020-04-18,1.45,1.42,1.49
2020-04-19,1.4,1.37,1.43
2020-04-20,1.36,1.34,1.39
2020-04-21,1.37,1.35,1.39
2020-04-22,1.29,1.27,1.31
2020-04-23,1.25,1.23,1.27
2020-04-24,1.22,1.2,1.24
2020-04-25,1.17,1.15,1.19
2020-04-26,1.17,1.15,1.18
2020-04-27,1.11,1.09,1.13
2020-04-28,1.1,1.08,1.11
2020-04-29,1.07,1.04,1.09
2020-04-30,0.99,0.97,1.02
2020-05-01,0.97,0.94,0.99
2020-05-02,0.95,0.93,0.97
2020-05-03,0.94,0.92,0.97
2020-05-04,0.93,0.9,0.95
2020-05-05,0.91,0.88,0.93
2020-05-06,0.91,0.88,0.93
2020-05-07,0.91,0.88,0.93
2020-05-08,0.93,0.91,0.96
2020-05-09,0.94,0.92,0.97
2020-05-10,0.93,0.9,0.95
2020-05-11,0.93,0.9,0.95
2020-05-12,0.95,0.93,0.97
2020-05-13,0.95,0.93,0.97
2020-05-14,0.97,0.95,0.99
2020-05-15,1,0.98,1.02
2020-05-16,1.01,0.99,1.03
2020-05-17,1.02,1,1.04
2020-05-18,1.06,1.04,1.08
2020-05-19,1.04,1.02,1.06
2020-05-20,1.06,1.04,1.08
2020-05-21,1.08,1.06,1.1
2020-05-22,1.11,1.09,1.13
2020-05-23,1.12,1.1,1.14
2020-05-24,1.13,1.11,1.15
2020-05-25,1.18,1.15,1.2
2020-05-26,1.19,1.16,1.21
2020-05-27,1.19,1.17,1.22
2020-05-28,1.21,1.18,1.23
2020-05-29,1.23,1.2,1.25
2020-05-30,1.24,1.22,1.27
2020-05-31,1.27,1.24,1.29
2020-06-01,1.33,1.3,1.35
2020-06-02,1.31,1.29,1.34
2020-06-03,1.33,1.31,1.36
2020-06-04,1.3,1.28,1.33
2020-06-05,1.33,1.3,1.35
2020-06-06,1.37,1.35,1.4
2020-06-07,1.37,1.35,1.4
2020-06-08,1.37,1.34,1.39
2020-06-09,1.36,1.34,1.39
2020-06-10,1.34,1.31,1.36
