"data","R0","LB","UB"
2021-06-02,1.08,1.07,1.1
2021-06-03,1.08,1.07,1.1
2021-06-04,1.08,1.07,1.1
2021-06-05,1.09,1.07,1.1
2021-06-06,1.07,1.06,1.08
2021-06-07,1.08,1.07,1.09
2021-06-08,1.07,1.06,1.08
2021-06-09,1.08,1.07,1.08
2021-06-10,1.09,1.08,1.1
2021-06-11,1.08,1.07,1.09
2021-06-12,1.09,1.08,1.1
2021-06-13,1.07,1.06,1.08
2021-06-14,1.07,1.06,1.08
2021-06-15,1.07,1.06,1.07
2021-06-16,1.06,1.06,1.07
2021-06-17,1.06,1.06,1.07
2021-06-18,1.06,1.05,1.07
2021-06-19,1.06,1.06,1.07
2021-06-20,1.06,1.05,1.07
2021-06-21,1.06,1.05,1.06
2021-06-22,1.05,1.04,1.06
2021-06-23,1.05,1.04,1.06
2021-06-24,1.05,1.04,1.05
2021-06-25,1.04,1.04,1.05
2021-06-26,1.05,1.04,1.05
2021-06-27,1.05,1.04,1.05
2021-06-28,1.04,1.04,1.05
2021-06-29,1.04,1.04,1.05
2021-06-30,1.04,1.03,1.05
2021-07-01,1.04,1.03,1.04
2021-07-02,1.04,1.03,1.05
2021-07-03,1.04,1.03,1.04
2021-07-04,1.04,1.03,1.05
2021-07-05,1.04,1.04,1.05
2021-07-06,1.04,1.03,1.05
2021-07-07,1.03,1.03,1.04
2021-07-08,1.03,1.02,1.04
2021-07-09,1.03,1.02,1.04
2021-07-10,1.03,1.02,1.03
2021-07-11,1.02,1.02,1.03
2021-07-12,1.02,1.01,1.03
2021-07-13,1.02,1.02,1.03
2021-07-14,1.03,1.02,1.03
2021-07-15,1.02,1.02,1.03
2021-07-16,1.02,1.02,1.03
2021-07-17,1.02,1.01,1.03
2021-07-18,1.02,1.01,1.03
2021-07-19,1.02,1.02,1.03
2021-07-20,1.02,1.01,1.03
2021-07-21,1.01,1.01,1.02
2021-07-22,1.01,1.01,1.02
2021-07-23,1.01,1.01,1.02
2021-07-24,1.01,1,1.02
2021-07-25,1.01,1,1.02
2021-07-26,1.01,1,1.01
2021-07-27,1.01,1,1.01
2021-07-28,1.01,1,1.02
2021-07-29,1.01,1,1.02
2021-07-30,1,0.99,1
2021-07-31,1,0.99,1
2021-08-01,0.99,0.98,1
2021-08-02,0.99,0.98,1
2021-08-03,0.99,0.99,1
2021-08-04,0.99,0.98,1
2021-08-05,0.99,0.99,1
2021-08-06,0.99,0.98,0.99
2021-08-07,0.99,0.99,1
2021-08-08,0.99,0.98,0.99
2021-08-09,0.99,0.98,1
2021-08-10,0.99,0.98,1
2021-08-11,0.99,0.98,0.99
2021-08-12,0.98,0.98,0.99
2021-08-13,0.99,0.98,0.99
2021-08-14,0.98,0.98,0.99
2021-08-15,0.98,0.97,0.99
2021-08-16,0.97,0.97,0.98
2021-08-17,0.97,0.97,0.98
2021-08-18,0.97,0.96,0.98
2021-08-19,0.97,0.96,0.97
2021-08-20,0.96,0.96,0.97
2021-08-21,0.96,0.95,0.97
2021-08-22,0.96,0.95,0.97
2021-08-23,0.96,0.95,0.96
2021-08-24,0.96,0.95,0.97
2021-08-25,0.96,0.95,0.96
2021-08-26,0.95,0.95,0.96
2021-08-27,0.96,0.95,0.97
2021-08-28,0.96,0.95,0.96
2021-08-29,0.96,0.95,0.97
2021-08-30,0.96,0.95,0.96
2021-08-31,0.96,0.95,0.97
2021-09-01,0.96,0.95,0.97
2021-09-02,0.96,0.95,0.97
2021-09-03,0.95,0.95,0.96
2021-09-04,0.95,0.95,0.96
2021-09-05,0.95,0.94,0.96
2021-09-06,0.95,0.94,0.96
2021-09-07,0.95,0.94,0.95
2021-09-08,0.95,0.94,0.95
2021-09-09,0.95,0.95,0.96
2021-09-10,0.95,0.94,0.96
2021-09-11,0.95,0.94,0.96
2021-09-12,0.95,0.95,0.96
2021-09-13,0.95,0.94,0.96
2021-09-14,0.94,0.93,0.95
2021-09-15,0.94,0.94,0.95
2021-09-16,0.95,0.94,0.95
2021-09-17,0.95,0.94,0.96
2021-09-18,0.96,0.95,0.97
2021-09-19,0.96,0.95,0.97
2021-09-20,0.96,0.95,0.97
2021-09-21,0.96,0.95,0.96
2021-09-22,0.94,0.93,0.94
2021-09-23,0.94,0.93,0.94
2021-09-24,0.95,0.94,0.96
2021-09-25,0.95,0.94,0.95
2021-09-26,0.94,0.94,0.95
2021-09-27,0.94,0.94,0.95
2021-09-28,0.94,0.94,0.95
2021-09-29,0.95,0.94,0.96
2021-09-30,0.95,0.95,0.96
2021-10-01,0.96,0.95,0.96
2021-10-02,0.95,0.94,0.95
2021-10-03,0.94,0.94,0.95
2021-10-04,0.95,0.94,0.96
2021-10-05,0.95,0.94,0.96
2021-10-06,0.94,0.94,0.95
2021-10-07,0.95,0.94,0.96
2021-10-08,0.95,0.94,0.95
2021-10-09,0.94,0.94,0.95
2021-10-10,0.94,0.93,0.94
2021-10-11,0.94,0.94,0.95
2021-10-12,0.94,0.93,0.95
2021-10-13,0.94,0.93,0.94
2021-10-14,0.94,0.93,0.94
2021-10-15,0.94,0.93,0.95
2021-10-16,0.93,0.93,0.94
2021-10-17,0.93,0.93,0.94
2021-10-18,0.93,0.92,0.94
2021-10-19,0.94,0.93,0.94
2021-10-20,0.95,0.94,0.95
2021-10-21,0.93,0.93,0.94
2021-10-22,0.94,0.93,0.95
2021-10-23,0.94,0.93,0.95
2021-10-24,0.94,0.93,0.95
2021-10-25,0.94,0.93,0.95
2021-10-26,0.95,0.94,0.96
2021-10-27,0.95,0.95,0.96
2021-10-28,0.94,0.93,0.95
2021-10-29,0.94,0.93,0.95
2021-10-30,0.93,0.93,0.94
2021-10-31,0.94,0.94,0.95
2021-11-01,0.94,0.93,0.95
2021-11-02,0.94,0.93,0.95
2021-11-03,0.95,0.94,0.96
2021-11-04,0.94,0.93,0.95
2021-11-05,0.95,0.94,0.96
2021-11-06,0.94,0.93,0.95
2021-11-07,0.94,0.93,0.95
2021-11-08,0.94,0.93,0.95
2021-11-09,0.95,0.93,0.96
2021-11-10,0.94,0.93,0.95
2021-11-11,0.94,0.93,0.95
2021-11-12,0.94,0.93,0.95
2021-11-13,0.94,0.93,0.95
2021-11-14,0.95,0.94,0.96
2021-11-15,0.95,0.94,0.96
2021-11-16,0.95,0.94,0.96
2021-11-17,0.95,0.94,0.96
