"data","R0","LB","UB"
2021-08-03,1.066,1.039,1.094
2021-08-04,1.077,1.051,1.102
2021-08-05,1.078,1.055,1.101
2021-08-06,1.056,1.035,1.076
2021-08-07,1.049,1.03,1.068
2021-08-08,1.043,1.025,1.061
2021-08-09,1.029,1.012,1.046
2021-08-10,1.017,1.002,1.032
2021-08-11,1.015,1,1.03
2021-08-12,1.018,1.004,1.033
2021-08-13,1.019,1.005,1.034
2021-08-14,1.014,1,1.028
2021-08-15,1.013,0.999,1.028
2021-08-16,0.991,0.977,1.006
2021-08-17,0.996,0.981,1.011
2021-08-18,0.956,0.94,0.972
2021-08-19,0.965,0.948,0.981
2021-08-20,0.959,0.943,0.975
2021-08-21,0.959,0.942,0.976
2021-08-22,0.952,0.934,0.97
2021-08-23,0.958,0.941,0.976
2021-08-24,0.947,0.929,0.964
2021-08-25,0.953,0.936,0.971
2021-08-26,0.946,0.927,0.964
2021-08-27,0.947,0.928,0.965
2021-08-28,0.947,0.928,0.966
2021-08-29,0.93,0.911,0.948
2021-08-30,0.931,0.912,0.951
2021-08-31,0.925,0.906,0.944
2021-09-01,0.917,0.899,0.935
2021-09-02,0.952,0.934,0.971
2021-09-03,0.908,0.89,0.926
2021-09-04,0.939,0.921,0.957
2021-09-05,0.912,0.894,0.929
2021-09-06,0.948,0.932,0.965
2021-09-07,0.931,0.915,0.948
2021-09-08,0.938,0.922,0.953
2021-09-09,0.964,0.948,0.981
2021-09-10,0.949,0.932,0.966
2021-09-11,0.975,0.957,0.993
2021-09-12,0.941,0.923,0.959
2021-09-13,0.953,0.935,0.971
2021-09-14,0.958,0.939,0.976
2021-09-15,0.953,0.933,0.972
2021-09-16,0.956,0.937,0.975
2021-09-17,0.947,0.928,0.966
2021-09-18,0.955,0.936,0.973
2021-09-19,0.953,0.933,0.972
2021-09-20,0.953,0.934,0.971
2021-09-21,0.96,0.941,0.978
2021-09-22,0.968,0.95,0.987
2021-09-23,0.967,0.949,0.985
2021-09-24,0.958,0.94,0.975
2021-09-25,0.963,0.947,0.98
2021-09-26,0.988,0.972,1.005
2021-09-27,0.969,0.953,0.985
2021-09-28,0.975,0.959,0.99
2021-09-29,0.969,0.953,0.984
2021-09-30,0.957,0.941,0.973
2021-10-01,0.96,0.943,0.976
2021-10-02,0.965,0.948,0.982
2021-10-03,0.972,0.955,0.99
2021-10-04,0.965,0.948,0.982
2021-10-05,0.961,0.944,0.978
2021-10-06,0.948,0.93,0.966
2021-10-07,0.937,0.919,0.955
2021-10-08,0.958,0.94,0.977
2021-10-09,0.946,0.929,0.963
2021-10-10,0.963,0.945,0.981
2021-10-11,0.962,0.946,0.979
2021-10-12,0.947,0.93,0.964
2021-10-13,0.942,0.923,0.96
2021-10-14,0.935,0.917,0.953
2021-10-15,0.916,0.897,0.934
2021-10-16,0.927,0.908,0.946
2021-10-17,0.946,0.928,0.963
2021-10-18,0.942,0.925,0.96
2021-10-19,0.947,0.929,0.966
2021-10-20,0.919,0.9,0.938
2021-10-21,0.884,0.865,0.903
