"data","R0","LB","UB"
2021-09-21,0.745,0.71,0.78
2021-09-22,0.756,0.723,0.788
2021-09-23,0.719,0.688,0.75
2021-09-24,0.714,0.686,0.743
2021-09-25,0.717,0.693,0.741
2021-09-26,0.749,0.725,0.772
2021-09-27,0.755,0.734,0.777
2021-09-28,0.76,0.74,0.781
2021-09-29,0.788,0.767,0.809
2021-09-30,0.831,0.81,0.852
2021-10-01,0.793,0.773,0.814
2021-10-02,0.824,0.804,0.844
2021-10-03,0.842,0.822,0.862
2021-10-04,0.877,0.856,0.899
2021-10-05,0.896,0.875,0.918
2021-10-06,0.906,0.885,0.927
2021-10-07,0.922,0.899,0.945
2021-10-08,0.927,0.903,0.951
2021-10-09,0.936,0.909,0.964
2021-10-10,0.923,0.895,0.95
2021-10-11,0.931,0.903,0.959
2021-10-12,0.933,0.904,0.962
2021-10-13,0.958,0.929,0.987
2021-10-14,0.972,0.943,1.001
2021-10-15,0.95,0.921,0.979
2021-10-16,0.979,0.95,1.008
2021-10-17,0.935,0.906,0.964
2021-10-18,0.987,0.959,1.014
2021-10-19,0.971,0.945,0.996
2021-10-20,0.961,0.936,0.987
2021-10-21,0.956,0.93,0.982
2021-10-22,0.939,0.912,0.967
2021-10-23,0.981,0.952,1.009
2021-10-24,0.988,0.961,1.016
2021-10-25,0.97,0.941,0.998
2021-10-26,1.006,0.976,1.035
2021-10-27,1.036,1.005,1.067
2021-10-28,0.969,0.939,0.999
2021-10-29,1.022,0.994,1.051
2021-10-30,1.01,0.982,1.039
2021-10-31,1.022,0.994,1.051
2021-11-01,0.979,0.952,1.006
2021-11-02,0.983,0.956,1.011
2021-11-03,0.97,0.943,0.997
2021-11-04,0.967,0.943,0.992
2021-11-05,0.942,0.916,0.968
2021-11-06,0.968,0.941,0.996
2021-11-07,0.962,0.934,0.99
2021-11-08,0.927,0.897,0.957
2021-11-09,0.922,0.892,0.951
2021-11-10,0.93,0.901,0.959
2021-11-11,0.913,0.885,0.941
2021-11-12,0.871,0.841,0.9
2021-11-13,0.855,0.824,0.886
2021-11-14,0.888,0.858,0.917
2021-11-15,0.877,0.848,0.906
2021-11-16,0.84,0.813,0.867
2021-11-17,0.819,0.793,0.844
2021-11-18,0.812,0.788,0.836
2021-11-19,0.791,0.767,0.814
2021-11-20,0.786,0.762,0.81
2021-11-21,0.781,0.757,0.805
2021-11-22,0.728,0.702,0.754
2021-11-23,0.706,0.68,0.732
2021-11-24,0.702,0.675,0.729
2021-11-25,0.688,0.66,0.715
2021-11-26,0.711,0.683,0.739
2021-11-27,0.698,0.671,0.726
2021-11-28,0.709,0.681,0.738
2021-11-29,0.691,0.661,0.722
2021-11-30,0.698,0.667,0.729
2021-12-01,0.696,0.663,0.728
2021-12-02,0.693,0.66,0.725
2021-12-03,0.716,0.683,0.749
2021-12-04,0.766,0.736,0.795
2021-12-05,0.8,0.771,0.829
2021-12-06,0.823,0.793,0.853
2021-12-07,0.872,0.841,0.903
2021-12-08,0.922,0.89,0.955
2021-12-09,0.908,0.876,0.94
2021-12-10,0.991,0.962,1.021
2021-12-11,1.049,1.02,1.078
2021-12-12,1.109,1.081,1.138
2021-12-13,1.186,1.155,1.216
2021-12-14,1.228,1.195,1.261
2021-12-15,1.347,1.314,1.38
2021-12-16,1.379,1.341,1.418
2021-12-17,1.438,1.396,1.48
2021-12-18,1.526,1.481,1.571
2021-12-19,1.594,1.547,1.64
2021-12-20,1.68,1.631,1.729
2021-12-21,1.716,1.664,1.767
2021-12-22,1.82,1.766,1.873
2021-12-23,1.878,1.824,1.932
2021-12-24,1.927,1.874,1.98
2021-12-25,1.986,1.938,2.035
2021-12-26,2.007,1.958,2.057
2021-12-27,2.001,1.954,2.048
2021-12-28,1.952,1.908,1.996
2021-12-29,1.886,1.841,1.93
2021-12-30,1.888,1.844,1.931
2021-12-31,1.821,1.778,1.864
2022-01-01,1.747,1.704,1.789
2022-01-02,1.752,1.714,1.791
2022-01-03,1.664,1.627,1.701
2022-01-04,1.633,1.596,1.67
2022-01-05,1.625,1.591,1.659
2022-01-06,1.588,1.554,1.622
2022-01-07,1.509,1.475,1.543
2022-01-08,1.427,1.393,1.461
2022-01-09,1.357,1.324,1.39
2022-01-10,1.312,1.28,1.344
2022-01-11,1.285,1.253,1.318
2022-01-12,1.294,1.262,1.325
2022-01-13,1.23,1.2,1.259
2022-01-14,1.182,1.153,1.211
2022-01-15,1.132,1.104,1.16
2022-01-16,1.087,1.059,1.116
2022-01-17,1.051,1.023,1.078
2022-01-18,1.063,1.036,1.09
2022-01-19,1.044,1.018,1.07
2022-01-20,0.999,0.974,1.024
2022-01-21,0.992,0.967,1.017
2022-01-22,0.975,0.95,1.001
2022-01-23,0.968,0.942,0.993
2022-01-24,0.95,0.925,0.974
2022-01-25,0.97,0.946,0.994
2022-01-26,0.944,0.921,0.967
2022-01-27,0.912,0.889,0.935
2022-01-28,0.897,0.874,0.92
2022-01-29,0.955,0.931,0.979
2022-01-30,0.977,0.952,1.003
2022-01-31,0.97,0.944,0.996
2022-02-01,0.916,0.891,0.942
2022-02-02,0.93,0.906,0.955
2022-02-03,0.926,0.902,0.949
2022-02-04,0.912,0.889,0.935
2022-02-05,0.923,0.899,0.947
2022-02-06,0.948,0.923,0.972
2022-02-07,0.918,0.893,0.943
2022-02-08,0.935,0.909,0.96
2022-02-09,0.941,0.915,0.967
2022-02-10,0.948,0.919,0.977
2022-02-11,0.929,0.9,0.958
2022-02-12,0.865,0.836,0.894
2022-02-13,0.851,0.824,0.878
2022-02-14,0.848,0.821,0.875
2022-02-15,0.817,0.789,0.844
2022-02-16,0.791,0.765,0.817
2022-02-17,0.757,0.729,0.784
2022-02-18,0.783,0.757,0.809
2022-02-19,0.765,0.74,0.79
2022-02-20,0.756,0.733,0.78
2022-02-21,0.729,0.704,0.753
2022-02-22,0.726,0.702,0.749
2022-02-23,0.696,0.674,0.718
2022-02-24,0.692,0.669,0.715
2022-02-25,0.649,0.624,0.674
2022-02-26,0.636,0.611,0.661
2022-02-27,0.636,0.61,0.662
2022-02-28,0.654,0.626,0.682
2022-03-01,0.649,0.621,0.677
2022-03-02,0.627,0.596,0.657
2022-03-03,0.597,0.563,0.631
