"data","R0","LB","UB"
2021-08-26,0.647,0.601,0.693
2021-08-27,0.664,0.623,0.705
2021-08-28,0.638,0.601,0.675
2021-08-29,0.639,0.6,0.677
2021-08-30,0.595,0.559,0.632
2021-08-31,0.627,0.593,0.661
2021-09-01,0.646,0.616,0.676
2021-09-02,0.66,0.632,0.688
2021-09-03,0.688,0.662,0.715
2021-09-04,0.743,0.717,0.768
2021-09-05,0.733,0.708,0.759
2021-09-06,0.789,0.765,0.813
2021-09-07,0.849,0.825,0.872
2021-09-08,0.882,0.859,0.905
2021-09-09,0.896,0.871,0.921
2021-09-10,0.96,0.934,0.987
2021-09-11,1.053,1.022,1.085
2021-09-12,1.061,1.026,1.095
2021-09-13,1.082,1.044,1.119
2021-09-14,1.105,1.064,1.146
2021-09-15,1.134,1.089,1.18
2021-09-16,1.186,1.137,1.234
2021-09-17,1.221,1.171,1.271
2021-09-18,1.266,1.216,1.316
2021-09-19,1.22,1.17,1.27
2021-09-20,1.314,1.266,1.362
2021-09-21,1.275,1.229,1.322
2021-09-22,1.27,1.227,1.314
2021-09-23,1.267,1.224,1.309
2021-09-24,1.164,1.125,1.204
2021-09-25,1.16,1.122,1.199
2021-09-26,1.138,1.1,1.177
2021-09-27,1.065,1.028,1.102
2021-09-28,1.071,1.035,1.107
2021-09-29,1.038,1.004,1.071
2021-09-30,1.031,0.998,1.063
2021-10-01,1.013,0.98,1.046
2021-10-02,1.011,0.981,1.041
2021-10-03,0.982,0.952,1.012
2021-10-04,0.947,0.919,0.975
2021-10-05,0.928,0.898,0.957
2021-10-06,0.894,0.867,0.922
2021-10-07,0.895,0.866,0.924
2021-10-08,0.899,0.87,0.929
2021-10-09,0.905,0.875,0.935
2021-10-10,0.853,0.821,0.885
2021-10-11,0.87,0.84,0.9
2021-10-12,0.852,0.822,0.882
2021-10-13,0.826,0.796,0.855
2021-10-14,0.823,0.794,0.853
2021-10-15,0.832,0.803,0.861
2021-10-16,0.834,0.805,0.863
2021-10-17,0.864,0.833,0.896
2021-10-18,0.876,0.847,0.905
2021-10-19,0.868,0.839,0.897
2021-10-20,0.877,0.849,0.905
2021-10-21,0.892,0.864,0.92
2021-10-22,0.885,0.856,0.914
2021-10-23,0.859,0.831,0.888
2021-10-24,0.852,0.821,0.883
2021-10-25,0.844,0.812,0.876
2021-10-26,0.89,0.857,0.924
2021-10-27,0.855,0.824,0.887
2021-10-28,0.842,0.811,0.874
2021-10-29,0.846,0.814,0.877
2021-10-30,0.805,0.774,0.835
2021-10-31,0.843,0.813,0.873
2021-11-01,0.81,0.782,0.838
2021-11-02,0.795,0.768,0.822
2021-11-03,0.779,0.752,0.805
2021-11-04,0.783,0.755,0.81
2021-11-05,0.811,0.782,0.839
2021-11-06,0.731,0.703,0.758
