"data","R0","LB","UB"
2021-10-19,1.275,1.231,1.32
2021-10-20,1.258,1.218,1.297
2021-10-21,1.207,1.173,1.241
2021-10-22,1.223,1.194,1.252
2021-10-23,1.207,1.181,1.233
2021-10-24,1.186,1.164,1.209
2021-10-25,1.145,1.126,1.163
2021-10-26,1.118,1.099,1.136
2021-10-27,1.107,1.089,1.126
2021-10-28,1.094,1.075,1.113
2021-10-29,1.055,1.034,1.075
2021-10-30,1.043,1.022,1.064
2021-10-31,0.964,0.943,0.986
2021-11-01,0.976,0.953,0.998
2021-11-02,0.971,0.949,0.992
2021-11-03,0.942,0.919,0.966
2021-11-04,0.897,0.874,0.921
2021-11-05,0.871,0.847,0.896
2021-11-06,0.91,0.888,0.933
2021-11-07,0.874,0.852,0.896
2021-11-08,0.839,0.818,0.861
2021-11-09,0.833,0.811,0.855
2021-11-10,0.821,0.8,0.842
2021-11-11,0.809,0.788,0.83
2021-11-12,0.78,0.758,0.802
2021-11-13,0.767,0.746,0.787
2021-11-14,0.781,0.761,0.8
2021-11-15,0.741,0.722,0.761
2021-11-16,0.741,0.721,0.76
2021-11-17,0.728,0.708,0.747
2021-11-18,0.734,0.714,0.754
2021-11-19,0.706,0.686,0.726
2021-11-20,0.702,0.682,0.722
2021-11-21,0.712,0.693,0.731
2021-11-22,0.691,0.671,0.711
2021-11-23,0.695,0.673,0.716
2021-11-24,0.678,0.656,0.699
2021-11-25,0.673,0.652,0.694
2021-11-26,0.66,0.638,0.681
2021-11-27,0.671,0.65,0.693
2021-11-28,0.671,0.65,0.691
2021-11-29,0.636,0.614,0.658
2021-11-30,0.653,0.631,0.676
2021-12-01,0.662,0.639,0.686
2021-12-02,0.656,0.633,0.68
2021-12-03,0.67,0.646,0.694
2021-12-04,0.693,0.67,0.715
2021-12-05,0.735,0.712,0.758
2021-12-06,0.772,0.751,0.794
2021-12-07,0.807,0.783,0.83
2021-12-08,0.823,0.796,0.849
2021-12-09,0.836,0.812,0.861
2021-12-10,0.875,0.849,0.901
2021-12-11,0.969,0.943,0.995
2021-12-12,1.032,1.006,1.059
2021-12-13,1.074,1.048,1.1
2021-12-14,1.117,1.089,1.144
2021-12-15,1.194,1.165,1.223
2021-12-16,1.263,1.233,1.293
2021-12-17,1.338,1.307,1.369
2021-12-18,1.401,1.368,1.435
2021-12-19,1.513,1.478,1.547
2021-12-20,1.585,1.551,1.618
2021-12-21,1.696,1.66,1.732
2021-12-22,1.745,1.705,1.784
2021-12-23,1.805,1.764,1.847
2021-12-24,1.838,1.795,1.881
2021-12-25,1.886,1.842,1.93
2021-12-26,1.92,1.874,1.966
2021-12-27,2.076,2.028,2.123
2021-12-28,2.121,2.076,2.165
2021-12-29,2.099,2.055,2.143
2021-12-30,2.108,2.067,2.15
2021-12-31,2.119,2.079,2.158
2022-01-01,2.103,2.066,2.14
2022-01-02,2.083,2.046,2.119
2022-01-03,2.047,2.014,2.08
2022-01-04,1.957,1.924,1.99
2022-01-05,1.919,1.886,1.951
2022-01-06,1.855,1.823,1.887
2022-01-07,1.817,1.784,1.85
2022-01-08,1.741,1.711,1.772
2022-01-09,1.676,1.646,1.707
2022-01-10,1.622,1.594,1.65
2022-01-11,1.58,1.551,1.61
