"data","R0","LB","UB"
2021-10-05,1.145,1.107,1.183
2021-10-06,1.158,1.125,1.192
2021-10-07,1.158,1.129,1.187
2021-10-08,1.133,1.108,1.158
2021-10-09,1.126,1.104,1.148
2021-10-10,1.116,1.095,1.136
2021-10-11,1.126,1.105,1.146
2021-10-12,1.115,1.096,1.133
2021-10-13,1.072,1.054,1.091
2021-10-14,1.049,1.031,1.067
2021-10-15,1.069,1.051,1.088
2021-10-16,1.027,1.008,1.046
2021-10-17,0.994,0.975,1.013
2021-10-18,0.967,0.947,0.987
2021-10-19,0.934,0.914,0.955
2021-10-20,0.989,0.969,1.008
2021-10-21,0.979,0.959,0.999
2021-10-22,0.933,0.912,0.953
2021-10-23,0.925,0.905,0.945
2021-10-24,0.91,0.89,0.93
2021-10-25,0.899,0.877,0.92
2021-10-26,0.938,0.918,0.958
2021-10-27,0.908,0.888,0.927
2021-10-28,0.907,0.887,0.926
2021-10-29,0.903,0.885,0.922
2021-10-30,0.909,0.891,0.927
2021-10-31,0.884,0.866,0.903
2021-11-01,0.896,0.878,0.915
2021-11-02,0.908,0.888,0.927
2021-11-03,0.908,0.89,0.926
2021-11-04,0.909,0.89,0.927
2021-11-05,0.888,0.869,0.908
2021-11-06,0.91,0.89,0.93
2021-11-07,0.884,0.865,0.904
2021-11-08,0.881,0.861,0.901
2021-11-09,0.886,0.865,0.907
2021-11-10,0.902,0.881,0.923
2021-11-11,0.91,0.889,0.93
2021-11-12,0.89,0.87,0.91
2021-11-13,0.881,0.861,0.901
2021-11-14,0.89,0.869,0.911
2021-11-15,0.881,0.86,0.901
2021-11-16,0.886,0.867,0.906
2021-11-17,0.84,0.82,0.86
2021-11-18,0.809,0.789,0.829
2021-11-19,0.808,0.788,0.827
2021-11-20,0.82,0.801,0.838
2021-11-21,0.806,0.788,0.823
2021-11-22,0.791,0.772,0.81
2021-11-23,0.775,0.755,0.795
2021-11-24,0.792,0.771,0.814
2021-11-25,0.767,0.745,0.79
2021-11-26,0.762,0.739,0.785
2021-11-27,0.769,0.745,0.793
2021-11-28,0.771,0.746,0.796
2021-11-29,0.795,0.771,0.819
2021-11-30,0.768,0.743,0.793
2021-12-01,0.82,0.795,0.845
2021-12-02,0.83,0.804,0.855
2021-12-03,0.849,0.823,0.875
2021-12-04,0.876,0.851,0.901
2021-12-05,0.876,0.851,0.9
2021-12-06,0.915,0.891,0.938
2021-12-07,0.932,0.908,0.957
2021-12-08,0.978,0.955,1.002
2021-12-09,1.016,0.993,1.038
2021-12-10,1.034,1.011,1.058
2021-12-11,1.05,1.026,1.073
2021-12-12,1.093,1.071,1.116
2021-12-13,1.123,1.098,1.147
2021-12-14,1.185,1.16,1.209
2021-12-15,1.22,1.194,1.246
2021-12-16,1.265,1.238,1.292
2021-12-17,1.249,1.22,1.278
2021-12-18,1.3,1.271,1.328
2021-12-19,1.313,1.284,1.342
2021-12-20,1.337,1.307,1.368
2021-12-21,1.345,1.315,1.374
2021-12-22,1.395,1.362,1.427
2021-12-23,1.418,1.385,1.452
2021-12-24,1.414,1.379,1.448
2021-12-25,1.415,1.38,1.45
2021-12-26,1.522,1.485,1.558
2021-12-27,1.511,1.475,1.548
2021-12-28,1.548,1.513,1.583
2021-12-29,1.536,1.5,1.571
2021-12-30,1.579,1.545,1.613
2021-12-31,1.563,1.528,1.597
2022-01-01,1.45,1.416,1.483
2022-01-02,1.484,1.454,1.514
2022-01-03,1.448,1.42,1.477
2022-01-04,1.413,1.384,1.441
2022-01-05,1.384,1.356,1.411
2022-01-06,1.375,1.348,1.402
2022-01-07,1.345,1.319,1.372
2022-01-08,1.32,1.293,1.346
2022-01-09,1.327,1.302,1.352
2022-01-10,1.285,1.26,1.309
2022-01-11,1.265,1.238,1.291
2022-01-12,1.249,1.224,1.274
2022-01-13,1.24,1.214,1.266
2022-01-14,1.194,1.169,1.218
2022-01-15,1.151,1.127,1.176
2022-01-16,1.127,1.103,1.15
2022-01-17,1.109,1.086,1.132
2022-01-18,1.092,1.069,1.115
2022-01-19,1.088,1.065,1.11
2022-01-20,1.081,1.058,1.104
2022-01-21,1.043,1.02,1.065
2022-01-22,0.99,0.967,1.012
2022-01-23,0.986,0.964,1.007
2022-01-24,0.984,0.962,1.006
2022-01-25,0.994,0.972,1.017
2022-01-26,1.016,0.994,1.038
2022-01-27,1.002,0.98,1.023
2022-01-28,0.99,0.969,1.012
2022-01-29,0.966,0.946,0.986
2022-01-30,0.971,0.951,0.991
2022-01-31,0.97,0.949,0.99
2022-02-01,0.953,0.933,0.973
2022-02-02,0.959,0.938,0.98
2022-02-03,0.956,0.935,0.977
2022-02-04,0.955,0.933,0.976
2022-02-05,0.958,0.937,0.978
2022-02-06,0.962,0.94,0.984
2022-02-07,0.927,0.906,0.948
2022-02-08,0.917,0.897,0.938
2022-02-09,0.923,0.902,0.944
2022-02-10,0.938,0.918,0.958
2022-02-11,0.956,0.937,0.975
2022-02-12,0.951,0.932,0.971
2022-02-13,0.96,0.94,0.979
2022-02-14,0.95,0.93,0.971
2022-02-15,0.952,0.933,0.972
2022-02-16,0.961,0.942,0.98
2022-02-17,0.965,0.948,0.983
2022-02-18,0.978,0.96,0.997
2022-02-19,0.996,0.979,1.014
2022-02-20,0.979,0.962,0.996
2022-02-21,0.983,0.964,1.001
2022-02-22,0.988,0.968,1.008
2022-02-23,0.988,0.968,1.008
2022-02-24,1.002,0.983,1.021
2022-02-25,1.01,0.99,1.03
2022-02-26,1.023,1.003,1.042
2022-02-27,1.018,0.998,1.039
2022-02-28,1.046,1.025,1.067
2022-03-01,1.043,1.022,1.064
2022-03-02,1.038,1.017,1.06
2022-03-03,1.032,1.008,1.055
2022-03-04,1.034,1.012,1.057
2022-03-05,1.037,1.016,1.058
2022-03-06,1.042,1.02,1.063
2022-03-07,1.029,1.007,1.05
2022-03-08,1.025,1.003,1.048
2022-03-09,1.005,0.982,1.028
2022-03-10,0.997,0.975,1.02
2022-03-11,0.987,0.966,1.008
2022-03-12,0.983,0.962,1.004
2022-03-13,0.967,0.947,0.988
2022-03-14,0.963,0.941,0.986
2022-03-15,0.978,0.954,1.001
2022-03-16,0.927,0.902,0.953
2022-03-17,0.915,0.889,0.942
2022-03-18,0.951,0.924,0.978
2022-03-19,0.951,0.922,0.98
2022-03-20,0.928,0.899,0.957
2022-03-21,0.911,0.881,0.941
2022-03-22,0.898,0.868,0.928
2022-03-23,0.908,0.875,0.941
2022-03-24,0.912,0.874,0.95
2022-03-25,0.906,0.866,0.946
2022-03-26,0.892,0.851,0.933
2022-03-27,0.927,0.885,0.97
2022-03-28,0.9,0.856,0.944
2022-03-29,0.9,0.856,0.945
2022-03-30,0.896,0.849,0.943
2022-03-31,0.922,0.872,0.972
2022-04-01,0.918,0.866,0.97
2022-04-02,0.912,0.859,0.966
2022-04-03,0.894,0.836,0.951
2022-04-04,0.904,0.843,0.965
2022-04-05,0.9,0.837,0.964
