"data","R0","LB","UB"
2020-11-15,1.42,1.36,1.47
2020-11-16,1.4,1.35,1.45
2020-11-17,1.37,1.33,1.41
2020-11-18,1.36,1.32,1.39
2020-11-19,1.31,1.29,1.34
2020-11-20,1.25,1.23,1.28
2020-11-21,1.25,1.23,1.27
2020-11-22,1.16,1.14,1.18
2020-11-23,1.11,1.09,1.13
2020-11-24,1.09,1.07,1.11
2020-11-25,1.06,1.04,1.08
2020-11-26,1,0.98,1.02
2020-11-27,0.97,0.94,0.99
2020-11-28,0.94,0.92,0.96
2020-11-29,0.92,0.9,0.94
2020-11-30,0.89,0.87,0.91
2020-12-01,0.84,0.82,0.86
2020-12-02,0.82,0.8,0.84
2020-12-03,0.8,0.78,0.82
2020-12-04,0.77,0.75,0.79
2020-12-05,0.78,0.76,0.8
2020-12-06,0.77,0.75,0.79
2020-12-07,0.78,0.76,0.81
2020-12-08,0.73,0.71,0.76
2020-12-09,0.74,0.72,0.76
2020-12-10,0.75,0.73,0.77
2020-12-11,0.77,0.75,0.79
2020-12-12,0.8,0.77,0.82
2020-12-13,0.82,0.8,0.84
2020-12-14,0.86,0.84,0.87
2020-12-15,0.86,0.84,0.88
2020-12-16,0.92,0.9,0.94
2020-12-17,0.93,0.91,0.95
2020-12-18,0.95,0.93,0.98
2020-12-19,0.99,0.97,1.01
2020-12-20,1.01,0.99,1.04
2020-12-21,1.01,0.98,1.03
2020-12-22,1.04,1.01,1.07
2020-12-23,1.1,1.07,1.13
2020-12-24,1.06,1.03,1.09
2020-12-25,1.1,1.07,1.13
2020-12-26,1.13,1.1,1.16
2020-12-27,1.16,1.13,1.19
2020-12-28,1.16,1.12,1.19
2020-12-29,1.14,1.11,1.18
2020-12-30,1.06,1.03,1.09
2020-12-31,1.09,1.05,1.12
2021-01-01,1.05,1.02,1.09
2021-01-02,1.03,1,1.06
2021-01-03,1,0.96,1.03
2021-01-04,1.01,0.98,1.05
2021-01-05,0.99,0.96,1.03
2021-01-06,0.98,0.94,1.02
2021-01-07,0.97,0.93,1.01
2021-01-08,0.91,0.86,0.95
2021-01-09,0.92,0.87,0.97
2021-01-10,0.91,0.85,0.96
2021-01-11,0.83,0.77,0.88
2021-01-12,0.83,0.77,0.89
2021-01-13,0.83,0.77,0.89
2021-01-14,0.79,0.72,0.85
2021-01-15,0.8,0.72,0.87
2021-01-16,0.74,0.67,0.82
2021-01-17,0.75,0.66,0.83
2021-01-18,0.78,0.7,0.87
2021-01-19,0.85,0.76,0.94
