"data","R0","LB","UB"
2020-03-24,4.601,0,37.267
2020-03-25,0.183,0,5.156
2020-03-26,0.511,0,4.04
2020-03-27,1.076,0.03,3.988
2020-03-28,0.447,0.003,2.105
2020-03-29,0.869,0.104,2.415
2020-03-30,0.721,0.102,1.898
2020-03-31,0.81,0.2,1.822
2020-04-01,1.374,0.67,2.387
2020-04-02,1.354,0.735,2.205
2020-04-03,1.074,0.569,1.751
2020-04-04,1.047,0.593,1.637
2020-04-05,1.221,0.786,1.771
2020-04-06,1.107,0.723,1.581
2020-04-07,2.062,1.613,2.617
2020-04-08,2.004,1.609,2.482
2020-04-09,1.81,1.474,2.208
2020-04-10,1.858,1.55,2.219
2020-04-11,1.683,1.418,1.99
2020-04-12,1.504,1.273,1.766
2020-04-13,1.458,1.249,1.695
2020-04-14,1.379,1.189,1.592
2020-04-15,1.303,1.129,1.495
2020-04-16,1.242,1.082,1.418
2020-04-17,1.236,1.086,1.4
2020-04-18,1.219,1.078,1.372
2020-04-19,1.157,1.026,1.298
2020-04-20,1.168,1.044,1.301
2020-04-21,1.213,1.095,1.341
2020-04-22,1.225,1.113,1.346
2020-04-23,1.175,1.069,1.287
2020-04-24,1.2,1.099,1.307
2020-04-25,1.19,1.095,1.292
2020-04-26,1.149,1.059,1.245
2020-04-27,1.185,1.098,1.277
2020-04-28,1.414,1.326,1.508
2020-04-29,1.496,1.41,1.588
2020-04-30,1.498,1.416,1.585
2020-05-01,1.555,1.476,1.64
2020-05-02,1.482,1.41,1.559
2020-05-03,1.485,1.416,1.558
2020-05-04,1.458,1.394,1.527
2020-05-05,1.444,1.384,1.509
2020-05-06,1.406,1.349,1.466
2020-05-07,1.397,1.343,1.454
2020-05-08,1.392,1.341,1.446
2020-05-09,1.354,1.306,1.404
2020-05-10,1.337,1.292,1.385
2020-05-11,1.316,1.273,1.362
2020-05-12,1.29,1.248,1.333
2020-05-13,1.335,1.294,1.377
2020-05-14,1.32,1.281,1.36
2020-05-15,1.325,1.288,1.364
2020-05-16,1.329,1.294,1.367
2020-05-17,1.305,1.271,1.34
2020-05-18,1.282,1.25,1.316
2020-05-19,1.305,1.273,1.338
2020-05-20,1.293,1.262,1.324
2020-05-21,1.272,1.243,1.302
2020-05-22,1.252,1.224,1.28
2020-05-23,1.302,1.274,1.33
2020-05-24,1.276,1.25,1.303
2020-05-25,1.256,1.231,1.281
2020-05-26,1.237,1.213,1.261
2020-05-27,1.217,1.194,1.241
2020-05-28,1.205,1.183,1.228
2020-05-29,1.226,1.205,1.249
2020-05-30,1.231,1.21,1.253
2020-05-31,1.213,1.193,1.234
2020-06-01,1.21,1.19,1.23
2020-06-02,1.216,1.197,1.236
2020-06-03,1.2,1.182,1.219
2020-06-04,1.19,1.172,1.209
2020-06-05,1.19,1.173,1.208
2020-06-06,1.184,1.167,1.201
2020-06-07,1.181,1.165,1.198
2020-06-08,1.17,1.154,1.186
2020-06-09,1.162,1.147,1.178
2020-06-10,1.165,1.15,1.181
2020-06-11,1.168,1.153,1.183
2020-06-12,1.163,1.148,1.177
2020-06-13,1.153,1.139,1.167
2020-06-14,1.143,1.129,1.157
2020-06-15,1.133,1.12,1.147
2020-06-16,1.128,1.115,1.141
2020-06-17,1.127,1.114,1.14
2020-06-18,1.129,1.116,1.141
2020-06-19,1.14,1.128,1.153
2020-06-20,1.147,1.135,1.159
2020-06-21,1.149,1.137,1.161
2020-06-22,1.141,1.13,1.153
2020-06-23,1.135,1.124,1.147
2020-06-24,1.14,1.129,1.151
2020-06-25,1.172,1.161,1.183
2020-06-26,1.185,1.174,1.196
2020-06-27,1.203,1.193,1.214
2020-06-28,1.207,1.197,1.218
2020-06-29,1.202,1.192,1.212
2020-06-30,1.2,1.19,1.21
2020-07-01,1.21,1.2,1.22
2020-07-02,1.216,1.206,1.225
2020-07-03,1.237,1.227,1.247
2020-07-04,1.248,1.239,1.258
2020-07-05,1.26,1.25,1.269
2020-07-06,1.249,1.24,1.259
2020-07-07,1.242,1.233,1.251
2020-07-08,1.244,1.235,1.252
2020-07-09,1.248,1.24,1.256
2020-07-10,1.254,1.246,1.262
2020-07-11,1.258,1.25,1.266
2020-07-12,1.258,1.25,1.266
2020-07-13,1.252,1.245,1.26
2020-07-14,1.248,1.241,1.255
2020-07-15,1.251,1.244,1.258
2020-07-16,1.253,1.246,1.26
2020-07-17,1.255,1.248,1.262
2020-07-18,1.255,1.249,1.262
2020-07-19,1.25,1.243,1.256
2020-07-20,1.239,1.233,1.246
2020-07-21,1.232,1.226,1.238
2020-07-22,1.234,1.228,1.24
2020-07-23,1.247,1.241,1.253
2020-07-24,1.251,1.246,1.257
2020-07-25,1.257,1.251,1.262
2020-07-26,1.256,1.25,1.261
2020-07-27,1.248,1.243,1.254
2020-07-28,1.242,1.237,1.248
2020-07-29,1.248,1.243,1.253
2020-07-30,1.251,1.246,1.257
2020-07-31,1.259,1.254,1.264
2020-08-01,1.247,1.242,1.252
2020-08-02,1.256,1.251,1.261
2020-08-03,1.247,1.243,1.252
2020-08-04,1.238,1.234,1.243
2020-08-05,1.24,1.236,1.245
2020-08-06,1.237,1.233,1.242
2020-08-07,1.239,1.235,1.243
2020-08-08,1.235,1.231,1.239
2020-08-09,1.232,1.228,1.236
2020-08-10,1.224,1.22,1.228
2020-08-11,1.216,1.212,1.22
2020-08-12,1.213,1.21,1.217
2020-08-13,1.212,1.208,1.215
2020-08-14,1.209,1.205,1.212
2020-08-15,1.207,1.204,1.211
