"data","R0","LB","UB"
2020-03-21,0,0,62.735
2020-03-22,17.259,1.844,99.33
2020-03-23,1.917,0.006,9.597
2020-03-24,1,0.006,4.489
2020-03-25,2.567,0.781,5.925
2020-03-26,1.536,0.447,3.425
2020-03-27,2.161,1.064,3.819
2020-03-28,1.632,0.835,2.772
2020-03-29,1.441,0.795,2.321
2020-03-30,1.043,0.551,1.7
2020-03-31,0.871,0.46,1.407
2020-04-01,0.706,0.361,1.153
2020-04-02,0.649,0.34,1.042
2020-04-03,0.663,0.373,1.021
2020-04-04,0.586,0.326,0.907
2020-04-05,0.701,0.444,1.006
2020-04-06,0.639,0.402,0.917
2020-04-07,0.629,0.405,0.888
2020-04-08,0.819,0.597,1.07
2020-04-09,1.136,0.915,1.386
2020-04-10,1.845,1.598,2.128
2020-04-11,1.726,1.509,1.972
2020-04-12,1.578,1.387,1.791
2020-04-13,1.692,1.509,1.895
2020-04-14,1.568,1.406,1.746
2020-04-15,1.463,1.318,1.622
2020-04-16,1.393,1.261,1.538
2020-04-17,1.381,1.258,1.515
2020-04-18,1.321,1.207,1.444
2020-04-19,1.265,1.159,1.379
2020-04-20,1.245,1.145,1.352
2020-04-21,1.237,1.143,1.338
2020-04-22,1.211,1.122,1.305
2020-04-23,1.179,1.095,1.268
2020-04-24,1.164,1.084,1.249
2020-04-25,1.151,1.075,1.232
2020-04-26,1.117,1.044,1.193
2020-04-27,1.127,1.058,1.2
2020-04-28,1.167,1.1,1.237
2020-04-29,1.299,1.234,1.369
2020-04-30,1.288,1.226,1.354
2020-05-01,1.307,1.247,1.371
2020-05-02,1.267,1.21,1.327
2020-05-03,1.276,1.221,1.333
2020-05-04,1.267,1.215,1.322
2020-05-05,1.267,1.217,1.319
2020-05-06,1.264,1.216,1.314
2020-05-07,1.27,1.224,1.318
2020-05-08,1.264,1.22,1.31
2020-05-09,1.253,1.211,1.297
2020-05-10,1.248,1.207,1.29
2020-05-11,1.233,1.194,1.274
2020-05-12,1.223,1.186,1.262
2020-05-13,1.249,1.213,1.287
2020-05-14,1.245,1.21,1.281
2020-05-15,1.265,1.231,1.3
2020-05-16,1.265,1.232,1.299
2020-05-17,1.252,1.221,1.285
2020-05-18,1.247,1.217,1.278
2020-05-19,1.259,1.23,1.29
2020-05-20,1.268,1.239,1.297
2020-05-21,1.26,1.233,1.289
2020-05-22,1.247,1.221,1.275
2020-05-23,1.272,1.246,1.299
2020-05-24,1.283,1.258,1.309
2020-05-25,1.271,1.247,1.296
2020-05-26,1.258,1.235,1.282
2020-05-27,1.245,1.223,1.268
2020-05-28,1.258,1.236,1.28
2020-05-29,1.277,1.255,1.299
2020-05-30,1.275,1.255,1.297
2020-05-31,1.278,1.258,1.299
2020-06-01,1.267,1.247,1.286
2020-06-02,1.28,1.262,1.3
2020-06-03,1.274,1.256,1.293
2020-06-04,1.266,1.248,1.284
2020-06-05,1.261,1.244,1.279
2020-06-06,1.245,1.229,1.262
2020-06-07,1.262,1.246,1.279
2020-06-08,1.28,1.264,1.296
2020-06-09,1.269,1.254,1.285
2020-06-10,1.264,1.25,1.279
2020-06-11,1.264,1.249,1.278
2020-06-12,1.258,1.244,1.272
2020-06-13,1.255,1.241,1.268
2020-06-14,1.241,1.228,1.254
2020-06-15,1.229,1.217,1.242
2020-06-16,1.236,1.224,1.248
2020-06-17,1.234,1.222,1.246
2020-06-18,1.242,1.23,1.253
2020-06-19,1.242,1.231,1.254
2020-06-20,1.244,1.233,1.255
2020-06-21,1.251,1.24,1.262
2020-06-22,1.258,1.247,1.269
2020-06-23,1.252,1.241,1.262
2020-06-24,1.252,1.242,1.263
2020-06-25,1.256,1.246,1.266
2020-06-26,1.256,1.246,1.265
2020-06-27,1.256,1.247,1.266
2020-06-28,1.252,1.243,1.262
2020-06-29,1.255,1.246,1.264
2020-06-30,1.255,1.246,1.263
2020-07-01,1.257,1.248,1.265
2020-07-02,1.254,1.246,1.262
2020-07-03,1.252,1.244,1.26
2020-07-04,1.252,1.244,1.26
2020-07-05,1.253,1.246,1.261
2020-07-06,1.261,1.254,1.269
2020-07-07,1.262,1.254,1.269
2020-07-08,1.255,1.248,1.263
2020-07-09,1.251,1.244,1.258
2020-07-10,1.253,1.246,1.26
2020-07-11,1.255,1.248,1.261
2020-07-12,1.254,1.248,1.261
2020-07-13,1.25,1.244,1.256
2020-07-14,1.244,1.238,1.25
2020-07-15,1.246,1.24,1.252
2020-07-16,1.242,1.236,1.248
2020-07-17,1.239,1.233,1.245
2020-07-18,1.234,1.229,1.24
2020-07-19,1.226,1.221,1.231
2020-07-20,1.219,1.214,1.224
2020-07-21,1.212,1.207,1.217
2020-07-22,1.207,1.202,1.212
2020-07-23,1.21,1.205,1.215
2020-07-24,1.211,1.206,1.215
2020-07-25,1.212,1.207,1.216
2020-07-26,1.212,1.207,1.216
2020-07-27,1.206,1.202,1.211
2020-07-28,1.2,1.196,1.204
2020-07-29,1.204,1.2,1.209
2020-07-30,1.203,1.199,1.207
2020-07-31,1.202,1.198,1.206
2020-08-01,1.193,1.189,1.197
2020-08-02,1.2,1.196,1.204
2020-08-03,1.193,1.19,1.197
2020-08-04,1.186,1.183,1.19
2020-08-05,1.184,1.181,1.188
2020-08-06,1.183,1.179,1.186
2020-08-07,1.18,1.176,1.183
2020-08-08,1.176,1.173,1.179
2020-08-09,1.175,1.171,1.178
2020-08-10,1.169,1.166,1.173
2020-08-11,1.164,1.161,1.167
2020-08-12,1.161,1.158,1.164
2020-08-13,1.16,1.157,1.163
2020-08-14,1.158,1.155,1.161
2020-08-15,1.155,1.152,1.158
2020-08-16,1.151,1.149,1.154
2020-08-17,1.147,1.144,1.149
2020-08-18,1.142,1.14,1.145
2020-08-19,1.139,1.137,1.142
2020-08-20,1.138,1.135,1.141
2020-08-21,1.135,1.133,1.138
2020-08-22,1.132,1.129,1.134
2020-08-23,1.129,1.127,1.132
