"data","R0","LB","UB"
2020-03-27,1,0,39.308
2020-03-28,0.081,0,11.964
2020-03-29,3.183,0.025,18.72
2020-03-30,2.558,0.109,11.03
2020-03-31,2.161,0.21,7.506
2020-04-01,1.306,0.071,4.525
2020-04-02,0.889,0.029,3.147
2020-04-03,0.655,0.014,2.387
2020-04-04,0.512,0.009,1.921
2020-04-05,0.419,0.006,1.612
2020-04-06,0.699,0.082,1.867
2020-04-07,0.889,0.221,1.987
2020-04-08,1.227,0.523,2.301
2020-04-09,1.072,0.451,1.987
2020-04-10,0.958,0.399,1.758
2020-04-11,0.872,0.359,1.585
2020-04-12,0.804,0.329,1.451
2020-04-13,1.162,0.675,1.813
2020-04-14,1.072,0.624,1.656
2020-04-15,1,0.584,1.531
2020-04-16,0.942,0.551,1.431
2020-04-17,0.893,0.523,1.348
2020-04-18,0.853,0.501,1.279
2020-04-19,0.915,0.577,1.32
2020-04-20,0.879,0.556,1.261
2020-04-21,1.005,0.696,1.373
2020-04-22,1.095,0.8,1.449
2020-04-23,1.052,0.771,1.383
2020-04-24,1.015,0.747,1.327
2020-04-25,0.983,0.725,1.278
2020-04-26,0.955,0.707,1.236
2020-04-27,0.93,0.691,1.199
2020-04-28,1.133,0.906,1.396
2020-04-29,1.483,1.249,1.767
2020-04-30,1.591,1.36,1.872
2020-05-01,1.942,1.684,2.26
2020-05-02,1.822,1.595,2.096
2020-05-03,1.964,1.735,2.239
2020-05-04,1.811,1.615,2.043
2020-05-05,2.229,1.998,2.501
2020-05-06,2.49,2.248,2.771
2020-05-07,2.306,2.105,2.537
2020-05-08,2.225,2.048,2.426
2020-05-09,2.049,1.901,2.215
2020-05-10,2.017,1.882,2.168
2020-05-11,1.993,1.869,2.13
2020-05-12,1.981,1.866,2.107
2020-05-13,1.884,1.784,1.994
2020-05-14,1.845,1.753,1.945
2020-05-15,1.786,1.703,1.875
2020-05-16,1.71,1.636,1.79
2020-05-17,1.789,1.715,1.869
2020-05-18,1.741,1.673,1.813
2020-05-19,1.704,1.642,1.77
2020-05-20,1.656,1.6,1.717
2020-05-21,1.703,1.648,1.762
2020-05-22,1.664,1.613,1.718
2020-05-23,1.601,1.554,1.649
2020-05-24,1.563,1.52,1.608
2020-05-25,1.555,1.514,1.597
2020-05-26,1.555,1.516,1.596
2020-05-27,1.508,1.473,1.546
2020-05-28,1.519,1.484,1.554
2020-05-29,1.529,1.496,1.564
2020-05-30,1.512,1.481,1.545
2020-05-31,1.51,1.48,1.541
2020-06-01,1.494,1.465,1.523
2020-06-02,1.478,1.451,1.505
2020-06-03,1.446,1.421,1.472
2020-06-04,1.424,1.401,1.448
2020-06-05,1.409,1.387,1.432
2020-06-06,1.389,1.368,1.41
2020-06-07,1.398,1.378,1.42
2020-06-08,1.382,1.362,1.402
2020-06-09,1.364,1.346,1.383
2020-06-10,1.34,1.323,1.358
2020-06-11,1.321,1.304,1.338
2020-06-12,1.311,1.295,1.328
2020-06-13,1.298,1.283,1.314
2020-06-14,1.287,1.272,1.302
2020-06-15,1.276,1.262,1.29
2020-06-16,1.266,1.253,1.28
2020-06-17,1.252,1.238,1.265
2020-06-18,1.251,1.238,1.264
2020-06-19,1.253,1.24,1.265
2020-06-20,1.25,1.238,1.262
2020-06-21,1.246,1.234,1.258
2020-06-22,1.247,1.235,1.258
2020-06-23,1.243,1.232,1.254
2020-06-24,1.236,1.225,1.247
2020-06-25,1.231,1.22,1.241
2020-06-26,1.268,1.258,1.279
2020-06-27,1.32,1.309,1.331
2020-06-28,1.316,1.305,1.326
2020-06-29,1.304,1.294,1.314
2020-06-30,1.291,1.281,1.301
2020-07-01,1.277,1.268,1.287
2020-07-02,1.267,1.258,1.276
2020-07-03,1.262,1.253,1.271
2020-07-04,1.25,1.242,1.258
2020-07-05,1.242,1.234,1.25
2020-07-06,1.236,1.229,1.244
2020-07-07,1.237,1.229,1.245
2020-07-08,1.232,1.225,1.239
2020-07-09,1.224,1.217,1.231
2020-07-10,1.224,1.217,1.231
2020-07-11,1.218,1.212,1.225
2020-07-12,1.214,1.207,1.221
2020-07-13,1.207,1.201,1.214
2020-07-14,1.21,1.203,1.216
2020-07-15,1.202,1.196,1.209
2020-07-16,1.194,1.188,1.2
2020-07-17,1.189,1.184,1.195
2020-07-18,1.185,1.179,1.19
2020-07-19,1.182,1.176,1.187
2020-07-20,1.181,1.176,1.187
2020-07-21,1.177,1.172,1.182
2020-07-22,1.171,1.166,1.176
2020-07-23,1.169,1.164,1.174
2020-07-24,1.168,1.163,1.173
2020-07-25,1.167,1.162,1.171
2020-07-26,1.165,1.16,1.17
2020-07-27,1.164,1.16,1.169
2020-07-28,1.161,1.156,1.165
2020-07-29,1.154,1.15,1.158
2020-07-30,1.153,1.149,1.157
2020-07-31,1.152,1.148,1.157
2020-08-01,1.151,1.146,1.155
2020-08-02,1.153,1.148,1.157
2020-08-03,1.146,1.142,1.15
2020-08-04,1.145,1.142,1.149
2020-08-05,1.14,1.137,1.144
2020-08-06,1.136,1.132,1.139
2020-08-07,1.134,1.131,1.138
2020-08-08,1.14,1.136,1.144
2020-08-09,1.14,1.137,1.144
2020-08-10,1.139,1.135,1.142
2020-08-11,1.138,1.134,1.141
2020-08-12,1.135,1.131,1.138
2020-08-13,1.131,1.128,1.135
2020-08-14,1.13,1.127,1.134
2020-08-15,1.128,1.125,1.131
2020-08-16,1.127,1.124,1.13
2020-08-17,1.126,1.123,1.129
2020-08-18,1.123,1.12,1.126
2020-08-19,1.12,1.117,1.123
2020-08-20,1.116,1.113,1.119
2020-08-21,1.117,1.114,1.12
2020-08-22,1.115,1.112,1.118
2020-08-23,1.113,1.11,1.116
2020-08-24,1.11,1.107,1.113
2020-08-25,1.109,1.106,1.111
2020-08-26,1.105,1.102,1.108
2020-08-27,1.102,1.099,1.105
2020-08-28,1.101,1.098,1.103
2020-08-29,1.099,1.096,1.101
2020-08-30,1.098,1.095,1.101
2020-08-31,1.096,1.093,1.098
2020-09-01,1.095,1.092,1.097
2020-09-02,1.092,1.089,1.094
2020-09-03,1.113,1.11,1.115
2020-09-04,1.111,1.109,1.114
2020-09-05,1.11,1.107,1.112
2020-09-06,1.107,1.105,1.11
2020-09-07,1.105,1.103,1.108
2020-09-08,1.104,1.102,1.106
2020-09-09,1.101,1.099,1.103
2020-09-10,1.098,1.096,1.1
2020-09-11,1.096,1.094,1.098
2020-09-12,1.095,1.092,1.097
2020-09-13,1.093,1.091,1.095
2020-09-14,1.091,1.089,1.093
2020-09-15,1.089,1.087,1.091
2020-09-16,1.087,1.085,1.089
2020-09-17,1.084,1.082,1.086
2020-09-18,1.083,1.081,1.085
2020-09-19,1.081,1.079,1.082
2020-09-20,1.08,1.078,1.082
2020-09-21,1.078,1.076,1.08
2020-09-22,1.076,1.074,1.078
2020-09-23,1.074,1.072,1.076
2020-09-24,1.072,1.071,1.074
2020-09-25,1.071,1.069,1.073
2020-09-26,1.07,1.068,1.071
2020-09-27,1.068,1.067,1.07
2020-09-28,1.067,1.066,1.069
2020-09-29,1.066,1.065,1.068
