"data","R0","LB","UB"
2020-04-04,10.258,0.307,631.012
2020-04-05,16.718,2.526,228.322
2020-04-06,7.967,2.059,40.645
2020-04-07,5.373,1.825,18.178
2020-04-08,4.137,1.671,11.055
2020-04-09,3.89,1.834,8.788
2020-04-10,4.524,2.463,8.851
2020-04-11,3.387,2.006,5.938
2020-04-12,2.781,1.741,4.539
2020-04-13,2.534,1.667,3.913
2020-04-14,2.44,1.681,3.593
2020-04-15,2.072,1.461,2.956
2020-04-16,2.115,1.549,2.913
2020-04-17,2.22,1.684,2.96
2020-04-18,1.995,1.543,2.599
2020-04-19,1.999,1.583,2.545
2020-04-20,1.975,1.595,2.463
2020-04-21,1.995,1.642,2.441
2020-04-22,1.905,1.591,2.296
2020-04-23,1.916,1.624,2.275
2020-04-24,1.902,1.633,2.229
2020-04-25,1.743,1.51,2.022
2020-04-26,1.868,1.638,2.142
2020-04-27,2.134,1.892,2.42
2020-04-28,2.146,1.922,2.409
2020-04-29,2.29,2.069,2.546
2020-04-30,2.167,1.976,2.386
2020-05-01,2.203,2.024,2.406
2020-05-02,1.984,1.836,2.149
2020-05-03,2.042,1.901,2.199
2020-05-04,1.932,1.808,2.068
2020-05-05,1.852,1.741,1.972
2020-05-06,1.808,1.708,1.918
2020-05-07,1.729,1.639,1.826
2020-05-08,1.683,1.601,1.772
2020-05-09,1.632,1.556,1.713
2020-05-10,1.591,1.521,1.665
2020-05-11,1.527,1.464,1.595
2020-05-12,1.489,1.43,1.552
2020-05-13,1.452,1.397,1.51
2020-05-14,1.417,1.366,1.472
2020-05-15,1.491,1.44,1.546
2020-05-16,1.487,1.438,1.539
2020-05-17,1.438,1.392,1.485
2020-05-18,1.401,1.359,1.445
2020-05-19,1.393,1.353,1.436
2020-05-20,1.392,1.353,1.433
2020-05-21,1.357,1.32,1.395
2020-05-22,1.335,1.3,1.371
2020-05-23,1.446,1.41,1.484
2020-05-24,1.429,1.395,1.464
2020-05-25,1.397,1.365,1.43
2020-05-26,1.393,1.362,1.425
2020-05-27,1.366,1.337,1.396
2020-05-28,1.367,1.34,1.396
2020-05-29,1.417,1.389,1.445
2020-05-30,1.446,1.419,1.475
2020-05-31,1.419,1.394,1.446
2020-06-01,1.404,1.38,1.429
2020-06-02,1.392,1.369,1.417
2020-06-03,1.366,1.344,1.389
2020-06-04,1.353,1.332,1.375
2020-06-05,1.354,1.334,1.375
2020-06-06,1.34,1.32,1.36
2020-06-07,1.321,1.303,1.34
2020-06-08,1.3,1.283,1.318
2020-06-09,1.28,1.263,1.298
2020-06-10,1.27,1.254,1.287
2020-06-11,1.26,1.244,1.276
2020-06-12,1.254,1.239,1.269
2020-06-13,1.239,1.225,1.254
2020-06-14,1.226,1.212,1.24
2020-06-15,1.213,1.2,1.227
2020-06-16,1.216,1.203,1.229
2020-06-17,1.207,1.194,1.22
2020-06-18,1.2,1.188,1.213
2020-06-19,1.199,1.187,1.211
2020-06-20,1.199,1.187,1.211
2020-06-21,1.2,1.188,1.211
2020-06-22,1.194,1.183,1.206
2020-06-23,1.19,1.179,1.201
2020-06-24,1.189,1.179,1.2
2020-06-25,1.185,1.175,1.196
2020-06-26,1.182,1.172,1.192
2020-06-27,1.179,1.169,1.189
2020-06-28,1.175,1.165,1.184
2020-06-29,1.168,1.159,1.178
2020-06-30,1.164,1.155,1.173
2020-07-01,1.164,1.155,1.173
2020-07-02,1.16,1.151,1.169
2020-07-03,1.16,1.151,1.168
2020-07-04,1.161,1.153,1.17
2020-07-05,1.168,1.16,1.176
2020-07-06,1.167,1.159,1.175
2020-07-07,1.165,1.157,1.173
2020-07-08,1.167,1.16,1.175
2020-07-09,1.166,1.159,1.174
2020-07-10,1.166,1.159,1.173
2020-07-11,1.166,1.159,1.173
2020-07-12,1.17,1.163,1.177
2020-07-13,1.165,1.158,1.172
2020-07-14,1.158,1.151,1.165
2020-07-15,1.161,1.154,1.168
2020-07-16,1.161,1.155,1.168
2020-07-17,1.16,1.154,1.166
2020-07-18,1.164,1.157,1.17
2020-07-19,1.162,1.156,1.168
2020-07-20,1.158,1.152,1.164
2020-07-21,1.157,1.152,1.163
2020-07-22,1.159,1.153,1.164
2020-07-23,1.162,1.156,1.168
2020-07-24,1.165,1.159,1.171
2020-07-25,1.166,1.16,1.172
2020-07-26,1.167,1.162,1.173
2020-07-27,1.163,1.158,1.169
2020-07-28,1.163,1.158,1.168
2020-07-29,1.166,1.161,1.172
2020-07-30,1.168,1.163,1.174
2020-07-31,1.177,1.172,1.183
2020-08-01,1.17,1.165,1.175
2020-08-02,1.18,1.175,1.185
2020-08-03,1.177,1.172,1.182
2020-08-04,1.172,1.168,1.177
2020-08-05,1.176,1.172,1.181
2020-08-06,1.182,1.177,1.186
2020-08-07,1.182,1.178,1.187
2020-08-08,1.183,1.179,1.187
2020-08-09,1.183,1.179,1.187
2020-08-10,1.182,1.178,1.186
2020-08-11,1.177,1.173,1.181
2020-08-12,1.177,1.173,1.181
2020-08-13,1.175,1.171,1.179
2020-08-14,1.176,1.172,1.18
2020-08-15,1.174,1.17,1.178
2020-08-16,1.172,1.168,1.176
2020-08-17,1.169,1.165,1.172
