"data","R0","LB","UB"
2020-03-21,40.187,3.092,1871.013
2020-03-22,9.88,1.629,62.366
2020-03-23,4.099,0.637,17.055
2020-03-24,3.404,0.766,11.099
2020-03-25,2.212,0.449,6.572
2020-03-26,2.163,0.613,5.556
2020-03-27,2.468,0.987,5.418
2020-03-28,2.198,0.971,4.44
2020-03-29,2.707,1.477,4.841
2020-03-30,2.112,1.174,3.619
2020-03-31,2.621,1.666,4.111
2020-04-01,2.113,1.371,3.202
2020-04-02,1.884,1.256,2.769
2020-04-03,1.801,1.244,2.563
2020-04-04,1.796,1.289,2.475
2020-04-05,1.885,1.409,2.512
2020-04-06,1.912,1.474,2.48
2020-04-07,1.701,1.325,2.175
2020-04-08,1.582,1.247,1.995
2020-04-09,1.621,1.307,2.005
2020-04-10,2.197,1.84,2.639
2020-04-11,2.004,1.701,2.371
2020-04-12,1.823,1.563,2.132
2020-04-13,1.702,1.472,1.971
2020-04-14,1.635,1.427,1.877
2020-04-15,1.604,1.412,1.826
2020-04-16,1.574,1.396,1.778
2020-04-17,1.502,1.339,1.687
2020-04-18,1.576,1.418,1.754
2020-04-19,1.496,1.353,1.657
2020-04-20,1.478,1.343,1.628
2020-04-21,1.423,1.298,1.561
2020-04-22,1.403,1.286,1.533
2020-04-23,1.347,1.238,1.467
2020-04-24,1.382,1.276,1.497
2020-04-25,1.415,1.313,1.526
2020-04-26,1.362,1.267,1.464
2020-04-27,1.348,1.258,1.445
2020-04-28,1.367,1.281,1.461
2020-04-29,1.434,1.349,1.526
2020-04-30,1.397,1.317,1.482
2020-05-01,1.431,1.354,1.514
2020-05-02,1.383,1.311,1.46
2020-05-03,1.424,1.354,1.5
2020-05-04,1.386,1.32,1.456
2020-05-05,1.372,1.31,1.439
2020-05-06,1.382,1.322,1.446
2020-05-07,1.355,1.298,1.415
2020-05-08,1.372,1.317,1.43
2020-05-09,1.369,1.316,1.425
2020-05-10,1.36,1.309,1.413
2020-05-11,1.326,1.278,1.376
2020-05-12,1.307,1.262,1.355
2020-05-13,1.299,1.256,1.345
2020-05-14,1.283,1.241,1.326
2020-05-15,1.32,1.279,1.363
2020-05-16,1.313,1.273,1.354
2020-05-17,1.302,1.264,1.342
2020-05-18,1.287,1.251,1.325
2020-05-19,1.295,1.26,1.332
2020-05-20,1.283,1.249,1.318
2020-05-21,1.27,1.237,1.303
2020-05-22,1.26,1.229,1.293
2020-05-23,1.289,1.258,1.321
2020-05-24,1.29,1.26,1.321
2020-05-25,1.279,1.25,1.309
2020-05-26,1.258,1.231,1.286
2020-05-27,1.239,1.213,1.266
2020-05-28,1.264,1.238,1.291
2020-05-29,1.271,1.246,1.297
2020-05-30,1.279,1.254,1.304
2020-05-31,1.276,1.252,1.301
2020-06-01,1.263,1.24,1.287
2020-06-02,1.289,1.266,1.312
2020-06-03,1.269,1.247,1.291
2020-06-04,1.274,1.253,1.296
2020-06-05,1.269,1.248,1.29
2020-06-06,1.269,1.25,1.29
2020-06-07,1.262,1.243,1.282
2020-06-08,1.254,1.236,1.273
2020-06-09,1.243,1.225,1.262
2020-06-10,1.242,1.224,1.26
2020-06-11,1.235,1.218,1.252
2020-06-12,1.235,1.218,1.252
2020-06-13,1.224,1.208,1.24
2020-06-14,1.21,1.195,1.226
2020-06-15,1.2,1.185,1.215
2020-06-16,1.203,1.188,1.218
2020-06-17,1.203,1.189,1.217
2020-06-18,1.211,1.197,1.225
2020-06-19,1.214,1.201,1.228
2020-06-20,1.232,1.218,1.245
2020-06-21,1.238,1.225,1.251
2020-06-22,1.233,1.22,1.246
2020-06-23,1.226,1.214,1.239
2020-06-24,1.237,1.224,1.249
2020-06-25,1.242,1.23,1.255
2020-06-26,1.253,1.241,1.265
2020-06-27,1.262,1.25,1.274
2020-06-28,1.266,1.254,1.278
2020-06-29,1.259,1.248,1.27
2020-06-30,1.255,1.244,1.266
2020-07-01,1.264,1.253,1.274
2020-07-02,1.266,1.255,1.276
2020-07-03,1.265,1.255,1.275
2020-07-04,1.289,1.279,1.3
2020-07-05,1.295,1.285,1.305
2020-07-06,1.281,1.272,1.291
2020-07-07,1.273,1.263,1.282
2020-07-08,1.277,1.268,1.286
2020-07-09,1.277,1.268,1.286
2020-07-10,1.276,1.267,1.284
2020-07-11,1.281,1.272,1.289
2020-07-12,1.284,1.276,1.292
2020-07-13,1.275,1.267,1.283
2020-07-14,1.269,1.261,1.276
2020-07-15,1.275,1.267,1.283
2020-07-16,1.28,1.273,1.288
2020-07-17,1.283,1.276,1.29
2020-07-18,1.28,1.273,1.288
2020-07-19,1.273,1.266,1.28
2020-07-20,1.264,1.258,1.271
2020-07-21,1.258,1.252,1.265
2020-07-22,1.265,1.259,1.271
2020-07-23,1.272,1.266,1.279
2020-07-24,1.274,1.268,1.28
2020-07-25,1.272,1.266,1.278
2020-07-26,1.271,1.266,1.277
2020-07-27,1.266,1.261,1.272
