"data","R0","LB","UB"
2020-03-20,14.921,0.816,136.607
2020-03-21,18.624,5.581,63.798
2020-03-22,8.242,3.459,18.514
2020-03-23,3.581,1.547,7.18
2020-03-24,3.158,1.642,5.548
2020-03-25,2.606,1.495,4.225
2020-03-26,2.056,1.237,3.187
2020-03-27,1.743,1.096,2.599
2020-03-28,1.366,0.859,2.018
2020-03-29,1.346,0.899,1.905
2020-03-30,1.146,0.769,1.607
2020-03-31,1.092,0.756,1.496
2020-04-01,1.019,0.719,1.374
2020-04-02,1.063,0.784,1.388
2020-04-03,1.145,0.883,1.447
2020-04-04,1.151,0.91,1.427
2020-04-05,1.421,1.183,1.691
2020-04-06,1.379,1.163,1.623
2020-04-07,1.286,1.091,1.503
2020-04-08,1.24,1.061,1.438
2020-04-09,1.203,1.037,1.385
2020-04-10,1.578,1.408,1.767
2020-04-11,1.515,1.361,1.685
2020-04-12,1.426,1.286,1.579
2020-04-13,1.34,1.213,1.479
2020-04-14,1.309,1.191,1.437
2020-04-15,1.277,1.166,1.396
2020-04-16,1.254,1.15,1.365
2020-04-17,1.234,1.136,1.338
2020-04-18,1.212,1.12,1.31
2020-04-19,1.165,1.078,1.257
2020-04-20,1.138,1.055,1.225
2020-04-21,1.101,1.023,1.184
2020-04-22,1.074,0.999,1.152
2020-04-23,1.062,0.99,1.137
2020-04-24,1.063,0.994,1.135
2020-04-25,1.053,0.987,1.122
2020-04-26,1.033,0.97,1.1
2020-04-27,1.054,0.992,1.118
2020-04-28,1.032,0.973,1.094
2020-04-29,1.474,1.411,1.542
2020-04-30,1.443,1.384,1.506
2020-05-01,1.465,1.408,1.525
2020-05-02,1.41,1.357,1.466
2020-05-03,1.411,1.36,1.464
2020-05-04,1.395,1.347,1.445
2020-05-05,1.373,1.328,1.421
2020-05-06,1.377,1.334,1.423
2020-05-07,1.366,1.325,1.409
2020-05-08,1.357,1.318,1.398
2020-05-09,1.337,1.299,1.376
2020-05-10,1.328,1.292,1.365
2020-05-11,1.299,1.265,1.334
2020-05-12,1.279,1.246,1.312
2020-05-13,1.267,1.236,1.299
2020-05-14,1.243,1.214,1.274
2020-05-15,1.281,1.252,1.311
2020-05-16,1.273,1.245,1.301
2020-05-17,1.256,1.23,1.284
2020-05-18,1.24,1.215,1.267
2020-05-19,1.247,1.222,1.273
2020-05-20,1.237,1.213,1.262
2020-05-21,1.223,1.2,1.247
2020-05-22,1.211,1.189,1.234
2020-05-23,1.22,1.199,1.243
2020-05-24,1.216,1.195,1.237
2020-05-25,1.203,1.183,1.224
2020-05-26,1.187,1.168,1.207
2020-05-27,1.173,1.154,1.192
2020-05-28,1.173,1.154,1.192
2020-05-29,1.176,1.158,1.194
2020-05-30,1.189,1.171,1.207
2020-05-31,1.184,1.167,1.201
2020-06-01,1.177,1.161,1.194
2020-06-02,1.17,1.154,1.187
2020-06-03,1.164,1.148,1.18
2020-06-04,1.159,1.144,1.174
2020-06-05,1.159,1.144,1.174
2020-06-06,1.158,1.143,1.173
2020-06-07,1.156,1.142,1.17
2020-06-08,1.148,1.134,1.162
2020-06-09,1.142,1.128,1.156
2020-06-10,1.14,1.127,1.153
2020-06-11,1.143,1.13,1.156
2020-06-12,1.143,1.13,1.155
2020-06-13,1.137,1.125,1.15
2020-06-14,1.131,1.119,1.143
2020-06-15,1.122,1.111,1.134
2020-06-16,1.125,1.113,1.136
2020-06-17,1.126,1.115,1.137
2020-06-18,1.132,1.122,1.144
2020-06-19,1.131,1.12,1.142
2020-06-20,1.133,1.123,1.144
2020-06-21,1.139,1.128,1.149
2020-06-22,1.133,1.123,1.144
2020-06-23,1.13,1.12,1.14
2020-06-24,1.133,1.123,1.143
2020-06-25,1.135,1.125,1.145
2020-06-26,1.138,1.128,1.147
2020-06-27,1.141,1.132,1.15
2020-06-28,1.145,1.136,1.154
2020-06-29,1.145,1.136,1.154
2020-06-30,1.143,1.134,1.151
2020-07-01,1.147,1.138,1.156
2020-07-02,1.154,1.146,1.163
2020-07-03,1.163,1.155,1.172
2020-07-04,1.172,1.164,1.18
2020-07-05,1.179,1.171,1.187
2020-07-06,1.179,1.171,1.187
2020-07-07,1.175,1.168,1.183
2020-07-08,1.182,1.175,1.19
2020-07-09,1.188,1.18,1.195
2020-07-10,1.194,1.187,1.201
2020-07-11,1.197,1.19,1.204
2020-07-12,1.204,1.197,1.211
2020-07-13,1.205,1.198,1.212
2020-07-14,1.2,1.193,1.207
2020-07-15,1.213,1.206,1.22
2020-07-16,1.218,1.211,1.224
2020-07-17,1.221,1.214,1.227
2020-07-18,1.22,1.213,1.226
2020-07-19,1.216,1.21,1.223
2020-07-20,1.21,1.204,1.216
2020-07-21,1.209,1.203,1.215
2020-07-22,1.212,1.206,1.218
2020-07-23,1.219,1.213,1.224
2020-07-24,1.224,1.219,1.23
2020-07-25,1.227,1.222,1.233
2020-07-26,1.228,1.223,1.234
2020-07-27,1.228,1.223,1.234
2020-07-28,1.224,1.219,1.229
2020-07-29,1.23,1.225,1.235
2020-07-30,1.237,1.232,1.242
2020-07-31,1.242,1.237,1.247
2020-08-01,1.231,1.226,1.236
2020-08-02,1.246,1.241,1.251
2020-08-03,1.238,1.233,1.242
2020-08-04,1.23,1.225,1.234
2020-08-05,1.233,1.229,1.238
2020-08-06,1.234,1.23,1.238
2020-08-07,1.234,1.23,1.238
2020-08-08,1.232,1.228,1.236
2020-08-09,1.235,1.23,1.239
2020-08-10,1.226,1.222,1.23
2020-08-11,1.221,1.217,1.225
2020-08-12,1.221,1.217,1.225
2020-08-13,1.22,1.217,1.224
