"data","R0","LB","UB"
2020-04-10,14.08,0,1063.064
2020-04-11,5.104,0,71.034
2020-04-12,3.062,0.001,22.933
2020-04-13,2.26,0.013,11.818
2020-04-14,1,0.001,5.651
2020-04-15,0.529,0,3.446
2020-04-16,0.314,0,2.401
2020-04-17,0.205,0,1.822
2020-04-18,0.147,0,1.467
2020-04-19,0.9,0.106,2.499
2020-04-20,1.345,0.435,2.902
2020-04-21,1.1,0.339,2.348
2020-04-22,0.933,0.275,1.979
2020-04-23,0.816,0.231,1.719
2020-04-24,0.93,0.354,1.772
2020-04-25,0.838,0.314,1.584
2020-04-26,0.767,0.284,1.44
2020-04-27,0.872,0.399,1.508
2020-04-28,0.811,0.369,1.392
2020-04-29,1.321,0.859,1.931
2020-04-30,1.3,0.872,1.855
2020-05-01,1.489,1.072,2.031
2020-05-02,1.37,0.994,1.848
2020-05-03,1.333,0.984,1.769
2020-05-04,1.301,0.977,1.702
2020-05-05,1.226,0.925,1.591
2020-05-06,1.163,0.882,1.499
2020-05-07,1.111,0.845,1.423
2020-05-08,1.372,1.109,1.689
2020-05-09,1.301,1.057,1.591
2020-05-10,1.302,1.071,1.575
2020-05-11,1.246,1.029,1.498
2020-05-12,1.25,1.044,1.489
2020-05-13,1.203,1.009,1.426
2020-05-14,1.275,1.088,1.492
2020-05-15,1.308,1.128,1.516
2020-05-16,1.261,1.092,1.455
2020-05-17,1.22,1.059,1.402
2020-05-18,1.184,1.031,1.356
2020-05-19,1.201,1.054,1.366
2020-05-20,1.184,1.044,1.341
2020-05-21,1.155,1.021,1.304
2020-05-22,1.129,1,1.271
2020-05-23,1.105,0.981,1.241
2020-05-24,1.124,1.004,1.256
2020-05-25,1.103,0.987,1.229
2020-05-26,1.12,1.008,1.241
2020-05-27,1.1,0.991,1.217
2020-05-28,1.081,0.976,1.195
2020-05-29,1.087,0.985,1.196
2020-05-30,1.13,1.032,1.237
2020-05-31,1.139,1.044,1.242
2020-06-01,1.121,1.029,1.22
2020-06-02,1.137,1.048,1.233
2020-06-03,1.143,1.056,1.236
2020-06-04,1.161,1.077,1.252
2020-06-05,1.229,1.147,1.319
2020-06-06,1.245,1.165,1.333
2020-06-07,1.238,1.161,1.322
2020-06-08,1.222,1.147,1.302
2020-06-09,1.206,1.135,1.284
2020-06-10,1.232,1.162,1.308
2020-06-11,1.26,1.191,1.335
2020-06-12,1.289,1.222,1.362
2020-06-13,1.265,1.201,1.335
2020-06-14,1.248,1.186,1.314
2020-06-15,1.234,1.175,1.298
2020-06-16,1.234,1.176,1.296
2020-06-17,1.244,1.188,1.305
2020-06-18,1.239,1.185,1.298
2020-06-19,1.266,1.213,1.324
2020-06-20,1.283,1.231,1.34
2020-06-21,1.29,1.239,1.345
2020-06-22,1.281,1.232,1.334
2020-06-23,1.271,1.223,1.322
2020-06-24,1.27,1.224,1.319
2020-06-25,1.273,1.229,1.321
2020-06-26,1.268,1.224,1.314
2020-06-27,1.267,1.224,1.312
2020-06-28,1.286,1.245,1.331
2020-06-29,1.271,1.231,1.314
2020-06-30,1.256,1.218,1.297
2020-07-01,1.273,1.235,1.313
2020-07-02,1.266,1.23,1.305
2020-07-03,1.269,1.234,1.307
2020-07-04,1.271,1.236,1.308
2020-07-05,1.274,1.24,1.31
2020-07-06,1.267,1.235,1.302
2020-07-07,1.263,1.231,1.296
2020-07-08,1.28,1.248,1.313
2020-07-09,1.269,1.239,1.301
2020-07-10,1.27,1.241,1.301
2020-07-11,1.27,1.241,1.3
2020-07-12,1.261,1.234,1.29
2020-07-13,1.248,1.222,1.276
2020-07-14,1.235,1.21,1.262
2020-07-15,1.235,1.21,1.261
2020-07-16,1.236,1.212,1.261
2020-07-17,1.238,1.214,1.263
2020-07-18,1.245,1.222,1.27
2020-07-19,1.24,1.217,1.264
2020-07-20,1.229,1.207,1.252
2020-07-21,1.223,1.202,1.246
2020-07-22,1.229,1.208,1.251
2020-07-23,1.236,1.216,1.258
2020-07-24,1.251,1.231,1.273
2020-07-25,1.251,1.231,1.272
2020-07-26,1.25,1.23,1.27
2020-07-27,1.243,1.224,1.262
2020-07-28,1.232,1.214,1.251
2020-07-29,1.238,1.22,1.256
2020-07-30,1.238,1.22,1.256
2020-07-31,1.241,1.224,1.259
2020-08-01,1.229,1.212,1.246
2020-08-02,1.261,1.244,1.279
2020-08-03,1.26,1.243,1.277
2020-08-04,1.248,1.232,1.264
2020-08-05,1.257,1.241,1.273
2020-08-06,1.26,1.244,1.275
2020-08-07,1.258,1.243,1.273
2020-08-08,1.252,1.238,1.267
2020-08-09,1.255,1.241,1.27
2020-08-10,1.265,1.251,1.28
2020-08-11,1.254,1.24,1.268
2020-08-12,1.251,1.238,1.264
2020-08-13,1.247,1.234,1.26
2020-08-14,1.244,1.231,1.257
2020-08-15,1.239,1.227,1.251
2020-08-16,1.237,1.225,1.249
2020-08-17,1.233,1.221,1.244
2020-08-18,1.225,1.214,1.236
2020-08-19,1.22,1.21,1.231
2020-08-20,1.218,1.208,1.229
2020-08-21,1.222,1.212,1.233
2020-08-22,1.218,1.208,1.229
2020-08-23,1.216,1.206,1.226
2020-08-24,1.209,1.2,1.219
2020-08-25,1.204,1.195,1.213
2020-08-26,1.2,1.191,1.209
