"data","R0","LB","UB"
2020-03-23,0,0,18.157
2020-03-24,1,0,17.495
2020-03-25,0.002,0,3.095
2020-03-26,0.272,0,3.502
2020-03-27,1,0.016,3.982
2020-03-28,0.41,0.001,2.117
2020-03-29,0.65,0.032,2.145
2020-03-30,0.392,0.011,1.466
2020-03-31,0.613,0.083,1.617
2020-04-01,0.763,0.2,1.669
2020-04-02,1.111,0.503,1.982
2020-04-03,1.104,0.557,1.856
2020-04-04,1.007,0.526,1.648
2020-04-05,1.321,0.839,1.941
2020-04-06,1.193,0.772,1.725
2020-04-07,1.103,0.726,1.568
2020-04-08,1.038,0.696,1.452
2020-04-09,1.037,0.72,1.416
2020-04-10,1.612,1.274,2.017
2020-04-11,1.436,1.141,1.784
2020-04-12,1.33,1.066,1.638
2020-04-13,1.223,0.983,1.498
2020-04-14,1.209,0.986,1.463
2020-04-15,1.153,0.946,1.386
2020-04-16,1.187,0.992,1.406
2020-04-17,1.175,0.992,1.38
2020-04-18,1.115,0.944,1.304
2020-04-19,1.064,0.903,1.241
2020-04-20,1.053,0.9,1.22
2020-04-21,1.013,0.868,1.171
2020-04-22,0.979,0.84,1.129
2020-04-23,0.95,0.816,1.092
2020-04-24,0.953,0.825,1.089
2020-04-25,0.955,0.833,1.086
2020-04-26,0.932,0.814,1.057
2020-04-27,1.029,0.916,1.149
2020-04-28,1.004,0.895,1.119
2020-04-29,1.492,1.378,1.619
2020-04-30,1.456,1.349,1.573
2020-05-01,1.494,1.391,1.607
2020-05-02,1.429,1.334,1.532
2020-05-03,1.45,1.359,1.549
2020-05-04,1.419,1.334,1.512
2020-05-05,1.385,1.305,1.471
2020-05-06,1.402,1.325,1.485
2020-05-07,1.381,1.308,1.459
2020-05-08,1.394,1.324,1.469
2020-05-09,1.386,1.32,1.457
2020-05-10,1.393,1.33,1.462
2020-05-11,1.351,1.291,1.415
2020-05-12,1.326,1.27,1.387
2020-05-13,1.321,1.267,1.379
2020-05-14,1.289,1.237,1.343
2020-05-15,1.339,1.289,1.393
2020-05-16,1.344,1.295,1.395
2020-05-17,1.328,1.281,1.377
2020-05-18,1.304,1.259,1.35
2020-05-19,1.321,1.277,1.366
2020-05-20,1.3,1.259,1.343
2020-05-21,1.283,1.244,1.324
2020-05-22,1.268,1.23,1.307
2020-05-23,1.275,1.238,1.313
2020-05-24,1.269,1.233,1.305
2020-05-25,1.249,1.215,1.284
2020-05-26,1.231,1.199,1.264
2020-05-27,1.212,1.181,1.244
2020-05-28,1.209,1.179,1.24
2020-05-29,1.208,1.178,1.238
2020-05-30,1.207,1.179,1.236
2020-05-31,1.206,1.178,1.234
2020-06-01,1.195,1.169,1.223
2020-06-02,1.185,1.159,1.212
