"data","R0","LB","UB"
2020-04-21,10.291,0.61,631.206
2020-04-22,4.856,0.386,82.71
2020-04-23,3.287,0.274,33.376
2020-04-24,2.539,0.208,19.191
2020-04-25,2.099,0.165,13.043
2020-04-26,1.808,0.135,9.752
2020-04-27,2.936,0.824,12.488
2020-04-28,2.392,0.713,8.622
2020-04-29,3.641,1.473,11.051
2020-04-30,2.805,1.249,7.26
2020-05-01,2.337,1.104,5.442
2020-05-02,2.035,1,4.392
2020-05-03,1.823,0.921,3.714
2020-05-04,1.665,0.86,3.242
2020-05-05,1.806,1.019,3.33
2020-05-06,1.66,0.957,2.945
2020-05-07,2.119,1.342,3.571
2020-05-08,2.213,1.462,3.562
2020-05-09,2.231,1.529,3.44
2020-05-10,1.994,1.406,2.955
2020-05-11,1.915,1.385,2.751
2020-05-12,1.845,1.365,2.58
2020-05-13,1.783,1.345,2.435
2020-05-14,1.79,1.377,2.394
2020-05-15,2.153,1.687,2.829
2020-05-16,1.949,1.559,2.498
2020-05-17,1.877,1.525,2.361
2020-05-18,1.746,1.438,2.159
2020-05-19,1.735,1.446,2.117
2020-05-20,1.663,1.401,2.004
2020-05-21,1.578,1.341,1.88
2020-05-22,1.508,1.29,1.78
2020-05-23,1.697,1.467,1.988
2020-05-24,1.663,1.449,1.929
2020-05-25,1.582,1.389,1.819
2020-05-26,1.574,1.392,1.797
2020-05-27,1.708,1.518,1.939
2020-05-28,1.633,1.462,1.838
2020-05-29,1.665,1.499,1.864
2020-05-30,1.774,1.605,1.976
2020-05-31,1.742,1.585,1.927
2020-06-01,1.658,1.518,1.821
2020-06-02,1.597,1.469,1.744
2020-06-03,1.594,1.473,1.733
2020-06-04,1.547,1.436,1.674
2020-06-05,1.563,1.455,1.685
2020-06-06,1.543,1.442,1.657
2020-06-07,1.519,1.424,1.625
2020-06-08,1.472,1.385,1.57
2020-06-09,1.436,1.354,1.527
2020-06-10,1.432,1.354,1.519
2020-06-11,1.433,1.358,1.517
2020-06-12,1.458,1.383,1.539
2020-06-13,1.425,1.356,1.502
2020-06-14,1.4,1.334,1.471
2020-06-15,1.372,1.31,1.439
2020-06-16,1.383,1.323,1.449
2020-06-17,1.397,1.339,1.461
2020-06-18,1.397,1.34,1.458
2020-06-19,1.385,1.331,1.444
2020-06-20,1.362,1.311,1.417
2020-06-21,1.363,1.313,1.416
2020-06-22,1.349,1.302,1.4
2020-06-23,1.345,1.3,1.394
2020-06-24,1.353,1.308,1.4
2020-06-25,1.359,1.316,1.405
2020-06-26,1.353,1.311,1.397
2020-06-27,1.359,1.318,1.402
2020-06-28,1.356,1.317,1.397
2020-06-29,1.333,1.296,1.372
2020-06-30,1.324,1.289,1.362
2020-07-01,1.339,1.304,1.376
2020-07-02,1.326,1.293,1.361
2020-07-03,1.333,1.3,1.368
2020-07-04,1.331,1.3,1.365
2020-07-05,1.342,1.311,1.374
2020-07-06,1.326,1.297,1.357
2020-07-07,1.309,1.281,1.339
2020-07-08,1.34,1.311,1.369
2020-07-09,1.326,1.299,1.354
2020-07-10,1.326,1.299,1.353
2020-07-11,1.322,1.296,1.348
2020-07-12,1.318,1.293,1.344
2020-07-13,1.302,1.278,1.326
2020-07-14,1.288,1.265,1.311
2020-07-15,1.285,1.263,1.307
2020-07-16,1.28,1.259,1.302
2020-07-17,1.28,1.259,1.301
2020-07-18,1.278,1.258,1.299
2020-07-19,1.273,1.254,1.293
2020-07-20,1.261,1.243,1.281
2020-07-21,1.252,1.234,1.27
2020-07-22,1.256,1.238,1.274
2020-07-23,1.258,1.241,1.276
2020-07-24,1.258,1.241,1.275
2020-07-25,1.255,1.239,1.272
2020-07-26,1.248,1.232,1.265
2020-07-27,1.235,1.22,1.251
