"data","R0","LB","UB"
2020-04-06,1,0,8.001
2020-04-07,5.483,1.605,17.97
2020-04-08,4.523,1.696,11.65
2020-04-09,3.305,1.377,7.392
2020-04-10,2.323,0.975,4.862
2020-04-11,1.789,0.744,3.605
2020-04-12,2.559,1.427,4.452
2020-04-13,2.018,1.143,3.383
2020-04-14,1.82,1.074,2.931
2020-04-15,1.553,0.923,2.452
2020-04-16,1.364,0.814,2.122
2020-04-17,1.329,0.826,2.005
2020-04-18,1.387,0.915,2.011
2020-04-19,1.263,0.837,1.811
2020-04-20,1.313,0.912,1.823
2020-04-21,1.215,0.848,1.672
2020-04-22,1.136,0.797,1.552
2020-04-23,1.072,0.755,1.454
2020-04-24,1.019,0.72,1.373
2020-04-25,1.031,0.747,1.366
2020-04-26,1.091,0.819,1.409
2020-04-27,1.045,0.788,1.343
2020-04-28,1.006,0.761,1.287
2020-04-29,1.017,0.783,1.284
2020-04-30,0.984,0.76,1.238
2020-05-01,1.552,1.315,1.837
2020-05-02,1.527,1.306,1.79
2020-05-03,1.502,1.296,1.745
2020-05-04,1.427,1.238,1.648
2020-05-05,1.413,1.234,1.62
2020-05-06,1.369,1.202,1.56
2020-05-07,1.345,1.187,1.525
2020-05-08,1.361,1.21,1.533
2020-05-09,1.36,1.216,1.523
2020-05-10,1.377,1.24,1.534
2020-05-11,1.34,1.21,1.486
2020-05-12,1.344,1.22,1.483
2020-05-13,1.302,1.185,1.433
2020-05-14,1.291,1.179,1.415
2020-05-15,1.288,1.181,1.406
2020-05-16,1.269,1.167,1.381
2020-05-17,1.35,1.249,1.462
2020-05-18,1.318,1.223,1.423
2020-05-19,1.296,1.205,1.396
2020-05-20,1.292,1.204,1.387
2020-05-21,1.335,1.249,1.429
2020-05-22,1.337,1.255,1.427
2020-05-23,1.308,1.23,1.393
2020-05-24,1.303,1.228,1.384
2020-05-25,1.336,1.263,1.416
2020-05-26,1.332,1.261,1.408
2020-05-27,1.326,1.259,1.4
2020-05-28,1.309,1.244,1.379
2020-05-29,1.323,1.261,1.391
2020-05-30,1.311,1.251,1.376
2020-05-31,1.325,1.267,1.388
2020-06-01,1.338,1.281,1.399
2020-06-02,1.343,1.288,1.402
2020-06-03,1.316,1.264,1.372
2020-06-04,1.306,1.256,1.359
2020-06-05,1.297,1.249,1.349
2020-06-06,1.281,1.235,1.33
2020-06-07,1.261,1.217,1.308
2020-06-08,1.254,1.211,1.299
2020-06-09,1.247,1.206,1.291
2020-06-10,1.23,1.191,1.272
2020-06-11,1.219,1.181,1.26
2020-06-12,1.212,1.174,1.251
2020-06-13,1.204,1.168,1.242
2020-06-14,1.196,1.161,1.233
2020-06-15,1.186,1.153,1.222
2020-06-16,1.173,1.141,1.208
2020-06-17,1.163,1.131,1.196
2020-06-18,1.155,1.124,1.187
2020-06-19,1.147,1.116,1.178
2020-06-20,1.14,1.11,1.17
2020-06-21,1.132,1.104,1.162
2020-06-22,1.127,1.099,1.156
2020-06-23,1.135,1.107,1.163
2020-06-24,1.126,1.099,1.154
2020-06-25,1.127,1.101,1.154
2020-06-26,1.124,1.098,1.151
2020-06-27,1.12,1.094,1.146
2020-06-28,1.117,1.092,1.142
2020-06-29,1.117,1.093,1.142
2020-06-30,1.114,1.09,1.138
2020-07-01,1.111,1.087,1.134
2020-07-02,1.117,1.094,1.14
2020-07-03,1.114,1.092,1.137
2020-07-04,1.113,1.091,1.135
2020-07-05,1.116,1.095,1.138
2020-07-06,1.122,1.101,1.143
2020-07-07,1.12,1.1,1.142
2020-07-08,1.123,1.103,1.144
2020-07-09,1.12,1.1,1.14
2020-07-10,1.126,1.106,1.146
2020-07-11,1.128,1.109,1.148
2020-07-12,1.134,1.116,1.154
2020-07-13,1.137,1.118,1.156
2020-07-14,1.137,1.119,1.156
2020-07-15,1.147,1.13,1.166
2020-07-16,1.142,1.124,1.16
2020-07-17,1.157,1.14,1.175
2020-07-18,1.163,1.146,1.18
2020-07-19,1.168,1.152,1.186
2020-07-20,1.167,1.151,1.184
2020-07-21,1.162,1.147,1.179
