"data","R0","LB","UB"
2020-03-18,1,0,92.664
2020-03-19,1.917,0,32.748
2020-03-20,0.272,0,9.403
2020-03-21,2.26,0.013,11.818
2020-03-22,2.713,0.313,9.424
2020-03-23,3.717,1.213,9.223
2020-03-24,2.466,0.839,5.592
2020-03-25,1.88,0.675,3.994
2020-03-26,2.605,1.359,4.611
2020-03-27,3.041,1.869,4.814
2020-03-28,2.175,1.35,3.348
2020-03-29,2.303,1.558,3.323
2020-03-30,2.35,1.69,3.225
2020-03-31,2.092,1.548,2.789
2020-04-01,2.197,1.7,2.822
2020-04-02,2.164,1.726,2.703
2020-04-03,2.043,1.664,2.499
2020-04-04,1.799,1.482,2.174
2020-04-05,2.012,1.705,2.372
2020-04-06,1.9,1.632,2.21
2020-04-07,1.924,1.678,2.207
2020-04-08,1.802,1.586,2.046
2020-04-09,1.694,1.503,1.908
2020-04-10,1.704,1.527,1.901
2020-04-11,1.659,1.498,1.836
2020-04-12,1.869,1.708,2.046
2020-04-13,1.712,1.572,1.864
2020-04-14,1.605,1.481,1.74
2020-04-15,1.529,1.416,1.651
2020-04-16,1.559,1.453,1.675
2020-04-17,1.506,1.408,1.611
2020-04-18,1.447,1.357,1.543
2020-04-19,1.403,1.319,1.492
2020-04-20,1.354,1.276,1.437
2020-04-21,1.307,1.234,1.383
2020-04-22,1.308,1.239,1.381
2020-04-23,1.28,1.215,1.349
2020-04-24,1.244,1.183,1.309
2020-04-25,1.226,1.168,1.288
2020-04-26,1.208,1.152,1.266
2020-04-27,1.186,1.133,1.241
2020-04-28,1.16,1.109,1.213
2020-04-29,1.151,1.102,1.202
2020-04-30,1.139,1.092,1.187
2020-05-01,1.252,1.206,1.3
2020-05-02,1.224,1.18,1.27
2020-05-03,1.312,1.268,1.357
2020-05-04,1.277,1.236,1.32
2020-05-05,1.263,1.224,1.304
2020-05-06,1.272,1.234,1.311
2020-05-07,1.253,1.217,1.291
2020-05-08,1.245,1.21,1.281
2020-05-09,1.229,1.195,1.263
2020-05-10,1.206,1.174,1.239
2020-05-11,1.192,1.161,1.223
2020-05-12,1.183,1.154,1.214
2020-05-13,1.167,1.138,1.196
2020-05-14,1.154,1.127,1.183
2020-05-15,1.142,1.116,1.17
2020-05-16,1.138,1.112,1.164
2020-05-17,1.163,1.137,1.189
2020-05-18,1.163,1.138,1.188
2020-05-19,1.155,1.132,1.18
2020-05-20,1.142,1.119,1.166
2020-05-21,1.145,1.123,1.168
2020-05-22,1.15,1.128,1.173
2020-05-23,1.142,1.121,1.164
2020-05-24,1.133,1.113,1.154
2020-05-25,1.214,1.194,1.235
2020-05-26,1.198,1.178,1.218
2020-05-27,1.184,1.165,1.204
2020-05-28,1.17,1.152,1.189
2020-05-29,1.157,1.139,1.176
2020-05-30,1.148,1.13,1.166
2020-05-31,1.149,1.132,1.166
2020-06-01,1.144,1.128,1.161
2020-06-02,1.134,1.117,1.15
2020-06-03,1.143,1.127,1.159
2020-06-04,1.142,1.127,1.158
2020-06-05,1.138,1.123,1.153
2020-06-06,1.137,1.123,1.152
2020-06-07,1.138,1.124,1.153
2020-06-08,1.147,1.133,1.161
2020-06-09,1.158,1.144,1.172
2020-06-10,1.156,1.142,1.17
2020-06-11,1.155,1.142,1.168
2020-06-12,1.167,1.154,1.18
2020-06-13,1.171,1.158,1.183
2020-06-14,1.168,1.156,1.181
2020-06-15,1.163,1.151,1.176
2020-06-16,1.16,1.148,1.172
2020-06-17,1.151,1.14,1.163
2020-06-18,1.159,1.148,1.171
2020-06-19,1.157,1.146,1.169
2020-06-20,1.159,1.148,1.17
2020-06-21,1.157,1.146,1.167
2020-06-22,1.158,1.148,1.169
2020-06-23,1.166,1.156,1.176
2020-06-24,1.164,1.154,1.174
2020-06-25,1.161,1.151,1.17
2020-06-26,1.174,1.165,1.184
2020-06-27,1.175,1.166,1.185
2020-06-28,1.181,1.172,1.19
2020-06-29,1.184,1.175,1.193
2020-06-30,1.192,1.183,1.201
2020-07-01,1.187,1.178,1.195
2020-07-02,1.189,1.18,1.197
2020-07-03,1.199,1.191,1.208
2020-07-04,1.199,1.191,1.208
2020-07-05,1.206,1.198,1.214
2020-07-06,1.213,1.205,1.221
2020-07-07,1.215,1.207,1.223
2020-07-08,1.215,1.207,1.222
2020-07-09,1.214,1.207,1.222
2020-07-10,1.22,1.212,1.227
2020-07-11,1.228,1.221,1.235
2020-07-12,1.229,1.222,1.236
2020-07-13,1.232,1.225,1.24
2020-07-14,1.234,1.227,1.241
2020-07-15,1.231,1.224,1.237
2020-07-16,1.225,1.219,1.232
2020-07-17,1.229,1.223,1.235
2020-07-18,1.233,1.227,1.24
2020-07-19,1.23,1.224,1.236
2020-07-20,1.23,1.224,1.236
2020-07-21,1.225,1.219,1.23
2020-07-22,1.223,1.217,1.229
2020-07-23,1.217,1.211,1.222
2020-07-24,1.215,1.21,1.221
2020-07-25,1.218,1.213,1.223
2020-07-26,1.219,1.214,1.224
2020-07-27,1.22,1.215,1.225
2020-07-28,1.219,1.214,1.224
2020-07-29,1.215,1.21,1.22
2020-07-30,1.212,1.207,1.216
2020-07-31,1.215,1.21,1.22
2020-08-01,1.219,1.214,1.223
2020-08-02,1.219,1.215,1.224
2020-08-03,1.21,1.206,1.214
2020-08-04,1.224,1.22,1.228
2020-08-05,1.219,1.215,1.223
2020-08-06,1.214,1.21,1.218
2020-08-07,1.213,1.209,1.218
2020-08-08,1.21,1.206,1.214
2020-08-09,1.208,1.204,1.212
2020-08-10,1.211,1.207,1.215
2020-08-11,1.211,1.208,1.215
2020-08-12,1.205,1.202,1.209
2020-08-13,1.2,1.197,1.204
2020-08-14,1.197,1.194,1.201
2020-08-15,1.195,1.192,1.199
2020-08-16,1.191,1.188,1.195
2020-08-17,1.189,1.185,1.192
2020-08-18,1.184,1.181,1.187
2020-08-19,1.178,1.175,1.181
2020-08-20,1.174,1.171,1.177
2020-08-21,1.17,1.167,1.173
2020-08-22,1.167,1.164,1.17
2020-08-23,1.164,1.161,1.167
2020-08-24,1.16,1.157,1.163
2020-08-25,1.156,1.154,1.159
2020-08-26,1.151,1.149,1.154
2020-08-27,1.148,1.145,1.15
2020-08-28,1.145,1.143,1.148
2020-08-29,1.142,1.139,1.144
2020-08-30,1.139,1.136,1.141
2020-08-31,1.136,1.134,1.139
2020-09-01,1.163,1.161,1.166
2020-09-02,1.158,1.156,1.161
2020-09-03,1.204,1.202,1.207
2020-09-04,1.199,1.197,1.202
2020-09-05,1.194,1.191,1.196
2020-09-06,1.188,1.186,1.191
2020-09-07,1.183,1.181,1.186
2020-09-08,1.178,1.176,1.18
2020-09-09,1.172,1.17,1.174
2020-09-10,1.168,1.166,1.17
2020-09-11,1.163,1.161,1.165
2020-09-12,1.159,1.157,1.161
2020-09-13,1.155,1.153,1.157
2020-09-14,1.152,1.15,1.153
2020-09-15,1.148,1.146,1.15
2020-09-16,1.144,1.142,1.146
2020-09-17,1.14,1.139,1.142
2020-09-18,1.138,1.136,1.139
2020-09-19,1.134,1.132,1.135
2020-09-20,1.132,1.13,1.133
2020-09-21,1.129,1.127,1.13
2020-09-22,1.126,1.124,1.127
2020-09-23,1.122,1.121,1.124
2020-09-24,1.119,1.118,1.121
2020-09-25,1.117,1.115,1.118
2020-09-26,1.114,1.113,1.116
2020-09-27,1.112,1.11,1.113
2020-09-28,1.109,1.108,1.111
2020-09-29,1.107,1.106,1.109
2020-09-30,1.105,1.104,1.106
2020-10-01,1.103,1.101,1.104
2020-10-02,1.101,1.099,1.102
2020-10-03,1.099,1.098,1.1
2020-10-04,1.098,1.096,1.099
2020-10-05,1.096,1.095,1.097
2020-10-06,1.094,1.093,1.096
