"data","R0","LB","UB"
2020-03-20,14.921,0.816,136.607
2020-03-21,12.953,3.246,47.319
2020-03-22,6.039,2.014,15.366
2020-03-23,2.763,0.867,6.454
2020-03-24,2.477,1.007,4.999
2020-03-25,2.562,1.311,4.51
2020-03-26,1.783,0.91,3.066
2020-03-27,1.27,0.62,2.192
2020-03-28,1.069,0.53,1.809
2020-03-29,1.108,0.616,1.757
2020-03-30,0.989,0.561,1.541
2020-03-31,0.91,0.529,1.391
2020-04-01,0.796,0.457,1.217
2020-04-02,0.769,0.457,1.151
2020-04-03,0.949,0.642,1.316
2020-04-04,0.991,0.702,1.33
2020-04-05,1.223,0.94,1.553
2020-04-06,1.204,0.943,1.505
2020-04-07,1.108,0.87,1.379
2020-04-08,1.107,0.885,1.359
2020-04-09,1.083,0.876,1.316
2020-04-10,1.428,1.219,1.666
2020-04-11,1.442,1.247,1.663
2020-04-12,1.356,1.178,1.555
2020-04-13,1.286,1.122,1.467
2020-04-14,1.263,1.11,1.432
2020-04-15,1.243,1.099,1.401
2020-04-16,1.185,1.051,1.331
2020-04-17,1.175,1.048,1.313
2020-04-18,1.166,1.045,1.296
2020-04-19,1.123,1.009,1.245
2020-04-20,1.094,0.986,1.21
2020-04-21,1.062,0.958,1.172
2020-04-22,1.041,0.941,1.146
2020-04-23,1.038,0.942,1.139
2020-04-24,1.035,0.944,1.132
2020-04-25,1.026,0.938,1.119
2020-04-26,1.011,0.926,1.101
2020-04-27,0.998,0.916,1.084
2020-04-28,0.987,0.907,1.07
2020-04-29,1.449,1.366,1.539
2020-04-30,1.416,1.338,1.5
2020-05-01,1.437,1.362,1.518
2020-05-02,1.386,1.316,1.461
2020-05-03,1.376,1.31,1.448
2020-05-04,1.373,1.31,1.441
2020-05-05,1.358,1.297,1.422
2020-05-06,1.353,1.295,1.414
2020-05-07,1.345,1.29,1.404
2020-05-08,1.318,1.266,1.374
2020-05-09,1.289,1.24,1.342
2020-05-10,1.267,1.219,1.316
2020-05-11,1.245,1.2,1.292
2020-05-12,1.225,1.182,1.27
2020-05-13,1.206,1.164,1.249
2020-05-14,1.185,1.145,1.227
2020-05-15,1.208,1.169,1.249
2020-05-16,1.192,1.155,1.231
2020-05-17,1.174,1.138,1.212
2020-05-18,1.16,1.125,1.196
2020-05-19,1.148,1.114,1.183
2020-05-20,1.143,1.11,1.177
2020-05-21,1.131,1.099,1.164
2020-05-22,1.118,1.087,1.15
2020-05-23,1.123,1.093,1.154
2020-05-24,1.118,1.089,1.148
2020-05-25,1.107,1.079,1.137
2020-05-26,1.097,1.069,1.125
2020-05-27,1.087,1.059,1.115
2020-05-28,1.092,1.066,1.12
2020-05-29,1.094,1.068,1.12
2020-05-30,1.12,1.095,1.146
2020-05-31,1.11,1.085,1.135
2020-06-01,1.112,1.088,1.136
2020-06-02,1.107,1.083,1.131
2020-06-03,1.101,1.078,1.125
2020-06-04,1.096,1.073,1.119
2020-06-05,1.103,1.08,1.125
2020-06-06,1.104,1.083,1.126
2020-06-07,1.108,1.087,1.129
2020-06-08,1.103,1.082,1.124
2020-06-09,1.1,1.08,1.12
2020-06-10,1.095,1.076,1.116
2020-06-11,1.109,1.09,1.129
2020-06-12,1.108,1.09,1.128
2020-06-13,1.104,1.086,1.123
2020-06-14,1.099,1.081,1.118
2020-06-15,1.092,1.074,1.11
2020-06-16,1.098,1.08,1.115
2020-06-17,1.101,1.084,1.118
2020-06-18,1.119,1.103,1.137
2020-06-19,1.122,1.105,1.139
2020-06-20,1.129,1.113,1.145
2020-06-21,1.14,1.124,1.156
2020-06-22,1.135,1.119,1.15
2020-06-23,1.131,1.116,1.146
2020-06-24,1.138,1.123,1.153
2020-06-25,1.143,1.128,1.158
2020-06-26,1.149,1.135,1.164
2020-06-27,1.155,1.141,1.169
2020-06-28,1.158,1.144,1.172
2020-06-29,1.162,1.148,1.176
2020-06-30,1.158,1.145,1.172
2020-07-01,1.164,1.151,1.177
2020-07-02,1.172,1.159,1.185
2020-07-03,1.184,1.172,1.197
2020-07-04,1.19,1.177,1.203
2020-07-05,1.197,1.185,1.21
2020-07-06,1.198,1.186,1.21
2020-07-07,1.195,1.184,1.208
2020-07-08,1.198,1.186,1.209
2020-07-09,1.209,1.198,1.221
