"data","R0","LB","UB"
2020-03-24,4.601,0,37.267
2020-03-25,0.183,0,5.156
2020-03-26,0.511,0,4.04
2020-03-27,1.076,0.03,3.988
2020-03-28,0.447,0.003,2.105
2020-03-29,0.869,0.104,2.415
2020-03-30,0.721,0.102,1.898
2020-03-31,0.81,0.2,1.822
2020-04-01,1.374,0.67,2.387
2020-04-02,1.354,0.735,2.205
2020-04-03,1.074,0.569,1.751
2020-04-04,1.047,0.593,1.637
2020-04-05,1.221,0.786,1.771
2020-04-06,1.107,0.723,1.581
2020-04-07,2.062,1.613,2.617
2020-04-08,2.004,1.609,2.482
2020-04-09,1.81,1.474,2.208
2020-04-10,1.816,1.512,2.173
2020-04-11,1.652,1.389,1.956
2020-04-12,1.479,1.249,1.74
2020-04-13,1.425,1.216,1.66
2020-04-14,1.352,1.162,1.564
2020-04-15,1.281,1.107,1.473
2020-04-16,1.223,1.063,1.4
2020-04-17,1.199,1.049,1.363
2020-04-18,1.189,1.048,1.342
2020-04-19,1.13,0.999,1.273
2020-04-20,1.138,1.013,1.272
2020-04-21,1.191,1.072,1.32
2020-04-22,1.209,1.095,1.33
2020-04-23,1.159,1.053,1.273
2020-04-24,1.17,1.069,1.278
2020-04-25,1.165,1.069,1.268
2020-04-26,1.127,1.035,1.224
2020-04-27,1.168,1.08,1.261
2020-04-28,1.407,1.318,1.503
2020-04-29,1.48,1.393,1.573
2020-04-30,1.49,1.407,1.579
2020-05-01,1.556,1.476,1.643
2020-05-02,1.483,1.409,1.561
2020-05-03,1.484,1.414,1.558
2020-05-04,1.455,1.389,1.524
2020-05-05,1.445,1.383,1.51
2020-05-06,1.405,1.348,1.466
2020-05-07,1.395,1.34,1.452
2020-05-08,1.392,1.34,1.447
2020-05-09,1.354,1.305,1.405
2020-05-10,1.33,1.284,1.379
2020-05-11,1.31,1.265,1.356
2020-05-12,1.284,1.242,1.328
2020-05-13,1.333,1.292,1.376
2020-05-14,1.319,1.28,1.36
2020-05-15,1.321,1.284,1.361
2020-05-16,1.326,1.29,1.364
2020-05-17,1.299,1.264,1.335
2020-05-18,1.273,1.24,1.307
2020-05-19,1.294,1.262,1.327
2020-05-20,1.279,1.248,1.31
2020-05-21,1.255,1.226,1.285
2020-05-22,1.236,1.208,1.265
2020-05-23,1.284,1.256,1.313
2020-05-24,1.26,1.233,1.287
2020-05-25,1.24,1.215,1.266
2020-05-26,1.22,1.196,1.245
2020-05-27,1.202,1.178,1.226
2020-05-28,1.19,1.167,1.213
2020-05-29,1.209,1.186,1.231
2020-05-30,1.216,1.194,1.238
2020-05-31,1.199,1.178,1.22
2020-06-01,1.196,1.176,1.217
2020-06-02,1.203,1.184,1.224
2020-06-03,1.188,1.169,1.208
2020-06-04,1.176,1.158,1.195
2020-06-05,1.177,1.159,1.195
2020-06-06,1.171,1.154,1.189
2020-06-07,1.169,1.152,1.186
2020-06-08,1.159,1.142,1.175
2020-06-09,1.151,1.135,1.167
2020-06-10,1.154,1.138,1.17
2020-06-11,1.157,1.142,1.173
2020-06-12,1.152,1.137,1.167
2020-06-13,1.142,1.127,1.157
2020-06-14,1.132,1.118,1.147
2020-06-15,1.123,1.11,1.137
2020-06-16,1.118,1.105,1.132
2020-06-17,1.117,1.104,1.131
2020-06-18,1.119,1.106,1.132
2020-06-19,1.128,1.115,1.141
2020-06-20,1.136,1.123,1.148
2020-06-21,1.139,1.127,1.151
2020-06-22,1.131,1.119,1.143
2020-06-23,1.126,1.115,1.138
2020-06-24,1.13,1.119,1.142
2020-06-25,1.164,1.153,1.176
2020-06-26,1.179,1.168,1.19
2020-06-27,1.199,1.187,1.21
2020-06-28,1.202,1.192,1.213
2020-06-29,1.197,1.187,1.208
2020-06-30,1.195,1.185,1.206
2020-07-01,1.204,1.194,1.215
2020-07-02,1.211,1.201,1.221
2020-07-03,1.232,1.222,1.242
2020-07-04,1.243,1.233,1.253
2020-07-05,1.254,1.244,1.264
2020-07-06,1.244,1.235,1.254
2020-07-07,1.237,1.228,1.246
2020-07-08,1.238,1.229,1.247
2020-07-09,1.243,1.234,1.252
2020-07-10,1.249,1.241,1.258
2020-07-11,1.253,1.244,1.261
2020-07-12,1.253,1.244,1.261
2020-07-13,1.247,1.239,1.255
2020-07-14,1.243,1.235,1.251
2020-07-15,1.245,1.237,1.253
2020-07-16,1.248,1.24,1.255
2020-07-17,1.249,1.241,1.256
2020-07-18,1.248,1.241,1.255
2020-07-19,1.243,1.236,1.25
2020-07-20,1.232,1.226,1.239
2020-07-21,1.225,1.218,1.231
2020-07-22,1.227,1.221,1.234
2020-07-23,1.242,1.236,1.248
2020-07-24,1.247,1.241,1.253
2020-07-25,1.252,1.246,1.258
2020-07-26,1.251,1.245,1.257
2020-07-27,1.244,1.238,1.25
2020-07-28,1.238,1.233,1.244
2020-07-29,1.243,1.238,1.249
2020-07-30,1.247,1.242,1.253
2020-07-31,1.256,1.251,1.261
2020-08-01,1.244,1.239,1.249
2020-08-02,1.253,1.248,1.258
2020-08-03,1.244,1.239,1.249
2020-08-04,1.234,1.23,1.239
2020-08-05,1.237,1.233,1.242
2020-08-06,1.235,1.23,1.239
2020-08-07,1.236,1.232,1.24
2020-08-08,1.231,1.227,1.235
2020-08-09,1.227,1.223,1.232
2020-08-10,1.22,1.216,1.224
