"data","R0","LB","UB"
2020-04-17,10.283,1.966,86.621
2020-04-18,4.811,1.205,22.303
2020-04-19,5.394,1.877,18.194
2020-04-20,4.163,1.723,11.075
2020-04-21,3.912,1.876,8.804
2020-04-22,2.873,1.475,5.779
2020-04-23,2.312,1.235,4.339
2020-04-24,2.803,1.681,4.837
2020-04-25,2.298,1.429,3.755
2020-04-26,2.378,1.567,3.682
2020-04-27,2.573,1.789,3.792
2020-04-28,2.517,1.821,3.555
2020-04-29,2.422,1.811,3.298
2020-04-30,2.314,1.78,3.056
2020-05-01,2.431,1.921,3.121
2020-05-02,2.111,1.701,2.648
2020-05-03,2.201,1.81,2.705
2020-05-04,2.166,1.813,2.613
2020-05-05,1.96,1.662,2.328
2020-05-06,1.826,1.566,2.142
2020-05-07,1.721,1.489,1.998
2020-05-08,1.621,1.413,1.866
2020-05-09,1.569,1.377,1.792
2020-05-10,1.549,1.37,1.756
2020-05-11,1.481,1.317,1.669
2020-05-12,1.424,1.273,1.597
2020-05-13,1.366,1.225,1.525
2020-05-14,1.315,1.183,1.463
2020-05-15,1.339,1.211,1.48
2020-05-16,1.32,1.2,1.454
2020-05-17,1.279,1.165,1.404
2020-05-18,1.25,1.142,1.369
2020-05-19,1.233,1.13,1.346
2020-05-20,1.21,1.111,1.317
2020-05-21,1.182,1.088,1.285
2020-05-22,1.165,1.074,1.262
2020-05-23,1.175,1.087,1.269
2020-05-24,1.189,1.104,1.28
2020-05-25,1.166,1.084,1.253
2020-05-26,1.162,1.083,1.246
2020-05-27,1.141,1.066,1.222
2020-05-28,1.134,1.06,1.212
2020-05-29,1.142,1.07,1.217
2020-05-30,1.143,1.074,1.216
2020-05-31,1.14,1.073,1.211
2020-06-01,1.123,1.059,1.192
2020-06-02,1.134,1.071,1.2
2020-06-03,1.126,1.066,1.191
2020-06-04,1.116,1.057,1.178
2020-06-05,1.146,1.088,1.207
2020-06-06,1.131,1.075,1.19
2020-06-07,1.121,1.067,1.178
2020-06-08,1.14,1.087,1.195
2020-06-09,1.135,1.084,1.189
2020-06-10,1.147,1.097,1.2
2020-06-11,1.137,1.088,1.188
2020-06-12,1.137,1.09,1.187
2020-06-13,1.138,1.091,1.186
2020-06-14,1.137,1.093,1.185
2020-06-15,1.144,1.1,1.19
2020-06-16,1.145,1.102,1.189
2020-06-17,1.145,1.104,1.189
2020-06-18,1.142,1.101,1.184
2020-06-19,1.157,1.117,1.198
2020-06-20,1.161,1.122,1.201
2020-06-21,1.196,1.158,1.237
2020-06-22,1.227,1.189,1.267
2020-06-23,1.251,1.214,1.291
2020-06-24,1.277,1.24,1.316
2020-06-25,1.276,1.24,1.314
2020-06-26,1.284,1.249,1.322
2020-06-27,1.305,1.27,1.342
2020-06-28,1.29,1.257,1.325
2020-06-29,1.286,1.254,1.32
2020-06-30,1.286,1.255,1.319
2020-07-01,1.294,1.263,1.326
2020-07-02,1.296,1.266,1.328
2020-07-03,1.303,1.274,1.334
2020-07-04,1.316,1.288,1.347
2020-07-05,1.346,1.317,1.376
2020-07-06,1.348,1.32,1.377
2020-07-07,1.351,1.323,1.379
2020-07-08,1.354,1.327,1.381
2020-07-09,1.357,1.332,1.384
2020-07-10,1.347,1.322,1.372
2020-07-11,1.335,1.311,1.36
2020-07-12,1.345,1.322,1.369
2020-07-13,1.33,1.307,1.353
2020-07-14,1.311,1.29,1.332
2020-07-15,1.311,1.29,1.332
2020-07-16,1.304,1.284,1.324
2020-07-17,1.293,1.274,1.313
2020-07-18,1.306,1.287,1.325
2020-07-19,1.3,1.281,1.318
2020-07-20,1.288,1.271,1.306
2020-07-21,1.29,1.273,1.307
2020-07-22,1.291,1.275,1.309
2020-07-23,1.283,1.267,1.3
2020-07-24,1.287,1.271,1.303
2020-07-25,1.284,1.269,1.3
2020-07-26,1.284,1.269,1.299
2020-07-27,1.271,1.257,1.286
2020-07-28,1.28,1.266,1.295
2020-07-29,1.279,1.265,1.293
2020-07-30,1.282,1.269,1.296
2020-07-31,1.297,1.284,1.31
2020-08-01,1.281,1.268,1.294
2020-08-02,1.282,1.269,1.294
2020-08-03,1.272,1.26,1.284
2020-08-04,1.259,1.248,1.271
2020-08-05,1.263,1.252,1.274
2020-08-06,1.277,1.266,1.289
2020-08-07,1.278,1.267,1.289
2020-08-08,1.281,1.27,1.292
2020-08-09,1.275,1.265,1.286
2020-08-10,1.269,1.259,1.279
2020-08-11,1.26,1.25,1.27
2020-08-12,1.255,1.246,1.265
2020-08-13,1.247,1.238,1.257
2020-08-14,1.249,1.241,1.258
2020-08-15,1.246,1.237,1.255
2020-08-16,1.239,1.23,1.247
2020-08-17,1.231,1.222,1.239
