"data","R0","LB","UB"
2020-03-25,1,0,39.308
2020-03-26,0.081,0,11.964
2020-03-27,3.183,0.025,18.72
2020-03-28,1.389,0.001,8.087
2020-03-29,1.626,0.042,6.646
2020-03-30,1,0.011,4.183
2020-03-31,0.684,0.004,2.981
2020-04-01,0.504,0.002,2.297
2020-04-02,0.394,0.001,1.869
2020-04-03,0.323,0.001,1.582
2020-04-04,0.678,0.054,1.952
2020-04-05,0.587,0.042,1.693
2020-04-06,0.835,0.188,1.904
2020-04-07,0.745,0.162,1.687
2020-04-08,0.678,0.142,1.523
2020-04-09,0.625,0.128,1.396
2020-04-10,0.584,0.117,1.295
2020-04-11,0.551,0.109,1.214
2020-04-12,0.524,0.102,1.147
2020-04-13,0.502,0.097,1.092
2020-04-14,0.484,0.093,1.045
2020-04-15,0.469,0.09,1.006
2020-04-16,0.457,0.087,0.972
2020-04-17,0.666,0.268,1.157
2020-04-18,0.646,0.261,1.117
2020-04-19,0.63,0.254,1.081
2020-04-20,0.615,0.249,1.05
2020-04-21,0.603,0.244,1.023
2020-04-22,0.592,0.24,0.999
2020-04-23,0.583,0.236,0.978
2020-04-24,0.574,0.233,0.959
2020-04-25,0.567,0.23,0.942
2020-04-26,1.089,0.8,1.438
2020-04-27,1.593,1.284,1.996
2020-04-28,1.684,1.381,2.078
2020-04-29,1.968,1.641,2.396
2020-04-30,1.811,1.529,2.171
2020-05-01,2.06,1.759,2.443
2020-05-02,1.883,1.628,2.201
2020-05-03,2.555,2.219,2.969
2020-05-04,2.965,2.603,3.399
2020-05-05,2.642,2.359,2.977
2020-05-06,2.505,2.264,2.785
2020-05-07,2.228,2.037,2.447
2020-05-08,2.169,1.999,2.363
2020-05-09,2.132,1.977,2.305
2020-05-10,2.128,1.986,2.287
2020-05-11,2.004,1.881,2.14
2020-05-12,1.948,1.838,2.07
2020-05-13,1.859,1.762,1.966
2020-05-14,1.759,1.674,1.852
2020-05-15,1.828,1.743,1.919
2020-05-16,1.766,1.69,1.848
2020-05-17,1.73,1.66,1.805
2020-05-18,1.681,1.617,1.749
2020-05-19,1.715,1.653,1.782
2020-05-20,1.661,1.605,1.721
2020-05-21,1.597,1.546,1.651
2020-05-22,1.56,1.513,1.61
2020-05-23,1.524,1.48,1.57
2020-05-24,1.518,1.476,1.562
2020-05-25,1.478,1.44,1.519
2020-05-26,1.481,1.444,1.519
