"data","R0","LB","UB"
2020-04-07,9.526,0,623.616
2020-04-08,3.717,0,78.947
2020-04-09,2.089,0,30.686
2020-04-10,1.378,0,17.061
2020-04-11,3.423,0.228,21.12
2020-04-12,3.88,0.734,16.954
2020-04-13,2.625,0.478,9.619
2020-04-14,1.981,0.337,6.571
2020-04-15,1.596,0.252,4.959
2020-04-16,1.342,0.198,3.982
2020-04-17,1.165,0.161,3.336
2020-04-18,1.036,0.136,2.882
2020-04-19,0.938,0.117,2.547
2020-04-20,1.703,0.728,3.547
2020-04-21,1.508,0.65,3.031
2020-04-22,1.363,0.591,2.662
2020-04-23,1.25,0.545,2.386
2020-04-24,1.161,0.508,2.172
2020-04-25,1.09,0.477,2.003
2020-04-26,1.031,0.453,1.865
2020-04-27,1.199,0.64,2.015
2020-04-28,1.136,0.61,1.881
2020-04-29,1.083,0.585,1.769
2020-04-30,1.038,0.563,1.676
2020-05-01,1.529,1.045,2.241
2020-05-02,1.437,0.992,2.07
2020-05-03,1.542,1.11,2.159
2020-05-04,1.454,1.057,2.005
2020-05-05,1.381,1.013,1.879
2020-05-06,1.32,0.975,1.776
2020-05-07,1.575,1.222,2.059
2020-05-08,1.593,1.256,2.048
2020-05-09,1.508,1.201,1.915
2020-05-10,1.523,1.23,1.907
2020-05-11,1.452,1.182,1.8
2020-05-12,1.429,1.174,1.754
2020-05-13,1.375,1.136,1.673
2020-05-14,1.359,1.133,1.64
2020-05-15,1.483,1.256,1.769
2020-05-16,1.426,1.215,1.686
2020-05-17,1.677,1.447,1.965
2020-05-18,1.609,1.401,1.869
2020-05-19,1.587,1.391,1.827
2020-05-20,1.549,1.367,1.77
2020-05-21,1.664,1.478,1.89
2020-05-22,1.62,1.449,1.827
2020-05-23,1.625,1.461,1.821
2020-05-24,1.583,1.432,1.762
2020-05-25,1.591,1.446,1.761
2020-05-26,1.583,1.445,1.743
2020-05-27,1.579,1.448,1.73
2020-05-28,1.517,1.398,1.654
2020-05-29,1.477,1.366,1.604
2020-05-30,1.765,1.634,1.916
2020-05-31,1.806,1.679,1.952
2020-06-01,1.802,1.682,1.938
2020-06-02,1.739,1.63,1.86
2020-06-03,1.674,1.577,1.783
2020-06-04,1.824,1.72,1.939
2020-06-05,1.719,1.628,1.818
2020-06-06,1.652,1.571,1.742
2020-06-07,1.589,1.515,1.669
2020-06-08,1.561,1.493,1.636
2020-06-09,1.519,1.457,1.588
2020-06-10,1.49,1.431,1.554
2020-06-11,1.453,1.398,1.512
2020-06-12,1.429,1.378,1.484
2020-06-13,1.398,1.35,1.45
2020-06-14,1.376,1.33,1.424
2020-06-15,1.352,1.309,1.398
2020-06-16,1.327,1.286,1.37
2020-06-17,1.303,1.264,1.344
2020-06-18,1.309,1.271,1.349
2020-06-19,1.287,1.251,1.326
2020-06-20,1.279,1.244,1.315
2020-06-21,1.272,1.238,1.307
2020-06-22,1.275,1.242,1.31
2020-06-23,1.265,1.233,1.298
2020-06-24,1.262,1.231,1.294
2020-06-25,1.257,1.227,1.288
2020-06-26,1.257,1.228,1.287
2020-06-27,1.247,1.219,1.276
2020-06-28,1.246,1.219,1.275
2020-06-29,1.243,1.217,1.27
2020-06-30,1.244,1.219,1.271
2020-07-01,1.235,1.211,1.261
2020-07-02,1.225,1.201,1.25
2020-07-03,1.22,1.197,1.244
2020-07-04,1.215,1.192,1.239
2020-07-05,1.213,1.191,1.236
2020-07-06,1.212,1.19,1.234
2020-07-07,1.214,1.193,1.236
2020-07-08,1.207,1.186,1.228
2020-07-09,1.197,1.177,1.217
2020-07-10,1.196,1.177,1.216
2020-07-11,1.193,1.175,1.213
2020-07-12,1.189,1.17,1.208
2020-07-13,1.182,1.165,1.201
2020-07-14,1.184,1.167,1.202
2020-07-15,1.18,1.163,1.197
2020-07-16,1.175,1.159,1.192
2020-07-17,1.175,1.159,1.192
2020-07-18,1.181,1.165,1.197
2020-07-19,1.178,1.163,1.195
2020-07-20,1.178,1.163,1.194
2020-07-21,1.173,1.158,1.189
2020-07-22,1.168,1.153,1.183
2020-07-23,1.163,1.149,1.178
2020-07-24,1.17,1.156,1.184
2020-07-25,1.171,1.157,1.185
2020-07-26,1.173,1.16,1.187
2020-07-27,1.182,1.168,1.196
2020-07-28,1.179,1.166,1.192
2020-07-29,1.173,1.161,1.187
2020-07-30,1.17,1.158,1.183
2020-07-31,1.179,1.167,1.192
2020-08-01,1.178,1.166,1.19
2020-08-02,1.184,1.172,1.196
2020-08-03,1.176,1.164,1.188
2020-08-04,1.176,1.164,1.187
2020-08-05,1.171,1.16,1.183
2020-08-06,1.166,1.155,1.177
2020-08-07,1.167,1.156,1.178
2020-08-08,1.168,1.158,1.179
2020-08-09,1.167,1.157,1.178
2020-08-10,1.165,1.155,1.175
2020-08-11,1.165,1.155,1.175
2020-08-12,1.16,1.15,1.17
2020-08-13,1.156,1.146,1.165
2020-08-14,1.153,1.144,1.162
2020-08-15,1.152,1.143,1.161
2020-08-16,1.15,1.141,1.159
2020-08-17,1.149,1.141,1.158
2020-08-18,1.146,1.137,1.154
2020-08-19,1.142,1.133,1.15
2020-08-20,1.138,1.13,1.147
2020-08-21,1.137,1.129,1.145
2020-08-22,1.137,1.129,1.145
2020-08-23,1.134,1.127,1.142
2020-08-24,1.131,1.123,1.139
2020-08-25,1.128,1.12,1.136
2020-08-26,1.124,1.117,1.132
2020-08-27,1.121,1.114,1.129
2020-08-28,1.118,1.111,1.125
2020-08-29,1.116,1.109,1.123
2020-08-30,1.113,1.106,1.12
2020-08-31,1.111,1.105,1.118
2020-09-01,1.109,1.102,1.115
2020-09-02,1.105,1.099,1.112
2020-09-03,1.133,1.126,1.139
2020-09-04,1.129,1.122,1.135
2020-09-05,1.126,1.119,1.132
2020-09-06,1.123,1.117,1.129
2020-09-07,1.122,1.116,1.128
2020-09-08,1.119,1.113,1.125
2020-09-09,1.116,1.11,1.122
2020-09-10,1.113,1.107,1.119
2020-09-11,1.11,1.104,1.116
2020-09-12,1.109,1.103,1.115
2020-09-13,1.106,1.101,1.112
2020-09-14,1.104,1.098,1.109
2020-09-15,1.102,1.097,1.108
2020-09-16,1.101,1.096,1.106
2020-09-17,1.099,1.094,1.104
2020-09-18,1.098,1.092,1.103
2020-09-19,1.095,1.089,1.1
2020-09-20,1.098,1.093,1.103
2020-09-21,1.097,1.092,1.102
2020-09-22,1.095,1.09,1.1
2020-09-23,1.093,1.088,1.098
2020-09-24,1.091,1.087,1.096
2020-09-25,1.09,1.085,1.095
2020-09-26,1.089,1.084,1.093
2020-09-27,1.087,1.083,1.092
2020-09-28,1.086,1.081,1.091
2020-09-29,1.084,1.08,1.089
2020-09-30,1.082,1.078,1.087
2020-10-01,1.08,1.076,1.085
2020-10-02,1.079,1.075,1.083
2020-10-03,1.077,1.073,1.082
2020-10-04,1.076,1.072,1.08
2020-10-05,1.075,1.07,1.079
2020-10-06,1.073,1.069,1.077
2020-10-07,1.072,1.068,1.076
2020-10-08,1.071,1.067,1.075
2020-10-09,1.07,1.066,1.074
2020-10-10,1.069,1.065,1.073
2020-10-11,1.069,1.065,1.073
2020-10-12,1.069,1.066,1.073
