"data","R0","LB","UB"
2020-04-08,16.719,2.578,228.326
2020-04-09,5.83,1.402,30.893
2020-04-10,4.838,1.53,17.888
2020-04-11,4.049,1.548,11.746
2020-04-12,5.158,2.414,12.253
2020-04-13,3.43,1.784,6.99
2020-04-14,2.638,1.449,4.925
2020-04-15,2.391,1.391,4.177
2020-04-16,2.201,1.344,3.644
2020-04-17,1.906,1.189,3.041
2020-04-18,1.826,1.182,2.809
2020-04-19,1.642,1.079,2.467
2020-04-20,1.503,0.999,2.216
2020-04-21,1.49,1.022,2.141
2020-04-22,1.474,1.037,2.07
2020-04-23,1.379,0.979,1.911
2020-04-24,1.301,0.93,1.783
2020-04-25,1.236,0.889,1.677
2020-04-26,1.182,0.855,1.59
2020-04-27,1.135,0.825,1.516
2020-04-28,1.095,0.8,1.452
2020-04-29,1.061,0.778,1.397
2020-04-30,1.03,0.758,1.35
2020-05-01,1.61,1.318,1.986
2020-05-02,1.521,1.255,1.856
2020-05-03,1.506,1.256,1.819
2020-05-04,1.437,1.206,1.721
2020-05-05,1.429,1.211,1.696
2020-05-06,1.397,1.191,1.645
2020-05-07,1.368,1.174,1.6
2020-05-08,1.363,1.178,1.582
2020-05-09,1.337,1.162,1.543
2020-05-10,1.296,1.131,1.489
2020-05-11,1.278,1.12,1.461
2020-05-12,1.245,1.095,1.417
2020-05-13,1.215,1.072,1.378
2020-05-14,1.189,1.051,1.344
2020-05-15,1.18,1.048,1.33
2020-05-16,1.158,1.03,1.301
2020-05-17,1.22,1.095,1.36
2020-05-18,1.232,1.112,1.368
2020-05-19,1.208,1.092,1.337
2020-05-20,1.186,1.074,1.31
2020-05-21,1.177,1.069,1.296
2020-05-22,1.178,1.074,1.294
2020-05-23,1.16,1.059,1.271
2020-05-24,1.143,1.045,1.249
2020-05-25,1.199,1.104,1.305
2020-05-26,1.205,1.113,1.307
2020-05-27,1.186,1.097,1.284
2020-05-28,1.177,1.09,1.271
2020-05-29,1.16,1.077,1.252
2020-05-30,1.194,1.112,1.283
2020-05-31,1.183,1.104,1.27
2020-06-01,1.21,1.132,1.295
2020-06-02,1.204,1.129,1.286
2020-06-03,1.219,1.146,1.299
2020-06-04,1.202,1.131,1.279
2020-06-05,1.186,1.118,1.261
2020-06-06,1.276,1.207,1.352
2020-06-07,1.347,1.276,1.425
2020-06-08,1.451,1.376,1.534
2020-06-09,1.447,1.376,1.527
2020-06-10,1.411,1.344,1.484
2020-06-11,1.378,1.316,1.447
2020-06-12,1.374,1.314,1.44
2020-06-13,1.377,1.319,1.441
2020-06-14,1.411,1.353,1.475
2020-06-15,1.383,1.329,1.443
2020-06-16,1.355,1.304,1.411
2020-06-17,1.33,1.281,1.383
2020-06-18,1.311,1.264,1.361
2020-06-19,1.29,1.246,1.338
2020-06-20,1.278,1.235,1.323
2020-06-21,1.26,1.219,1.304
2020-06-22,1.251,1.212,1.293
2020-06-23,1.255,1.217,1.296
2020-06-24,1.24,1.203,1.279
