"Local","data","R0","LB","UB","parametro"
"Alto Uruguai Catarinense","2020-09-27",1.023,1.019,1.026,"GRAVISSIMO"
"Alto Vale do Itajai","2020-09-27",1.115,1.111,1.119,"GRAVISSIMO"
"Alto Vale do Rio do Peixe","2020-09-27",1.127,1.122,1.131,"GRAVISSIMO"
"Carbonifera","2020-09-27",1.11,1.108,1.113,"GRAVISSIMO"
"Extremo Oeste","2020-09-27",1.09,1.085,1.094,"GRAVISSIMO"
"Extremo Sul Catarinense","2020-09-27",1.105,1.101,1.109,"GRAVISSIMO"
"Foz do Rio Itajai","2020-09-27",1.082,1.081,1.084,"GRAVISSIMO"
"Grande Florianopolis","2020-09-27",1.112,1.11,1.113,"GRAVISSIMO"
"Laguna","2020-09-27",1.11,1.107,1.112,"GRAVISSIMO"
"Medio Vale do Itajai","2020-09-27",1.092,1.091,1.094,"GRAVISSIMO"
"Meio Oeste","2020-09-27",1.112,1.109,1.116,"GRAVISSIMO"
"Nordeste","2020-09-27",1.118,1.117,1.12,"GRAVISSIMO"
"Oeste","2020-09-27",1.06,1.058,1.063,"GRAVISSIMO"
"Planalto Norte","2020-09-27",1.087,1.083,1.092,"GRAVISSIMO"
"Serra Catarinense","2020-09-27",1.125,1.121,1.13,"GRAVISSIMO"
"Xanxere","2020-09-27",1.064,1.061,1.067,"GRAVISSIMO"
