"data","R0","LB","UB"
2020-03-21,49.923,1.017,2432.443
2020-03-22,13.884,1.758,76.421
2020-03-23,2.403,0.033,11.097
2020-03-24,4.424,1.265,11.623
2020-03-25,3.32,1.226,7.288
2020-03-26,2.191,0.845,4.485
2020-03-27,1.323,0.444,2.755
2020-03-28,1.197,0.462,2.322
2020-03-29,0.875,0.307,1.729
2020-03-30,1.599,0.939,2.499
2020-03-31,1.783,1.173,2.587
2020-04-01,1.483,0.985,2.12
2020-04-02,1.287,0.864,1.815
2020-04-03,1.201,0.827,1.66
2020-04-04,1.096,0.763,1.496
2020-04-05,0.978,0.68,1.331
2020-04-06,0.967,0.69,1.289
2020-04-07,0.959,0.701,1.256
2020-04-08,0.888,0.65,1.159
2020-04-09,1.067,0.836,1.328
2020-04-10,1.094,0.877,1.339
2020-04-11,1.196,0.989,1.429
2020-04-12,1.157,0.965,1.372
2020-04-13,1.177,0.996,1.379
2020-04-14,1.303,1.129,1.498
2020-04-15,1.34,1.174,1.523
2020-04-16,1.286,1.133,1.455
2020-04-17,1.361,1.214,1.523
2020-04-18,1.459,1.317,1.616
2020-04-19,1.429,1.297,1.574
2020-04-20,1.493,1.366,1.632
2020-04-21,1.487,1.368,1.617
2020-04-22,1.507,1.395,1.631
2020-04-23,1.516,1.41,1.632
2020-04-24,1.493,1.393,1.601
2020-04-25,1.448,1.356,1.548
2020-04-26,1.467,1.379,1.562
2020-04-27,1.468,1.385,1.558
2020-04-28,1.467,1.388,1.552
2020-04-29,1.447,1.372,1.526
2020-04-30,1.475,1.404,1.552
2020-05-01,1.519,1.449,1.592
2020-05-02,1.603,1.534,1.676
2020-05-03,1.631,1.564,1.701
2020-05-04,1.696,1.631,1.765
2020-05-05,1.698,1.637,1.763
2020-05-06,1.7,1.642,1.761
2020-05-07,1.733,1.677,1.792
2020-05-08,1.7,1.648,1.754
2020-05-09,1.736,1.686,1.789
2020-05-10,1.75,1.702,1.799
2020-05-11,1.722,1.678,1.768
2020-05-12,1.64,1.601,1.681
2020-05-13,1.63,1.593,1.669
2020-05-14,1.605,1.571,1.641
2020-05-15,1.557,1.526,1.59
2020-05-16,1.516,1.487,1.546
2020-05-17,1.492,1.465,1.521
2020-05-18,1.485,1.459,1.512
2020-05-19,1.507,1.482,1.534
2020-05-20,1.523,1.499,1.549
2020-05-21,1.552,1.528,1.577
2020-05-22,1.559,1.536,1.583
2020-05-23,1.55,1.529,1.573
2020-05-24,1.59,1.568,1.612
2020-05-25,1.578,1.557,1.598
2020-05-26,1.57,1.551,1.59
2020-05-27,1.552,1.534,1.571
2020-05-28,1.557,1.539,1.575
2020-05-29,1.543,1.526,1.559
2020-05-30,1.517,1.501,1.532
2020-05-31,1.492,1.477,1.506
2020-06-01,1.462,1.448,1.475
2020-06-02,1.431,1.419,1.444
2020-06-03,1.407,1.396,1.419
2020-06-04,1.391,1.38,1.402
2020-06-05,1.385,1.374,1.396
2020-06-06,1.373,1.362,1.383
2020-06-07,1.36,1.35,1.37
2020-06-08,1.36,1.35,1.37
2020-06-09,1.342,1.333,1.351
2020-06-10,1.335,1.326,1.344
2020-06-11,1.326,1.318,1.334
2020-06-12,1.32,1.312,1.328
2020-06-13,1.307,1.3,1.315
2020-06-14,1.297,1.29,1.305
2020-06-15,1.282,1.275,1.29
2020-06-16,1.27,1.263,1.277
2020-06-17,1.262,1.255,1.268
2020-06-18,1.258,1.251,1.264
2020-06-19,1.253,1.247,1.259
2020-06-20,1.249,1.243,1.255
2020-06-21,1.243,1.237,1.248
2020-06-22,1.232,1.227,1.238
2020-06-23,1.224,1.218,1.229
2020-06-24,1.219,1.213,1.224
2020-06-25,1.212,1.207,1.218
2020-06-26,1.208,1.203,1.213
2020-06-27,1.205,1.201,1.21
2020-06-28,1.201,1.196,1.206
2020-06-29,1.194,1.189,1.198
2020-06-30,1.186,1.181,1.19
2020-07-01,1.179,1.174,1.183
2020-07-02,1.179,1.175,1.184
2020-07-03,1.177,1.173,1.181
2020-07-04,1.17,1.166,1.174
2020-07-05,1.169,1.165,1.173
2020-07-06,1.163,1.159,1.167
2020-07-07,1.156,1.153,1.16
2020-07-08,1.153,1.15,1.157
2020-07-09,1.15,1.146,1.154
2020-07-10,1.148,1.145,1.152
2020-07-11,1.146,1.143,1.15
2020-07-12,1.144,1.141,1.148
2020-07-13,1.14,1.136,1.143
2020-07-14,1.134,1.131,1.137
