"data","R0","LB","UB"
2020-03-21,19.045,3.946,147.453
2020-03-22,7.39,2.426,26.309
2020-03-23,4.049,1.53,10.983
2020-03-24,3.322,1.426,7.733
2020-03-25,3.212,1.583,6.595
2020-03-26,2.721,1.443,5.116
2020-03-27,2.177,1.186,3.88
2020-03-28,2.017,1.16,3.413
2020-03-29,2.04,1.257,3.268
2020-03-30,2.136,1.404,3.25
2020-03-31,1.847,1.236,2.734
2020-04-01,1.734,1.191,2.496
2020-04-02,1.562,1.085,2.21
2020-04-03,1.431,1.003,1.996
2020-04-04,1.656,1.232,2.22
2020-04-05,1.52,1.141,2.01
2020-04-06,1.658,1.29,2.135
2020-04-07,1.657,1.314,2.094
2020-04-08,1.644,1.326,2.045
2020-04-09,1.625,1.33,1.993
2020-04-10,1.517,1.251,1.843
2020-04-11,1.635,1.374,1.954
2020-04-12,1.599,1.358,1.89
2020-04-13,1.504,1.286,1.765
2020-04-14,1.608,1.393,1.864
2020-04-15,1.731,1.517,1.985
2020-04-16,1.764,1.56,2.004
2020-04-17,1.718,1.531,1.936
2020-04-18,1.824,1.639,2.039
2020-04-19,1.889,1.71,2.097
2020-04-20,1.952,1.779,2.151
2020-04-21,1.88,1.724,2.056
2020-04-22,1.964,1.812,2.137
2020-04-23,1.972,1.829,2.132
2020-04-24,2.153,2.006,2.317
2020-04-25,2.265,2.121,2.425
2020-04-26,2.292,2.158,2.439
2020-04-27,2.197,2.08,2.325
2020-04-28,2.158,2.053,2.273
2020-04-29,2.194,2.094,2.301
2020-04-30,2.252,2.157,2.353
2020-05-01,2.136,2.054,2.223
2020-05-02,2.135,2.06,2.215
2020-05-03,2.075,2.008,2.146
2020-05-04,1.957,1.899,2.017
2020-05-05,1.88,1.829,1.934
2020-05-06,1.797,1.752,1.845
2020-05-07,1.745,1.704,1.788
2020-05-08,1.728,1.69,1.768
2020-05-09,1.708,1.672,1.745
2020-05-10,1.674,1.641,1.708
2020-05-11,1.627,1.597,1.658
2020-05-12,1.585,1.557,1.613
2020-05-13,1.589,1.562,1.616
2020-05-14,1.573,1.548,1.598
2020-05-15,1.562,1.539,1.587
