"data","R0","LB","UB"
2020-03-21,70.313,2.981,3154.509
2020-03-22,12.347,1.737,60.094
2020-03-23,16.322,6.618,40.267
2020-03-24,5.771,2.735,11.221
2020-03-25,5.065,2.96,8.324
2020-03-26,3.178,1.961,4.896
2020-03-27,2.808,1.89,4.027
2020-03-28,2.53,1.815,3.438
2020-03-29,2.88,2.236,3.671
2020-03-30,2.806,2.274,3.442
2020-03-31,2.265,1.866,2.729
2020-04-01,2.143,1.808,2.526
2020-04-02,2.033,1.748,2.354
2020-04-03,1.967,1.721,2.242
2020-04-04,1.908,1.693,2.145
2020-04-05,1.976,1.78,2.19
2020-04-06,2.269,2.079,2.477
2020-04-07,2.403,2.227,2.594
2020-04-08,2.371,2.216,2.538
2020-04-09,2.463,2.321,2.615
2020-04-10,2.292,2.171,2.419
2020-04-11,2.125,2.024,2.233
2020-04-12,1.972,1.884,2.064
2020-04-13,1.964,1.885,2.047
2020-04-14,1.839,1.77,1.911
2020-04-15,1.871,1.807,1.938
2020-04-16,1.76,1.703,1.819
2020-04-17,1.739,1.687,1.793
2020-04-18,1.664,1.618,1.713
2020-04-19,1.601,1.558,1.644
2020-04-20,1.577,1.537,1.617
2020-04-21,1.537,1.501,1.575
2020-04-22,1.5,1.466,1.534
2020-04-23,1.504,1.472,1.536
2020-04-24,1.567,1.537,1.599
2020-04-25,1.576,1.547,1.606
2020-04-26,1.61,1.582,1.638
2020-04-27,1.571,1.545,1.597
2020-04-28,1.514,1.491,1.538
2020-04-29,1.527,1.505,1.55
2020-04-30,1.54,1.519,1.562
2020-05-01,1.543,1.523,1.564
2020-05-02,1.542,1.523,1.562
2020-05-03,1.52,1.502,1.538
2020-05-04,1.531,1.513,1.548
2020-05-05,1.535,1.518,1.551
2020-05-06,1.548,1.533,1.564
2020-05-07,1.582,1.567,1.597
2020-05-08,1.58,1.565,1.594
2020-05-09,1.557,1.544,1.571
2020-05-10,1.57,1.558,1.583
2020-05-11,1.546,1.534,1.558
2020-05-12,1.504,1.493,1.515
2020-05-13,1.512,1.501,1.523
2020-05-14,1.531,1.521,1.542
2020-05-15,1.53,1.521,1.54
2020-05-16,1.52,1.511,1.53
2020-05-17,1.511,1.502,1.519
2020-05-18,1.48,1.472,1.488
2020-05-19,1.451,1.443,1.459
2020-05-20,1.442,1.435,1.449
2020-05-21,1.44,1.433,1.447
2020-05-22,1.439,1.432,1.445
2020-05-23,1.435,1.428,1.441
2020-05-24,1.431,1.425,1.437
2020-05-25,1.413,1.407,1.419
2020-05-26,1.385,1.38,1.391
2020-05-27,1.38,1.375,1.386
2020-05-28,1.373,1.368,1.378
2020-05-29,1.38,1.376,1.385
2020-05-30,1.386,1.381,1.391
2020-05-31,1.376,1.371,1.38
2020-06-01,1.356,1.352,1.36
2020-06-02,1.333,1.329,1.338
2020-06-03,1.324,1.32,1.328
2020-06-04,1.312,1.308,1.316
2020-06-05,1.31,1.306,1.313
2020-06-06,1.298,1.295,1.302
2020-06-07,1.287,1.284,1.291
2020-06-08,1.272,1.269,1.275
2020-06-09,1.258,1.255,1.261
2020-06-10,1.252,1.249,1.255
2020-06-11,1.248,1.245,1.251
2020-06-12,1.24,1.237,1.243
2020-06-13,1.232,1.23,1.235
2020-06-14,1.224,1.221,1.226
2020-06-15,1.213,1.211,1.216
2020-06-16,1.202,1.2,1.205
2020-06-17,1.197,1.195,1.2
2020-06-18,1.194,1.192,1.197
2020-06-19,1.19,1.187,1.192
2020-06-20,1.184,1.182,1.186
2020-06-21,1.18,1.177,1.182
2020-06-22,1.172,1.17,1.174
2020-06-23,1.164,1.162,1.166
2020-06-24,1.161,1.159,1.163
2020-06-25,1.16,1.158,1.162
2020-06-26,1.154,1.152,1.156
2020-06-27,1.15,1.148,1.151
2020-06-28,1.145,1.143,1.147
2020-06-29,1.14,1.138,1.142
2020-06-30,1.133,1.132,1.135
2020-07-01,1.13,1.128,1.132
2020-07-02,1.129,1.127,1.131
2020-07-03,1.127,1.125,1.128
2020-07-04,1.124,1.122,1.126
2020-07-05,1.121,1.12,1.123
2020-07-06,1.117,1.115,1.118
