"data","R0","LB","UB"
2020-03-12,1,0,23.105
2020-03-13,0.254,0,9.759
2020-03-14,6.305,1.214,24.991
2020-03-15,2.835,0.415,9.593
2020-03-16,2.91,0.787,7.793
2020-03-17,2.282,0.7,5.481
2020-03-18,2.877,1.31,5.732
2020-03-19,4.852,2.924,8.111
2020-03-20,3.628,2.345,5.589
2020-03-21,2.854,1.929,4.175
2020-03-22,2.696,1.923,3.751
2020-03-23,2.902,2.193,3.84
2020-03-24,2.607,2.033,3.339
2020-03-25,2.637,2.128,3.271
2020-03-26,2.457,2.03,2.976
2020-03-27,2.396,2.023,2.841
2020-03-28,2.268,1.948,2.644
2020-03-29,1.998,1.734,2.302
2020-03-30,2.096,1.849,2.379
2020-03-31,2.032,1.812,2.28
2020-04-01,2.127,1.921,2.359
2020-04-02,2.069,1.885,2.274
2020-04-03,1.96,1.798,2.137
2020-04-04,1.876,1.733,2.033
2020-04-05,1.897,1.764,2.042
2020-04-06,1.955,1.829,2.091
2020-04-07,1.883,1.771,2.004
2020-04-08,1.79,1.691,1.897
2020-04-09,1.777,1.685,1.875
2020-04-10,1.754,1.669,1.844
2020-04-11,1.716,1.639,1.799
2020-04-12,1.642,1.572,1.716
2020-04-13,1.594,1.53,1.662
2020-04-14,1.572,1.512,1.634
2020-04-15,1.553,1.497,1.611
2020-04-16,1.589,1.536,1.645
2020-04-17,1.586,1.536,1.639
2020-04-18,1.588,1.541,1.638
2020-04-19,1.612,1.566,1.659
2020-04-20,1.565,1.523,1.609
2020-04-21,1.572,1.532,1.613
2020-04-22,1.57,1.532,1.609
2020-04-23,1.57,1.534,1.607
2020-04-24,1.589,1.555,1.625
2020-04-25,1.572,1.54,1.605
2020-04-26,1.555,1.525,1.586
2020-04-27,1.535,1.507,1.564
2020-04-28,1.508,1.482,1.535
2020-04-29,1.51,1.485,1.536
2020-04-30,1.484,1.461,1.509
2020-05-01,1.479,1.456,1.502
2020-05-02,1.488,1.466,1.51
2020-05-03,1.473,1.452,1.493
2020-05-04,1.471,1.451,1.491
2020-05-05,1.453,1.434,1.471
2020-05-06,1.456,1.438,1.474
2020-05-07,1.45,1.433,1.467
2020-05-08,1.437,1.421,1.454
2020-05-09,1.432,1.417,1.448
2020-05-10,1.433,1.419,1.448
2020-05-11,1.434,1.42,1.449
2020-05-12,1.42,1.406,1.433
2020-05-13,1.419,1.406,1.432
2020-05-14,1.411,1.399,1.424
2020-05-15,1.408,1.396,1.42
2020-05-16,1.456,1.445,1.469
2020-05-17,1.429,1.418,1.44
2020-05-18,1.401,1.391,1.412
2020-05-19,1.394,1.384,1.404
2020-05-20,1.474,1.463,1.484
2020-05-21,1.442,1.432,1.451
2020-05-22,1.438,1.429,1.448
2020-05-23,1.428,1.419,1.437
2020-05-24,1.411,1.402,1.419
2020-05-25,1.411,1.403,1.419
