"data","R0","LB","UB"
2020-03-13,7.57,0,595.852
2020-03-14,2.26,0,71.936
2020-03-15,28.997,5.84,213.743
2020-03-16,13.807,5.115,40.839
2020-03-17,7.423,3.557,15.664
2020-03-18,3.66,1.842,6.871
2020-03-19,5.172,3.227,8.312
2020-03-20,4.061,2.741,6.001
2020-03-21,6.264,4.693,8.439
2020-03-22,4.657,3.687,5.91
2020-03-23,3.38,2.76,4.143
2020-03-24,2.983,2.501,3.56
2020-03-25,2.707,2.318,3.161
2020-03-26,2.619,2.287,3.001
2020-03-27,2.196,1.937,2.489
2020-03-28,2.213,1.981,2.473
2020-03-29,2.027,1.83,2.244
2020-03-30,1.997,1.821,2.19
2020-03-31,1.828,1.677,1.992
2020-04-01,1.731,1.597,1.875
2020-04-02,1.713,1.591,1.844
2020-04-03,1.663,1.553,1.781
2020-04-04,1.584,1.485,1.689
2020-04-05,1.567,1.475,1.664
2020-04-06,1.487,1.404,1.574
2020-04-07,1.432,1.356,1.512
2020-04-08,1.388,1.318,1.462
2020-04-09,1.328,1.262,1.396
2020-04-10,1.299,1.238,1.362
2020-04-11,1.292,1.235,1.352
2020-04-12,1.295,1.241,1.352
2020-04-13,1.281,1.23,1.335
2020-04-14,1.264,1.216,1.315
2020-04-15,1.233,1.186,1.28
2020-04-16,1.237,1.193,1.282
2020-04-17,1.241,1.199,1.284
2020-04-18,1.233,1.193,1.274
2020-04-19,1.235,1.197,1.275
2020-04-20,1.256,1.219,1.294
2020-04-21,1.233,1.198,1.269
2020-04-22,1.23,1.196,1.264
2020-04-23,1.232,1.199,1.265
2020-04-24,1.207,1.177,1.239
2020-04-25,1.208,1.179,1.239
2020-04-26,1.187,1.158,1.215
2020-04-27,1.222,1.195,1.25
2020-04-28,1.229,1.203,1.256
2020-04-29,1.223,1.198,1.249
2020-04-30,1.236,1.211,1.261
2020-05-01,1.256,1.232,1.281
2020-05-02,1.276,1.253,1.3
2020-05-03,1.27,1.247,1.292
2020-05-04,1.281,1.26,1.303
2020-05-05,1.277,1.256,1.298
2020-05-06,1.264,1.244,1.284
2020-05-07,1.295,1.276,1.315
2020-05-08,1.32,1.301,1.34
2020-05-09,1.333,1.314,1.351
2020-05-10,1.331,1.313,1.349
2020-05-11,1.323,1.306,1.341
2020-05-12,1.317,1.301,1.334
2020-05-13,1.322,1.306,1.338
2020-05-14,1.329,1.314,1.345
2020-05-15,1.335,1.32,1.35
2020-05-16,1.358,1.344,1.373
2020-05-17,1.373,1.359,1.388
2020-05-18,1.37,1.356,1.384
2020-05-19,1.367,1.354,1.381
2020-05-20,1.362,1.349,1.375
2020-05-21,1.373,1.361,1.386
2020-05-22,1.368,1.356,1.38
2020-05-23,1.373,1.362,1.385
2020-05-24,1.368,1.357,1.379
2020-05-25,1.368,1.357,1.379
2020-05-26,1.36,1.35,1.37
2020-05-27,1.351,1.341,1.361
2020-05-28,1.358,1.349,1.368
2020-05-29,1.362,1.353,1.372
2020-05-30,1.358,1.349,1.367
2020-05-31,1.369,1.36,1.378
2020-06-01,1.356,1.348,1.365
2020-06-02,1.362,1.354,1.371
2020-06-03,1.367,1.359,1.375
2020-06-04,1.369,1.362,1.377
2020-06-05,1.375,1.367,1.382
2020-06-06,1.39,1.383,1.397
2020-06-07,1.411,1.404,1.419
2020-06-08,1.403,1.396,1.41
2020-06-09,1.382,1.376,1.389
2020-06-10,1.384,1.377,1.39
2020-06-11,1.388,1.382,1.394
2020-06-12,1.384,1.378,1.39
2020-06-13,1.376,1.37,1.381
2020-06-14,1.361,1.355,1.366
2020-06-15,1.353,1.348,1.359
2020-06-16,1.344,1.339,1.349
2020-06-17,1.35,1.345,1.355
2020-06-18,1.354,1.349,1.358
2020-06-19,1.35,1.346,1.355
2020-06-20,1.36,1.355,1.364
2020-06-21,1.353,1.349,1.358
2020-06-22,1.343,1.338,1.347
2020-06-23,1.332,1.328,1.336
2020-06-24,1.324,1.321,1.328
2020-06-25,1.324,1.32,1.328
2020-06-26,1.32,1.317,1.324
2020-06-27,1.323,1.32,1.327
2020-06-28,1.317,1.313,1.32
2020-06-29,1.315,1.312,1.319
2020-06-30,1.314,1.311,1.317
2020-07-01,1.311,1.308,1.314
2020-07-02,1.304,1.301,1.307
2020-07-03,1.297,1.294,1.3
2020-07-04,1.292,1.289,1.294
2020-07-05,1.286,1.284,1.289
2020-07-06,1.283,1.28,1.285
2020-07-07,1.282,1.279,1.284
2020-07-08,1.279,1.276,1.281
