"data","R0","LB","UB"
2020-03-14,9.88,0.009,627.631
2020-03-15,16.647,2.088,228.179
2020-03-16,5.483,0.832,30.48
2020-03-17,8.737,2.832,30.737
2020-03-18,4.285,1.586,11.346
2020-03-19,4.247,1.947,9.362
2020-03-20,3.507,1.799,6.817
2020-03-21,3.232,1.836,5.69
2020-03-22,4.09,2.626,6.506
2020-03-23,2.913,1.954,4.363
2020-03-24,2.914,2.07,4.133
2020-03-25,2.788,2.069,3.784
2020-03-26,2.26,1.712,2.985
2020-03-27,2.274,1.779,2.914
2020-03-28,2.16,1.729,2.703
2020-03-29,2.083,1.703,2.554
2020-03-30,2.1,1.752,2.524
2020-03-31,2.114,1.796,2.497
2020-04-01,2.071,1.785,2.409
2020-04-02,2.165,1.894,2.482
2020-04-03,2.137,1.893,2.42
2020-04-04,2.039,1.825,2.285
2020-04-05,1.944,1.754,2.159
2020-04-06,1.967,1.79,2.166
2020-04-07,1.881,1.724,2.056
2020-04-08,1.822,1.681,1.98
2020-04-09,1.895,1.759,2.045
2020-04-10,1.85,1.726,1.986
2020-04-11,1.879,1.762,2.006
2020-04-12,1.837,1.73,1.952
2020-04-13,1.827,1.728,1.933
2020-04-14,1.774,1.685,1.871
2020-04-15,1.846,1.759,1.939
2020-04-16,2.017,1.928,2.113
2020-04-17,2.139,2.051,2.233
2020-04-18,1.962,1.889,2.041
2020-04-19,1.967,1.898,2.04
2020-04-20,1.904,1.842,1.969
2020-04-21,1.784,1.73,1.84
2020-04-22,1.748,1.699,1.8
2020-04-23,1.674,1.629,1.72
2020-04-24,1.648,1.607,1.691
2020-04-25,1.678,1.639,1.719
2020-04-26,1.616,1.58,1.654
2020-04-27,1.59,1.556,1.625
2020-04-28,1.571,1.54,1.603
2020-04-29,1.584,1.554,1.615
2020-04-30,1.635,1.606,1.666
2020-05-01,1.605,1.577,1.633
2020-05-02,1.595,1.569,1.622
2020-05-03,1.574,1.55,1.599
2020-05-04,1.535,1.513,1.559
2020-05-05,1.509,1.488,1.53
2020-05-06,1.493,1.473,1.513
2020-05-07,1.474,1.455,1.493
2020-05-08,1.471,1.453,1.489
2020-05-09,1.463,1.446,1.481
2020-05-10,1.443,1.427,1.459
2020-05-11,1.426,1.411,1.442
2020-05-12,1.414,1.4,1.429
2020-05-13,1.407,1.393,1.421
2020-05-14,1.404,1.391,1.418
2020-05-15,1.408,1.395,1.421
2020-05-16,1.407,1.395,1.42
2020-05-17,1.405,1.393,1.417
2020-05-18,1.383,1.372,1.395
2020-05-19,1.382,1.371,1.393
2020-05-20,1.387,1.376,1.397
2020-05-21,1.405,1.394,1.415
2020-05-22,1.394,1.384,1.404
2020-05-23,1.397,1.388,1.407
2020-05-24,1.386,1.377,1.395
2020-05-25,1.361,1.352,1.37
2020-05-26,1.35,1.342,1.358
2020-05-27,1.347,1.339,1.355
2020-05-28,1.345,1.337,1.353
2020-05-29,1.347,1.339,1.354
2020-05-30,1.346,1.339,1.354
2020-05-31,1.339,1.333,1.346
2020-06-01,1.324,1.317,1.331
2020-06-02,1.32,1.313,1.326
2020-06-03,1.322,1.316,1.328
2020-06-04,1.326,1.32,1.332
2020-06-05,1.323,1.317,1.329
2020-06-06,1.33,1.324,1.335
2020-06-07,1.326,1.321,1.332
2020-06-08,1.319,1.313,1.324
2020-06-09,1.318,1.313,1.323
2020-06-10,1.322,1.317,1.327
2020-06-11,1.326,1.321,1.331
2020-06-12,1.322,1.317,1.327
2020-06-13,1.318,1.313,1.323
2020-06-14,1.306,1.301,1.31
2020-06-15,1.294,1.29,1.298
2020-06-16,1.292,1.288,1.296
2020-06-17,1.292,1.288,1.296
2020-06-18,1.293,1.289,1.296
2020-06-19,1.29,1.286,1.294
2020-06-20,1.289,1.285,1.292
2020-06-21,1.283,1.279,1.286
2020-06-22,1.273,1.27,1.276
2020-06-23,1.27,1.267,1.273
2020-06-24,1.261,1.258,1.264
2020-06-25,1.261,1.258,1.264
2020-06-26,1.263,1.26,1.266
2020-06-27,1.259,1.256,1.262
2020-06-28,1.245,1.242,1.248
2020-06-29,1.247,1.245,1.25
2020-06-30,1.244,1.242,1.247
2020-07-01,1.244,1.241,1.246
2020-07-02,1.244,1.241,1.246
2020-07-03,1.24,1.238,1.242
2020-07-04,1.237,1.234,1.239
2020-07-05,1.231,1.229,1.234
2020-07-06,1.223,1.221,1.226
2020-07-07,1.219,1.217,1.221
2020-07-08,1.219,1.217,1.221
2020-07-09,1.219,1.217,1.221
2020-07-10,1.214,1.212,1.217
2020-07-11,1.211,1.209,1.213
2020-07-12,1.206,1.204,1.208
2020-07-13,1.199,1.197,1.2
2020-07-14,1.194,1.192,1.196
2020-07-15,1.191,1.189,1.193
2020-07-16,1.187,1.185,1.189
2020-07-17,1.186,1.184,1.187
2020-07-18,1.183,1.181,1.184
2020-07-19,1.177,1.176,1.179
2020-07-20,1.172,1.17,1.173
2020-07-21,1.168,1.167,1.17
2020-07-22,1.165,1.163,1.166
2020-07-23,1.162,1.16,1.163
2020-07-24,1.158,1.157,1.159
2020-07-25,1.156,1.154,1.157
2020-07-26,1.152,1.15,1.153
2020-07-27,1.148,1.146,1.149
2020-07-28,1.145,1.144,1.146
2020-07-29,1.143,1.142,1.144
2020-07-30,1.141,1.139,1.142
2020-07-31,1.139,1.138,1.14
2020-08-01,1.137,1.136,1.138
2020-08-02,1.134,1.132,1.135
2020-08-03,1.13,1.129,1.131
2020-08-04,1.128,1.126,1.129
2020-08-05,1.125,1.124,1.126
2020-08-06,1.123,1.122,1.124
2020-08-07,1.122,1.121,1.123
2020-08-08,1.121,1.12,1.122
2020-08-09,1.119,1.118,1.12
2020-08-10,1.116,1.115,1.117
2020-08-11,1.115,1.114,1.116
2020-08-12,1.114,1.113,1.115
2020-08-13,1.113,1.112,1.114
2020-08-14,1.111,1.11,1.112
2020-08-15,1.11,1.109,1.111
2020-08-16,1.107,1.106,1.108
2020-08-17,1.105,1.104,1.106
2020-08-18,1.104,1.103,1.105
2020-08-19,1.103,1.102,1.104
2020-08-20,1.101,1.101,1.102
2020-08-21,1.1,1.099,1.101
2020-08-22,1.098,1.097,1.099
2020-08-23,1.096,1.095,1.097
2020-08-24,1.094,1.093,1.094
2020-08-25,1.092,1.091,1.093
2020-08-26,1.09,1.089,1.091
2020-08-27,1.088,1.087,1.089
2020-08-28,1.087,1.086,1.087
2020-08-29,1.085,1.084,1.086
2020-08-30,1.083,1.083,1.084
2020-08-31,1.081,1.081,1.082
2020-09-01,1.08,1.079,1.081
2020-09-02,1.079,1.078,1.08
2020-09-03,1.078,1.077,1.078
2020-09-04,1.077,1.076,1.077
2020-09-05,1.076,1.075,1.076
2020-09-06,1.074,1.073,1.075
2020-09-07,1.072,1.071,1.073
2020-09-08,1.07,1.07,1.071
2020-09-09,1.069,1.069,1.07
2020-09-10,1.068,1.068,1.069
2020-09-11,1.067,1.067,1.068
2020-09-12,1.066,1.066,1.067
2020-09-13,1.065,1.064,1.066
2020-09-14,1.063,1.063,1.064
2020-09-15,1.062,1.062,1.063
2020-09-16,1.061,1.061,1.062
2020-09-17,1.06,1.06,1.061
2020-09-18,1.06,1.059,1.06
2020-09-19,1.059,1.058,1.059
2020-09-20,1.058,1.057,1.058
2020-09-21,1.057,1.056,1.057
2020-09-22,1.056,1.055,1.057
2020-09-23,1.055,1.055,1.056
2020-09-24,1.054,1.054,1.055
2020-09-25,1.054,1.053,1.054
2020-09-26,1.053,1.053,1.054
2020-09-27,1.052,1.051,1.053
2020-09-28,1.051,1.05,1.052
