"data","R0","LB","UB"
2020-03-24,40.255,2.959,536.386
2020-03-25,2.245,0,15.75
2020-03-26,0.349,0,4.616
2020-03-27,0.895,0.002,4.417
2020-03-28,1.536,0.186,4.54
2020-03-29,1.428,0.294,3.607
2020-03-30,2.233,0.982,4.284
2020-03-31,2.883,1.662,4.726
2020-04-01,4.165,2.865,6.017
2020-04-02,3.996,2.955,5.392
2020-04-03,3.155,2.423,4.089
2020-04-04,2.545,2.002,3.213
2020-04-05,2.199,1.766,2.717
2020-04-06,2.588,2.168,3.083
2020-04-07,2.703,2.326,3.142
2020-04-08,2.881,2.535,3.278
2020-04-09,2.701,2.414,3.026
2020-04-10,2.36,2.131,2.614
2020-04-11,2.301,2.1,2.521
2020-04-12,2.229,2.054,2.421
2020-04-13,2.116,1.964,2.28
2020-04-14,1.966,1.836,2.107
2020-04-15,2.181,2.053,2.319
2020-04-16,2.068,1.956,2.187
2020-04-17,2.04,1.94,2.147
2020-04-18,2.219,2.121,2.323
2020-04-19,2.181,2.093,2.274
2020-04-20,2.068,1.992,2.149
2020-04-21,1.934,1.868,2.004
2020-04-22,1.936,1.874,1.999
2020-04-23,1.877,1.822,1.934
2020-04-24,1.846,1.796,1.898
2020-04-25,1.788,1.743,1.835
2020-04-26,1.719,1.678,1.761
2020-04-27,1.688,1.65,1.727
2020-04-28,1.631,1.596,1.666
2020-04-29,1.635,1.603,1.668
2020-04-30,1.662,1.632,1.694
2020-05-01,1.655,1.626,1.684
2020-05-02,1.637,1.61,1.664
2020-05-03,1.602,1.578,1.628
2020-05-04,1.561,1.538,1.585
2020-05-05,1.545,1.524,1.567
2020-05-06,1.559,1.539,1.58
2020-05-07,1.544,1.525,1.564
2020-05-08,1.548,1.53,1.567
2020-05-09,1.586,1.568,1.604
2020-05-10,1.605,1.587,1.622
2020-05-11,1.585,1.569,1.602
2020-05-12,1.552,1.537,1.567
2020-05-13,1.537,1.523,1.551
2020-05-14,1.528,1.515,1.542
2020-05-15,1.534,1.521,1.547
2020-05-16,1.528,1.516,1.541
2020-05-17,1.523,1.511,1.534
2020-05-18,1.506,1.496,1.517
2020-05-19,1.5,1.489,1.51
2020-05-20,1.489,1.479,1.499
2020-05-21,1.478,1.469,1.487
2020-05-22,1.474,1.465,1.483
2020-05-23,1.48,1.472,1.489
2020-05-24,1.508,1.5,1.516
2020-05-25,1.503,1.495,1.511
2020-05-26,1.493,1.486,1.501
2020-05-27,1.491,1.484,1.498
2020-05-28,1.485,1.478,1.492
2020-05-29,1.49,1.483,1.497
2020-05-30,1.484,1.478,1.491
2020-05-31,1.475,1.469,1.481
2020-06-01,1.443,1.438,1.449
2020-06-02,1.425,1.42,1.43
2020-06-03,1.411,1.406,1.416
2020-06-04,1.409,1.404,1.414
2020-06-05,1.408,1.403,1.413
2020-06-06,1.399,1.395,1.404
2020-06-07,1.39,1.386,1.394
2020-06-08,1.37,1.366,1.374
2020-06-09,1.35,1.346,1.354
2020-06-10,1.348,1.344,1.352
2020-06-11,1.335,1.331,1.338
2020-06-12,1.328,1.325,1.332
2020-06-13,1.32,1.317,1.323
