"data","R0","LB","UB"
2020-03-14,7.57,0,595.852
2020-03-15,15.878,1.111,225.967
2020-03-16,4.406,0.128,28.687
2020-03-17,5.24,0.967,21.044
2020-03-18,10.07,4.071,26.496
2020-03-19,6.533,3.274,13.215
2020-03-20,6.021,3.564,10.305
2020-03-21,4.787,3.136,7.343
2020-03-22,4.671,3.335,6.584
2020-03-23,4.805,3.672,6.328
2020-03-24,4.996,4.029,6.232
2020-03-25,3.343,2.775,4.034
2020-03-26,2.581,2.178,3.056
2020-03-27,2.402,2.066,2.793
2020-03-28,2.44,2.138,2.784
2020-03-29,2.192,1.944,2.473
2020-03-30,2.092,1.876,2.333
2020-03-31,2.024,1.833,2.234
2020-04-01,1.859,1.695,2.037
2020-04-02,1.858,1.709,2.02
2020-04-03,1.906,1.767,2.056
2020-04-04,1.81,1.687,1.942
2020-04-05,1.748,1.638,1.866
2020-04-06,1.786,1.683,1.897
2020-04-07,1.7,1.608,1.798
2020-04-08,1.643,1.559,1.732
2020-04-09,1.632,1.555,1.714
2020-04-10,1.592,1.521,1.667
2020-04-11,1.558,1.492,1.627
2020-04-12,1.538,1.477,1.602
2020-04-13,1.521,1.464,1.581
2020-04-14,1.452,1.399,1.506
2020-04-15,1.455,1.406,1.506
2020-04-16,1.407,1.361,1.454
2020-04-17,1.397,1.354,1.442
2020-04-18,1.392,1.352,1.435
2020-04-19,1.381,1.342,1.421
2020-04-20,1.383,1.346,1.421
2020-04-21,1.355,1.321,1.391
2020-04-22,1.335,1.302,1.368
2020-04-23,1.322,1.291,1.354
2020-04-24,1.296,1.266,1.326
2020-04-25,1.314,1.286,1.343
2020-04-26,1.305,1.278,1.333
2020-04-27,1.298,1.273,1.325
2020-04-28,1.28,1.255,1.305
2020-04-29,1.273,1.249,1.297
2020-04-30,1.281,1.258,1.304
2020-05-01,1.274,1.252,1.296
2020-05-02,1.278,1.257,1.3
2020-05-03,1.275,1.255,1.296
2020-05-04,1.273,1.254,1.293
2020-05-05,1.303,1.284,1.322
2020-05-06,1.298,1.28,1.317
2020-05-07,1.303,1.285,1.321
2020-05-08,1.308,1.291,1.325
2020-05-09,1.312,1.295,1.328
2020-05-10,1.315,1.299,1.331
2020-05-11,1.306,1.29,1.321
2020-05-12,1.292,1.278,1.307
2020-05-13,1.284,1.27,1.299
2020-05-14,1.301,1.287,1.315
2020-05-15,1.303,1.29,1.317
2020-05-16,1.308,1.295,1.321
2020-05-17,1.313,1.301,1.326
2020-05-18,1.303,1.291,1.315
2020-05-19,1.288,1.276,1.299
2020-05-20,1.292,1.281,1.303
2020-05-21,1.297,1.286,1.308
2020-05-22,1.3,1.289,1.31
2020-05-23,1.308,1.298,1.318
2020-05-24,1.31,1.3,1.32
2020-05-25,1.309,1.3,1.319
2020-05-26,1.306,1.296,1.315
2020-05-27,1.317,1.307,1.326
2020-05-28,1.321,1.313,1.33
2020-05-29,1.333,1.325,1.342
2020-05-30,1.336,1.328,1.344
2020-05-31,1.33,1.322,1.338
2020-06-01,1.343,1.335,1.351
2020-06-02,1.327,1.319,1.335
2020-06-03,1.315,1.308,1.322
2020-06-04,1.332,1.325,1.339
2020-06-05,1.343,1.336,1.35
2020-06-06,1.35,1.343,1.357
2020-06-07,1.353,1.347,1.36
2020-06-08,1.35,1.344,1.356
2020-06-09,1.331,1.325,1.337
2020-06-10,1.315,1.309,1.321
2020-06-11,1.327,1.322,1.333
2020-06-12,1.327,1.321,1.332
2020-06-13,1.34,1.334,1.345
2020-06-14,1.328,1.322,1.333
2020-06-15,1.321,1.316,1.326
2020-06-16,1.307,1.302,1.312
2020-06-17,1.293,1.289,1.298
2020-06-18,1.297,1.293,1.302
2020-06-19,1.303,1.298,1.307
2020-06-20,1.301,1.297,1.305
2020-06-21,1.3,1.296,1.304
2020-06-22,1.287,1.283,1.291
2020-06-23,1.286,1.282,1.29
2020-06-24,1.281,1.277,1.285
2020-06-25,1.281,1.278,1.285
2020-06-26,1.281,1.277,1.284
2020-06-27,1.325,1.321,1.328
2020-06-28,1.324,1.321,1.328
2020-06-29,1.32,1.317,1.324
2020-06-30,1.311,1.307,1.314
2020-07-01,1.302,1.299,1.305
2020-07-02,1.304,1.301,1.307
2020-07-03,1.309,1.306,1.312
2020-07-04,1.309,1.306,1.312
2020-07-05,1.308,1.305,1.311
2020-07-06,1.304,1.302,1.307
2020-07-07,1.295,1.292,1.298
2020-07-08,1.286,1.283,1.289
2020-07-09,1.287,1.284,1.289
2020-07-10,1.286,1.283,1.288
2020-07-11,1.286,1.283,1.288
2020-07-12,1.287,1.285,1.289
2020-07-13,1.281,1.278,1.283
