"data","R0","LB","UB"
2020-03-18,14.08,0.001,260.621
2020-03-19,2.925,0,25.348
2020-03-20,2.671,0.029,13.157
2020-03-21,2.977,0.429,9.582
2020-03-22,3.138,0.952,7.639
2020-03-23,3.131,1.337,6.315
2020-03-24,1.812,0.711,3.622
2020-03-25,1.704,0.784,3.11
2020-03-26,1.218,0.529,2.234
2020-03-27,1.053,0.473,1.876
2020-03-28,1.146,0.605,1.879
2020-03-29,1.197,0.7,1.847
2020-03-30,1.354,0.885,1.953
2020-03-31,1.592,1.141,2.158
2020-04-01,1.539,1.138,2.032
2020-04-02,1.454,1.098,1.883
2020-04-03,1.353,1.037,1.729
2020-04-04,1.424,1.129,1.772
2020-04-05,1.337,1.071,1.645
2020-04-06,1.292,1.049,1.571
2020-04-07,1.213,0.99,1.464
2020-04-08,1.394,1.178,1.639
2020-04-09,1.37,1.171,1.595
2020-04-10,1.334,1.15,1.54
2020-04-11,1.354,1.181,1.546
2020-04-12,1.307,1.146,1.484
2020-04-13,1.245,1.097,1.408
2020-04-14,1.305,1.163,1.46
2020-04-15,1.258,1.126,1.402
2020-04-16,1.252,1.127,1.387
2020-04-17,1.275,1.156,1.404
2020-04-18,1.304,1.191,1.426
2020-04-19,1.358,1.249,1.475
2020-04-20,1.337,1.235,1.447
2020-04-21,1.298,1.202,1.401
2020-04-22,1.26,1.17,1.357
2020-04-23,1.227,1.141,1.318
2020-04-24,1.237,1.155,1.324
2020-04-25,1.303,1.224,1.388
2020-04-26,1.275,1.2,1.355
2020-04-27,1.292,1.219,1.368
2020-04-28,1.265,1.196,1.338
2020-04-29,1.236,1.171,1.304
2020-04-30,1.229,1.167,1.295
2020-05-01,1.215,1.155,1.277
2020-05-02,1.202,1.144,1.262
2020-05-03,1.187,1.132,1.245
2020-05-04,1.177,1.124,1.232
2020-05-05,1.158,1.107,1.211
2020-05-06,1.156,1.107,1.207
2020-05-07,1.146,1.099,1.195
2020-05-08,1.171,1.125,1.218
2020-05-09,1.177,1.132,1.223
2020-05-10,1.189,1.146,1.234
2020-05-11,1.193,1.152,1.236
2020-05-12,1.205,1.165,1.248
2020-05-13,1.211,1.172,1.252
2020-05-14,1.221,1.183,1.261
2020-05-15,1.226,1.189,1.264
2020-05-16,1.234,1.198,1.271
2020-05-17,1.242,1.207,1.278
2020-05-18,1.277,1.243,1.312
2020-05-19,1.289,1.256,1.323
2020-05-20,1.287,1.255,1.321
2020-05-21,1.3,1.269,1.333
2020-05-22,1.311,1.281,1.343
2020-05-23,1.323,1.293,1.353
2020-05-24,1.327,1.299,1.357
2020-05-25,1.387,1.358,1.417
2020-05-26,1.392,1.363,1.421
2020-05-27,1.397,1.37,1.426
2020-05-28,1.396,1.37,1.424
2020-05-29,1.4,1.375,1.426
2020-05-30,1.39,1.366,1.415
2020-05-31,1.383,1.36,1.407
2020-06-01,1.378,1.356,1.401
2020-06-02,1.372,1.351,1.394
2020-06-03,1.386,1.365,1.408
2020-06-04,1.388,1.368,1.409
2020-06-05,1.376,1.356,1.396
2020-06-06,1.378,1.359,1.397
2020-06-07,1.375,1.357,1.394
2020-06-08,1.362,1.344,1.379
2020-06-09,1.36,1.343,1.377
2020-06-10,1.359,1.343,1.375
2020-06-11,1.374,1.359,1.391
2020-06-12,1.37,1.355,1.386
2020-06-13,1.377,1.362,1.392
2020-06-14,1.376,1.361,1.391
2020-06-15,1.364,1.35,1.378
2020-06-16,1.366,1.353,1.38
2020-06-17,1.382,1.369,1.395
2020-06-18,1.366,1.354,1.379
2020-06-19,1.378,1.366,1.391
2020-06-20,1.381,1.369,1.393
2020-06-21,1.375,1.364,1.387
2020-06-22,1.362,1.351,1.373
