"data","R0","LB","UB"
2020-03-24,40.255,0,2513.653
2020-03-25,1,0,20.55
2020-03-26,1,0,9.009
2020-03-27,1,0.001,5.522
2020-03-28,0.254,0,2.415
2020-03-29,0.072,0,1.352
2020-03-30,0.026,0,0.875
2020-03-31,1.447,0.458,3.121
2020-04-01,2.163,1.112,3.764
2020-04-02,1.886,1.045,3.099
2020-04-03,2.619,1.752,3.811
2020-04-04,2.133,1.469,3.01
2020-04-05,2.52,1.884,3.336
2020-04-06,1.958,1.476,2.555
2020-04-07,2.153,1.704,2.7
2020-04-08,1.828,1.463,2.263
2020-04-09,1.84,1.511,2.225
2020-04-10,1.928,1.625,2.28
2020-04-11,1.731,1.473,2.027
2020-04-12,1.657,1.427,1.916
2020-04-13,1.507,1.306,1.733
2020-04-14,1.494,1.309,1.699
2020-04-15,1.408,1.241,1.591
2020-04-16,1.419,1.264,1.589
2020-04-17,1.358,1.216,1.513
2020-04-18,1.315,1.184,1.457
2020-04-19,1.3,1.177,1.432
2020-04-20,1.248,1.134,1.369
2020-04-21,1.228,1.121,1.342
2020-04-22,1.171,1.072,1.277
2020-04-23,1.247,1.151,1.349
2020-04-24,1.261,1.17,1.358
2020-04-25,1.294,1.207,1.386
2020-04-26,1.259,1.177,1.345
2020-04-27,1.222,1.145,1.303
2020-04-28,1.203,1.13,1.28
2020-04-29,1.187,1.117,1.26
2020-04-30,1.235,1.168,1.305
2020-05-01,1.222,1.159,1.289
2020-05-02,1.23,1.169,1.294
2020-05-03,1.224,1.166,1.285
2020-05-04,1.199,1.144,1.257
2020-05-05,1.183,1.13,1.238
2020-05-06,1.197,1.146,1.25
2020-05-07,1.203,1.154,1.254
2020-05-08,1.23,1.183,1.28
2020-05-09,1.266,1.221,1.314
2020-05-10,1.285,1.24,1.331
2020-05-11,1.273,1.231,1.317
2020-05-12,1.272,1.232,1.315
2020-05-13,1.304,1.265,1.346
2020-05-14,1.337,1.298,1.377
2020-05-15,1.354,1.317,1.393
2020-05-16,1.364,1.328,1.401
2020-05-17,1.374,1.339,1.411
2020-05-18,1.367,1.334,1.402
2020-05-19,1.357,1.325,1.39
2020-05-20,1.36,1.33,1.392
2020-05-21,1.372,1.342,1.403
2020-05-22,1.385,1.356,1.415
2020-05-23,1.388,1.36,1.417
2020-05-24,1.391,1.364,1.419
2020-05-25,1.395,1.369,1.422
2020-05-26,1.406,1.381,1.432
2020-05-27,1.419,1.395,1.445
2020-05-28,1.432,1.408,1.456
2020-05-29,1.442,1.419,1.466
2020-05-30,1.448,1.426,1.471
2020-05-31,1.444,1.423,1.466
2020-06-01,1.422,1.402,1.442
2020-06-02,1.417,1.398,1.436
2020-06-03,1.416,1.398,1.435
2020-06-04,1.419,1.401,1.437
2020-06-05,1.443,1.425,1.46
2020-06-06,1.436,1.419,1.453
2020-06-07,1.427,1.411,1.444
2020-06-08,1.424,1.409,1.44
2020-06-09,1.416,1.401,1.431
2020-06-10,1.412,1.398,1.426
2020-06-11,1.407,1.393,1.421
2020-06-12,1.407,1.394,1.42
2020-06-13,1.403,1.391,1.416
2020-06-14,1.402,1.39,1.415
2020-06-15,1.401,1.389,1.413
2020-06-16,1.392,1.381,1.403
2020-06-17,1.397,1.386,1.408
2020-06-18,1.398,1.388,1.409
2020-06-19,1.417,1.407,1.428
2020-06-20,1.417,1.407,1.427
2020-06-21,1.413,1.404,1.423
2020-06-22,1.408,1.398,1.417
2020-06-23,1.4,1.391,1.409
2020-06-24,1.402,1.393,1.41
