"data","R0","LB","UB"
2020-03-20,9.526,0,623.616
2020-03-21,3.717,0,78.947
2020-03-22,2.089,0,30.686
2020-03-23,1.378,0,17.061
2020-03-24,3.423,0.228,21.12
2020-03-25,3.88,0.734,16.954
2020-03-26,4.719,1.512,15.323
2020-03-27,3.76,1.427,9.944
2020-03-28,4.573,2.191,10.068
2020-03-29,4.362,2.392,8.3
2020-03-30,3.042,1.774,5.282
2020-03-31,2.863,1.792,4.625
2020-04-01,2.414,1.572,3.712
2020-04-02,2.324,1.587,3.412
2020-04-03,2.618,1.894,3.66
2020-04-04,2.371,1.769,3.201
2020-04-05,2.13,1.627,2.801
2020-04-06,1.909,1.483,2.461
2020-04-07,1.747,1.376,2.216
2020-04-08,1.762,1.418,2.192
2020-04-09,2.008,1.661,2.44
2020-04-10,2.35,1.987,2.798
2020-04-11,2.166,1.859,2.538
2020-04-12,2.177,1.895,2.515
2020-04-13,2.072,1.824,2.363
2020-04-14,2.142,1.907,2.416
2020-04-15,2.07,1.861,2.312
2020-04-16,1.976,1.791,2.187
2020-04-17,2.008,1.834,2.204
2020-04-18,1.89,1.738,2.06
2020-04-19,1.901,1.759,2.059
2020-04-20,1.795,1.67,1.933
2020-04-21,1.744,1.63,1.87
2020-04-22,1.766,1.658,1.884
2020-04-23,1.787,1.684,1.898
2020-04-24,1.781,1.685,1.884
2020-04-25,1.81,1.719,1.908
2020-04-26,1.799,1.714,1.89
2020-04-27,1.765,1.687,1.848
2020-04-28,1.801,1.726,1.881
2020-04-29,1.78,1.711,1.854
2020-04-30,1.815,1.748,1.886
2020-05-01,1.822,1.759,1.889
2020-05-02,1.811,1.752,1.872
2020-05-03,1.812,1.757,1.87
2020-05-04,1.74,1.691,1.792
2020-05-05,1.739,1.692,1.787
2020-05-06,1.722,1.679,1.767
2020-05-07,1.718,1.677,1.76
2020-05-08,1.719,1.68,1.759
2020-05-09,1.706,1.67,1.743
2020-05-10,1.668,1.635,1.702
2020-05-11,1.653,1.622,1.685
2020-05-12,1.634,1.605,1.664
2020-05-13,1.632,1.605,1.661
2020-05-14,1.629,1.602,1.655
2020-05-15,1.63,1.605,1.655
2020-05-16,1.637,1.613,1.661
2020-05-17,1.626,1.604,1.649
