"data","R0","LB","UB"
2020-03-16,3.015,0,36.627
2020-03-17,0.062,0,5.601
2020-03-18,6.754,1.961,18.547
2020-03-19,2.455,0.571,6.336
2020-03-20,3.392,1.531,6.558
2020-03-21,2.245,1.058,4.091
2020-03-22,1.602,0.765,2.834
2020-03-23,1.475,0.782,2.441
2020-03-24,1.462,0.861,2.262
2020-03-25,1.11,0.637,1.726
2020-03-26,1.124,0.698,1.661
2020-03-27,1.031,0.658,1.491
2020-03-28,1.261,0.899,1.697
2020-03-29,1.454,1.11,1.863
2020-03-30,1.394,1.088,1.753
2020-03-31,1.322,1.048,1.637
2020-04-01,1.392,1.137,1.683
2020-04-02,1.393,1.16,1.658
2020-04-03,1.432,1.215,1.675
2020-04-04,1.683,1.47,1.923
2020-04-05,1.912,1.702,2.148
2020-04-06,1.904,1.713,2.116
2020-04-07,1.855,1.683,2.044
2020-04-08,2.387,2.196,2.597
2020-04-09,2.283,2.117,2.464
2020-04-10,2.55,2.384,2.731
2020-04-11,2.556,2.406,2.717
2020-04-12,2.499,2.368,2.64
2020-04-13,2.43,2.315,2.553
2020-04-14,2.414,2.311,2.524
2020-04-15,2.275,2.186,2.368
2020-04-16,2.226,2.147,2.309
2020-04-17,2.16,2.09,2.233
2020-04-18,2.177,2.113,2.245
2020-04-19,2.073,2.017,2.131
2020-04-20,2.023,1.973,2.076
2020-04-21,1.953,1.908,2
2020-04-22,1.884,1.843,1.925
2020-04-23,1.878,1.841,1.917
2020-04-24,1.835,1.801,1.87
2020-04-25,1.814,1.783,1.846
2020-04-26,1.812,1.783,1.842
2020-04-27,1.775,1.748,1.802
2020-04-28,1.749,1.725,1.775
2020-04-29,1.707,1.684,1.73
2020-04-30,1.682,1.66,1.703
2020-05-01,1.682,1.662,1.702
2020-05-02,1.649,1.63,1.667
2020-05-03,1.653,1.635,1.67
2020-05-04,1.62,1.604,1.636
2020-05-05,1.567,1.552,1.582
2020-05-06,1.539,1.526,1.553
2020-05-07,1.521,1.508,1.534
2020-05-08,1.526,1.514,1.539
2020-05-09,1.516,1.505,1.528
2020-05-10,1.511,1.5,1.522
2020-05-11,1.499,1.488,1.509
2020-05-12,1.472,1.462,1.482
2020-05-13,1.45,1.44,1.459
2020-05-14,1.431,1.422,1.44
2020-05-15,1.417,1.409,1.425
2020-05-16,1.401,1.393,1.409
2020-05-17,1.438,1.43,1.446
2020-05-18,1.427,1.419,1.434
2020-05-19,1.407,1.4,1.414
2020-05-20,1.401,1.395,1.408
2020-05-21,1.399,1.392,1.405
2020-05-22,1.395,1.389,1.401
2020-05-23,1.4,1.394,1.407
