"data","R0","LB","UB"
2020-03-23,6.766,0,174.69
2020-03-24,0.384,0,16.829
2020-03-25,2.525,0.002,16.261
2020-03-26,0.815,0,6.284
2020-03-27,1,0.002,5.012
2020-03-28,1.079,0.025,4.119
2020-03-29,1.11,0.085,3.489
2020-03-30,0.758,0.037,2.476
2020-03-31,2.507,1.183,4.758
2020-04-01,1.794,0.831,3.323
2020-04-02,1.556,0.757,2.76
2020-04-03,1.257,0.6,2.209
2020-04-04,1.431,0.805,2.306
2020-04-05,1.421,0.855,2.188
2020-04-06,1.228,0.738,1.872
2020-04-07,1.251,0.798,1.834
2020-04-08,1.456,1.018,2.014
2020-04-09,1.671,1.247,2.207
2020-04-10,1.572,1.194,2.039
2020-04-11,1.454,1.118,1.863
2020-04-12,1.434,1.125,1.806
2020-04-13,1.533,1.239,1.884
2020-04-14,1.587,1.31,1.915
2020-04-15,1.816,1.54,2.143
2020-04-16,1.92,1.656,2.231
2020-04-17,1.892,1.652,2.172
2020-04-18,1.972,1.744,2.237
2020-04-19,1.997,1.785,2.242
2020-04-20,1.929,1.739,2.146
2020-04-21,1.966,1.788,2.168
2020-04-22,1.918,1.756,2.099
2020-04-23,1.819,1.676,1.978
2020-04-24,1.87,1.733,2.021
2020-04-25,1.894,1.766,2.035
2020-04-26,1.868,1.75,1.996
2020-04-27,1.831,1.723,1.948
2020-04-28,1.821,1.721,1.929
2020-04-29,1.805,1.712,1.905
2020-04-30,1.807,1.72,1.9
2020-05-01,1.845,1.762,1.934
2020-05-02,1.822,1.746,1.903
2020-05-03,1.809,1.738,1.885
2020-05-04,1.746,1.682,1.814
2020-05-05,1.743,1.683,1.807
2020-05-06,1.715,1.659,1.774
2020-05-07,1.709,1.657,1.764
2020-05-08,1.68,1.631,1.73
2020-05-09,1.665,1.62,1.712
2020-05-10,1.612,1.571,1.655
2020-05-11,1.571,1.533,1.611
2020-05-12,1.564,1.528,1.602
2020-05-13,1.581,1.546,1.617
2020-05-14,1.589,1.556,1.623
2020-05-15,1.57,1.539,1.602
2020-05-16,1.571,1.541,1.601
2020-05-17,1.562,1.534,1.591
2020-05-18,1.514,1.488,1.54
2020-05-19,1.503,1.479,1.528
2020-05-20,1.502,1.478,1.526
2020-05-21,1.501,1.479,1.524
2020-05-22,1.498,1.477,1.52
2020-05-23,1.485,1.465,1.506
2020-05-24,1.463,1.444,1.483
2020-05-25,1.447,1.429,1.466
2020-05-26,1.433,1.416,1.451
2020-05-27,1.43,1.414,1.447
2020-05-28,1.429,1.413,1.445
2020-05-29,1.424,1.409,1.439
2020-05-30,1.415,1.401,1.43
2020-05-31,1.401,1.387,1.415
2020-06-01,1.387,1.374,1.4
2020-06-02,1.392,1.379,1.405
2020-06-03,1.388,1.376,1.401
2020-06-04,1.377,1.366,1.389
2020-06-05,1.397,1.386,1.408
2020-06-06,1.393,1.382,1.404
2020-06-07,1.387,1.377,1.398
2020-06-08,1.366,1.357,1.377
2020-06-09,1.357,1.348,1.367
2020-06-10,1.355,1.346,1.364
2020-06-11,1.353,1.344,1.362
2020-06-12,1.353,1.344,1.361
2020-06-13,1.35,1.341,1.358
2020-06-14,1.339,1.331,1.347
2020-06-15,1.324,1.317,1.332
2020-06-16,1.323,1.315,1.33
2020-06-17,1.326,1.318,1.333
2020-06-18,1.322,1.316,1.329
2020-06-19,1.316,1.31,1.323
2020-06-20,1.333,1.327,1.34
