"data","R0","LB","UB"
2020-03-09,1,0,92.664
2020-03-10,0.002,0,15.031
2020-03-11,0,0,6.002
2020-03-12,0,0,3.334
2020-03-13,14.936,5.429,44.196
2020-03-14,4.734,1.888,10.72
2020-03-15,2.525,0.958,5.397
2020-03-16,3.697,2.028,6.462
2020-03-17,2.517,1.415,4.192
2020-03-18,1.8,1.003,2.948
2020-03-19,4.761,3.471,6.568
2020-03-20,3.266,2.47,4.312
2020-03-21,2.407,1.85,3.108
2020-03-22,3.613,2.963,4.419
2020-03-23,4.151,3.527,4.902
2020-03-24,3.681,3.209,4.234
2020-03-25,3.536,3.147,3.982
2020-03-26,3.208,2.902,3.553
2020-03-27,2.831,2.592,3.095
2020-03-28,2.648,2.449,2.866
2020-03-29,2.45,2.284,2.629
2020-03-30,2.216,2.079,2.363
2020-03-31,2.079,1.961,2.204
2020-04-01,1.952,1.85,2.061
2020-04-02,1.981,1.887,2.081
2020-04-03,2.027,1.939,2.119
2020-04-04,1.928,1.85,2.009
2020-04-05,1.942,1.871,2.017
2020-04-06,1.907,1.842,1.975
2020-04-07,1.799,1.742,1.858
2020-04-08,1.826,1.772,1.882
2020-04-09,1.842,1.791,1.894
2020-04-10,1.851,1.804,1.899
2020-04-11,1.827,1.784,1.871
2020-04-12,1.754,1.715,1.794
2020-04-13,1.729,1.693,1.766
2020-04-14,1.738,1.705,1.773
2020-04-15,1.684,1.654,1.715
2020-04-16,1.672,1.644,1.701
2020-04-17,1.626,1.6,1.652
2020-04-18,1.626,1.601,1.651
2020-04-19,1.58,1.557,1.603
2020-04-20,1.529,1.509,1.551
2020-04-21,1.5,1.481,1.52
2020-04-22,1.499,1.481,1.518
2020-04-23,1.474,1.457,1.491
2020-04-24,1.494,1.478,1.511
2020-04-25,1.451,1.436,1.467
2020-04-26,1.458,1.443,1.473
2020-04-27,1.435,1.421,1.449
2020-04-28,1.461,1.448,1.475
2020-04-29,1.457,1.444,1.47
2020-04-30,1.437,1.424,1.449
2020-05-01,1.432,1.42,1.444
2020-05-02,1.433,1.422,1.445
2020-05-03,1.413,1.403,1.424
2020-05-04,1.406,1.396,1.416
2020-05-05,1.397,1.387,1.406
2020-05-06,1.391,1.382,1.4
2020-05-07,1.395,1.386,1.403
2020-05-08,1.394,1.385,1.402
2020-05-09,1.417,1.408,1.425
2020-05-10,1.419,1.412,1.427
2020-05-11,1.387,1.38,1.394
2020-05-12,1.38,1.373,1.387
2020-05-13,1.364,1.357,1.37
2020-05-14,1.34,1.334,1.347
2020-05-15,1.332,1.326,1.338
2020-05-16,1.318,1.312,1.324
2020-05-17,1.329,1.324,1.335
2020-05-18,1.318,1.312,1.323
2020-05-19,1.378,1.372,1.384
2020-05-20,1.368,1.363,1.374
2020-05-21,1.382,1.377,1.387
2020-05-22,1.378,1.373,1.384
2020-05-23,1.371,1.366,1.376
2020-05-24,1.356,1.351,1.36
2020-05-25,1.372,1.367,1.376
2020-05-26,1.361,1.356,1.365
2020-05-27,1.343,1.338,1.347
2020-05-28,1.343,1.339,1.347
2020-05-29,1.343,1.34,1.347
2020-05-30,1.348,1.344,1.351
2020-05-31,1.362,1.358,1.365
2020-06-01,1.344,1.341,1.348
2020-06-02,1.329,1.326,1.333
2020-06-03,1.323,1.32,1.327
2020-06-04,1.319,1.316,1.323
2020-06-05,1.31,1.307,1.313
2020-06-06,1.303,1.3,1.306
2020-06-07,1.293,1.29,1.296
2020-06-08,1.293,1.29,1.296
2020-06-09,1.284,1.282,1.287
2020-06-10,1.285,1.282,1.287
2020-06-11,1.275,1.272,1.277
2020-06-12,1.265,1.263,1.267
2020-06-13,1.259,1.257,1.261
2020-06-14,1.249,1.246,1.251
2020-06-15,1.238,1.236,1.24
2020-06-16,1.23,1.228,1.232
2020-06-17,1.227,1.225,1.229
2020-06-18,1.228,1.227,1.23
2020-06-19,1.218,1.216,1.219
2020-06-20,1.227,1.225,1.229
2020-06-21,1.222,1.22,1.224
2020-06-22,1.213,1.211,1.214
2020-06-23,1.206,1.204,1.208
2020-06-24,1.206,1.204,1.207
2020-06-25,1.203,1.201,1.204
2020-06-26,1.199,1.198,1.201
2020-06-27,1.197,1.195,1.198
2020-06-28,1.188,1.186,1.189
2020-06-29,1.185,1.184,1.187
2020-06-30,1.178,1.177,1.179
2020-07-01,1.171,1.17,1.173
2020-07-02,1.17,1.168,1.171
2020-07-03,1.166,1.164,1.167
2020-07-04,1.163,1.161,1.164
2020-07-05,1.159,1.157,1.16
2020-07-06,1.153,1.152,1.155
2020-07-07,1.148,1.147,1.149
2020-07-08,1.146,1.145,1.147
2020-07-09,1.144,1.143,1.145
2020-07-10,1.142,1.14,1.143
2020-07-11,1.138,1.136,1.139
2020-07-12,1.132,1.131,1.133
2020-07-13,1.127,1.126,1.128
2020-07-14,1.126,1.125,1.127
2020-07-15,1.122,1.121,1.123
2020-07-16,1.119,1.118,1.12
2020-07-17,1.115,1.114,1.116
2020-07-18,1.111,1.11,1.112
2020-07-19,1.107,1.106,1.108
2020-07-20,1.108,1.107,1.109
2020-07-21,1.107,1.106,1.108
2020-07-22,1.109,1.108,1.11
2020-07-23,1.11,1.109,1.111
2020-07-24,1.11,1.109,1.11
2020-07-25,1.11,1.109,1.111
2020-07-26,1.108,1.107,1.108
2020-07-27,1.104,1.103,1.104
2020-07-28,1.102,1.101,1.102
2020-07-29,1.1,1.099,1.101
2020-07-30,1.099,1.098,1.1
2020-07-31,1.098,1.097,1.098
2020-08-01,1.096,1.095,1.097
2020-08-02,1.095,1.094,1.095
2020-08-03,1.091,1.09,1.092
2020-08-04,1.089,1.088,1.09
2020-08-05,1.087,1.086,1.087
2020-08-06,1.088,1.087,1.088
2020-08-07,1.086,1.085,1.087
2020-08-08,1.085,1.084,1.085
2020-08-09,1.085,1.084,1.085
2020-08-10,1.082,1.081,1.083
2020-08-11,1.08,1.079,1.081
2020-08-12,1.08,1.079,1.081
2020-08-13,1.08,1.079,1.081
2020-08-14,1.08,1.079,1.08
2020-08-15,1.079,1.078,1.079
2020-08-16,1.077,1.076,1.077
2020-08-17,1.077,1.077,1.078
2020-08-18,1.075,1.074,1.076
2020-08-19,1.077,1.076,1.077
2020-08-20,1.077,1.077,1.078
2020-08-21,1.077,1.076,1.078
2020-08-22,1.075,1.075,1.076
2020-08-23,1.076,1.075,1.076
2020-08-24,1.074,1.073,1.074
2020-08-25,1.072,1.071,1.072
2020-08-26,1.071,1.071,1.072
2020-08-27,1.071,1.07,1.072
2020-08-28,1.071,1.07,1.071
2020-08-29,1.068,1.068,1.069
2020-08-30,1.069,1.068,1.069
2020-08-31,1.067,1.066,1.067
2020-09-01,1.065,1.065,1.066
2020-09-02,1.065,1.065,1.066
2020-09-03,1.064,1.064,1.065
2020-09-04,1.064,1.063,1.064
2020-09-05,1.063,1.063,1.064
2020-09-06,1.061,1.061,1.062
2020-09-07,1.059,1.059,1.06
2020-09-08,1.058,1.057,1.058
2020-09-09,1.056,1.056,1.056
2020-09-10,1.055,1.054,1.055
2020-09-11,1.053,1.053,1.054
2020-09-12,1.055,1.055,1.056
2020-09-13,1.054,1.053,1.054
2020-09-14,1.053,1.053,1.054
2020-09-15,1.052,1.051,1.052
2020-09-16,1.051,1.051,1.051
2020-09-17,1.051,1.05,1.051
2020-09-18,1.049,1.049,1.05
2020-09-19,1.05,1.049,1.05
2020-09-20,1.049,1.048,1.049
2020-09-21,1.048,1.047,1.048
2020-09-22,1.046,1.046,1.047
2020-09-23,1.046,1.045,1.046
2020-09-24,1.045,1.045,1.045
2020-09-25,1.045,1.045,1.046
2020-09-26,1.045,1.044,1.045
2020-09-27,1.043,1.043,1.044
2020-09-28,1.043,1.043,1.044
2020-09-29,1.042,1.042,1.042
