"data","R0","LB","UB"
2020-03-22,18.047,4.94,84.309
2020-03-23,9.238,3.768,24.365
2020-03-24,4.304,1.959,9.201
2020-03-25,3.048,1.483,5.903
2020-03-26,2.18,1.067,4.033
2020-03-27,2.585,1.506,4.293
2020-03-28,3.156,2.079,4.788
2020-03-29,6.057,4.432,8.409
2020-03-30,3.726,2.875,4.867
2020-03-31,3.107,2.479,3.912
2020-04-01,2.584,2.108,3.173
2020-04-02,2.368,1.972,2.846
2020-04-03,2.271,1.927,2.679
2020-04-04,3.01,2.623,3.467
2020-04-05,2.881,2.554,3.26
2020-04-06,2.642,2.374,2.948
2020-04-07,2.226,2.019,2.458
2020-04-08,1.999,1.826,2.19
2020-04-09,1.827,1.678,1.989
2020-04-10,1.662,1.534,1.802
2020-04-11,1.545,1.43,1.668
2020-04-12,1.547,1.44,1.662
2020-04-13,1.622,1.519,1.732
2020-04-14,1.626,1.529,1.728
2020-04-15,1.582,1.494,1.676
2020-04-16,1.49,1.41,1.575
2020-04-17,1.551,1.475,1.633
2020-04-18,1.569,1.496,1.646
2020-04-19,1.561,1.493,1.633
2020-04-20,1.532,1.469,1.599
2020-04-21,1.476,1.417,1.537
2020-04-22,1.46,1.405,1.517
2020-04-23,1.472,1.42,1.527
2020-04-24,1.46,1.411,1.511
2020-04-25,1.428,1.382,1.476
2020-04-26,1.415,1.372,1.46
2020-04-27,1.371,1.33,1.413
2020-04-28,1.347,1.308,1.386
2020-04-29,1.47,1.432,1.511
2020-04-30,1.473,1.436,1.512
2020-05-01,1.488,1.452,1.524
2020-05-02,1.469,1.435,1.503
2020-05-03,1.43,1.399,1.462
2020-05-04,1.398,1.368,1.428
2020-05-05,1.405,1.377,1.434
2020-05-06,1.406,1.379,1.433
2020-05-07,1.399,1.373,1.425
2020-05-08,1.387,1.363,1.412
2020-05-09,1.38,1.357,1.404
2020-05-10,1.344,1.322,1.367
2020-05-11,1.315,1.295,1.337
2020-05-12,1.314,1.294,1.335
2020-05-13,1.367,1.347,1.388
2020-05-14,1.372,1.353,1.391
2020-05-15,1.389,1.371,1.408
2020-05-16,1.355,1.338,1.373
2020-05-17,1.364,1.347,1.381
2020-05-18,1.355,1.339,1.372
2020-05-19,1.379,1.363,1.395
2020-05-20,1.391,1.375,1.407
2020-05-21,1.393,1.378,1.408
2020-05-22,1.384,1.369,1.398
2020-05-23,1.392,1.378,1.406
2020-05-24,1.36,1.347,1.373
2020-05-25,1.35,1.337,1.362
2020-05-26,1.388,1.375,1.4
2020-05-27,1.371,1.359,1.383
2020-05-28,1.343,1.331,1.354
2020-05-29,1.381,1.37,1.392
2020-05-30,1.417,1.406,1.428
2020-05-31,1.384,1.374,1.395
2020-06-01,1.392,1.382,1.402
2020-06-02,1.375,1.365,1.385
2020-06-03,1.396,1.386,1.406
2020-06-04,1.373,1.364,1.382
2020-06-05,1.353,1.344,1.362
2020-06-06,1.329,1.321,1.337
