"data","R0","LB","UB"
2020-03-25,1,0,16.985
2020-03-26,0.081,0,5.535
2020-03-27,0.499,0,5.091
2020-03-28,0.172,0,2.873
2020-03-29,0.069,0,1.903
2020-03-30,0.035,0,1.394
2020-03-31,0.769,0.026,2.664
2020-04-01,0.93,0.11,2.595
2020-04-02,0.723,0.07,2.046
2020-04-03,0.869,0.177,2.073
2020-04-04,0.728,0.136,1.74
2020-04-05,0.853,0.251,1.789
2020-04-06,1.277,0.629,2.217
2020-04-07,1.634,0.984,2.557
2020-04-08,1.907,1.273,2.791
2020-04-09,1.873,1.306,2.643
2020-04-10,1.76,1.261,2.419
2020-04-11,1.78,1.323,2.373
2020-04-12,1.677,1.271,2.192
2020-04-13,1.836,1.445,2.328
2020-04-14,1.642,1.305,2.058
2020-04-15,2.258,1.876,2.733
2020-04-16,2.061,1.737,2.454
2020-04-17,2.188,1.877,2.561
2020-04-18,2.208,1.922,2.547
2020-04-19,2.181,1.923,2.483
2020-04-20,2.272,2.028,2.556
2020-04-21,2.342,2.112,2.605
2020-04-22,2.23,2.031,2.456
2020-04-23,1.987,1.824,2.171
2020-04-24,1.95,1.801,2.116
2020-04-25,1.962,1.824,2.116
2020-04-26,1.941,1.814,2.081
2020-04-27,1.902,1.786,2.028
2020-04-28,1.839,1.734,1.952
2020-04-29,1.759,1.666,1.86
2020-04-30,1.692,1.608,1.783
2020-05-01,1.732,1.651,1.819
2020-05-02,1.773,1.695,1.856
2020-05-03,1.768,1.695,1.845
2020-05-04,1.729,1.663,1.8
2020-05-05,1.692,1.631,1.757
2020-05-06,1.714,1.655,1.775
2020-05-07,1.698,1.643,1.755
2020-05-08,1.739,1.686,1.794
2020-05-09,1.734,1.685,1.786
2020-05-10,1.667,1.622,1.714
2020-05-11,1.61,1.569,1.652
2020-05-12,1.592,1.553,1.631
2020-05-13,1.555,1.52,1.592
2020-05-14,1.564,1.53,1.599
2020-05-15,1.533,1.502,1.566
2020-05-16,1.518,1.488,1.549
2020-05-17,1.508,1.48,1.537
2020-05-18,1.471,1.445,1.498
2020-05-19,1.449,1.424,1.474
2020-05-20,1.508,1.483,1.533
2020-05-21,1.479,1.456,1.503
2020-05-22,1.434,1.412,1.455
2020-05-23,1.454,1.433,1.475
2020-05-24,1.478,1.458,1.499
2020-05-25,1.45,1.431,1.47
2020-05-26,1.421,1.404,1.44
2020-05-27,1.421,1.403,1.438
2020-05-28,1.438,1.422,1.455
2020-05-29,1.453,1.436,1.469
2020-05-30,1.444,1.429,1.46
2020-05-31,1.434,1.419,1.449
2020-06-01,1.419,1.405,1.433
2020-06-02,1.384,1.371,1.398
2020-06-03,1.404,1.392,1.418
2020-06-04,1.393,1.381,1.405
2020-06-05,1.422,1.41,1.435
2020-06-06,1.419,1.407,1.431
2020-06-07,1.443,1.432,1.455
2020-06-08,1.433,1.422,1.445
2020-06-09,1.43,1.419,1.44
2020-06-10,1.428,1.418,1.439
2020-06-11,1.427,1.417,1.437
2020-06-12,1.427,1.418,1.437
2020-06-13,1.424,1.415,1.433
2020-06-14,1.408,1.4,1.417
2020-06-15,1.387,1.379,1.395
2020-06-16,1.37,1.363,1.378
2020-06-17,1.373,1.365,1.38
2020-06-18,1.365,1.358,1.372
2020-06-19,1.347,1.34,1.354
2020-06-20,1.339,1.333,1.346
2020-06-21,1.333,1.327,1.34
2020-06-22,1.318,1.312,1.324
2020-06-23,1.314,1.308,1.319
2020-06-24,1.31,1.304,1.315
2020-06-25,1.311,1.306,1.316
2020-06-26,1.292,1.287,1.297
2020-06-27,1.311,1.306,1.316
2020-06-28,1.301,1.296,1.306
2020-06-29,1.285,1.28,1.289
2020-06-30,1.278,1.274,1.283
2020-07-01,1.276,1.272,1.281
2020-07-02,1.265,1.261,1.269
2020-07-03,1.257,1.253,1.261
2020-07-04,1.247,1.243,1.251
2020-07-05,1.244,1.24,1.248
2020-07-06,1.238,1.234,1.242
2020-07-07,1.231,1.227,1.235
2020-07-08,1.227,1.224,1.231
2020-07-09,1.222,1.218,1.225
2020-07-10,1.215,1.211,1.218
2020-07-11,1.211,1.207,1.214
2020-07-12,1.206,1.203,1.209
2020-07-13,1.198,1.195,1.201
2020-07-14,1.192,1.189,1.195
2020-07-15,1.188,1.185,1.191
2020-07-16,1.183,1.18,1.186
2020-07-17,1.181,1.179,1.184
2020-07-18,1.177,1.175,1.18
2020-07-19,1.169,1.167,1.172
