"data","R0","LB","UB"
2020-03-26,5.104,0.027,33.809
2020-03-27,3.062,0.107,13.378
2020-03-28,2.26,0.209,7.651
2020-03-29,2.713,0.757,6.704
2020-03-30,1.428,0.294,3.607
2020-03-31,0.882,0.127,2.338
2020-04-01,0.603,0.063,1.688
2020-04-02,2.03,1.098,3.412
2020-04-03,1.948,1.156,3.065
2020-04-04,2.107,1.387,3.082
2020-04-05,1.986,1.375,2.787
2020-04-06,1.599,1.11,2.22
2020-04-07,1.345,0.934,1.853
2020-04-08,1.478,1.092,1.949
2020-04-09,1.402,1.059,1.814
2020-04-10,1.589,1.26,1.98
2020-04-11,1.709,1.399,2.074
2020-04-12,1.598,1.325,1.916
2020-04-13,1.512,1.267,1.793
2020-04-14,1.843,1.594,2.129
2020-04-15,1.661,1.446,1.904
2020-04-16,1.821,1.613,2.057
2020-04-17,1.848,1.655,2.064
2020-04-18,1.956,1.771,2.162
2020-04-19,1.897,1.732,2.081
2020-04-20,1.845,1.695,2.009
2020-04-21,1.701,1.571,1.844
2020-04-22,1.72,1.597,1.852
2020-04-23,1.66,1.549,1.78
2020-04-24,1.573,1.473,1.681
2020-04-25,1.608,1.513,1.71
2020-04-26,1.662,1.571,1.76
2020-04-27,1.574,1.492,1.662
2020-04-28,1.528,1.453,1.609
2020-04-29,1.452,1.383,1.525
2020-04-30,1.39,1.326,1.457
2020-05-01,1.497,1.433,1.564
2020-05-02,1.43,1.372,1.491
2020-05-03,1.374,1.32,1.43
2020-05-04,1.345,1.294,1.398
2020-05-05,1.36,1.311,1.411
2020-05-06,1.626,1.573,1.682
2020-05-07,1.603,1.554,1.655
2020-05-08,1.6,1.553,1.649
2020-05-09,1.603,1.558,1.649
2020-05-10,1.582,1.54,1.625
2020-05-11,1.566,1.527,1.607
2020-05-12,1.504,1.468,1.541
2020-05-13,1.508,1.474,1.543
2020-05-14,1.453,1.422,1.486
2020-05-15,1.445,1.415,1.476
2020-05-16,1.436,1.407,1.465
2020-05-17,1.436,1.409,1.464
2020-05-18,1.422,1.397,1.449
2020-05-19,1.411,1.386,1.436
2020-05-20,1.403,1.38,1.427
2020-05-21,1.366,1.344,1.388
2020-05-22,1.333,1.312,1.354
2020-05-23,1.38,1.36,1.401
2020-05-24,1.379,1.359,1.399
2020-05-25,1.346,1.328,1.365
2020-05-26,1.342,1.324,1.36
2020-05-27,1.336,1.319,1.354
2020-05-28,1.357,1.34,1.374
2020-05-29,1.351,1.335,1.367
2020-05-30,1.353,1.338,1.369
2020-05-31,1.35,1.335,1.365
2020-06-01,1.351,1.337,1.366
2020-06-02,1.344,1.33,1.358
2020-06-03,1.351,1.338,1.365
2020-06-04,1.325,1.312,1.338
2020-06-05,1.371,1.358,1.384
2020-06-06,1.381,1.368,1.393
2020-06-07,1.377,1.365,1.389
2020-06-08,1.368,1.357,1.38
2020-06-09,1.363,1.352,1.374
2020-06-10,1.357,1.347,1.368
2020-06-11,1.348,1.338,1.358
2020-06-12,1.331,1.321,1.341
2020-06-13,1.316,1.307,1.325
2020-06-14,1.296,1.288,1.305
2020-06-15,1.277,1.269,1.286
2020-06-16,1.262,1.254,1.27
2020-06-17,1.257,1.249,1.265
2020-06-18,1.255,1.247,1.262
2020-06-19,1.25,1.243,1.257
2020-06-20,1.253,1.245,1.26
2020-06-21,1.241,1.234,1.248
2020-06-22,1.229,1.223,1.236
2020-06-23,1.299,1.293,1.307
2020-06-24,1.297,1.291,1.304
2020-06-25,1.314,1.308,1.321
2020-06-26,1.327,1.32,1.334
2020-06-27,1.311,1.305,1.318
2020-06-28,1.327,1.321,1.333
2020-06-29,1.31,1.304,1.316
2020-06-30,1.295,1.29,1.301
2020-07-01,1.29,1.285,1.296
2020-07-02,1.327,1.322,1.333
2020-07-03,1.323,1.317,1.328
2020-07-04,1.312,1.307,1.317
2020-07-05,1.296,1.291,1.301
2020-07-06,1.28,1.275,1.284
2020-07-07,1.267,1.262,1.271
2020-07-08,1.255,1.251,1.26
2020-07-09,1.256,1.252,1.26
2020-07-10,1.259,1.255,1.263
2020-07-11,1.254,1.25,1.258
2020-07-12,1.246,1.242,1.25
2020-07-13,1.239,1.235,1.243
2020-07-14,1.231,1.228,1.235
2020-07-15,1.229,1.225,1.232
2020-07-16,1.226,1.223,1.23
2020-07-17,1.222,1.219,1.226
2020-07-18,1.216,1.213,1.219
2020-07-19,1.207,1.203,1.21
2020-07-20,1.199,1.196,1.202
2020-07-21,1.193,1.19,1.196
2020-07-22,1.194,1.191,1.197
2020-07-23,1.195,1.192,1.198
2020-07-24,1.195,1.192,1.198
2020-07-25,1.191,1.188,1.194
2020-07-26,1.186,1.183,1.189
2020-07-27,1.179,1.176,1.181
2020-07-28,1.174,1.172,1.177
2020-07-29,1.172,1.17,1.175
2020-07-30,1.169,1.166,1.171
2020-07-31,1.166,1.164,1.168
2020-08-01,1.164,1.162,1.167
2020-08-02,1.161,1.158,1.163
2020-08-03,1.154,1.152,1.157
2020-08-04,1.148,1.146,1.15
2020-08-05,1.15,1.148,1.152
2020-08-06,1.148,1.146,1.15
