"data","R0","LB","UB"
2020-03-13,10.294,0,1191.793
2020-03-14,0,0,16.23
2020-03-15,0,0,3.897
2020-03-16,0,0,1.641
2020-03-17,2.756,0.158,11.038
2020-03-18,1.214,0.014,5.131
2020-03-19,5.747,2.625,12.01
2020-03-20,6.051,3.469,10.482
2020-03-21,5.03,3.25,7.742
2020-03-22,5.412,3.891,7.55
2020-03-23,3.69,2.774,4.889
2020-03-24,3.307,2.598,4.196
2020-03-25,2.859,2.315,3.519
2020-03-26,3.27,2.757,3.88
2020-03-27,2.895,2.494,3.361
2020-03-28,2.346,2.045,2.689
2020-03-29,1.961,1.722,2.229
2020-03-30,1.941,1.728,2.177
2020-03-31,1.853,1.667,2.059
2020-04-01,1.936,1.763,2.126
2020-04-02,1.756,1.608,1.917
2020-04-03,1.879,1.738,2.031
2020-04-04,1.764,1.641,1.897
2020-04-05,1.62,1.512,1.736
2020-04-06,1.632,1.532,1.738
2020-04-07,1.585,1.494,1.682
2020-04-08,1.59,1.505,1.679
2020-04-09,1.528,1.451,1.609
2020-04-10,1.528,1.456,1.604
2020-04-11,1.439,1.374,1.507
2020-04-12,1.38,1.32,1.443
2020-04-13,1.328,1.272,1.386
2020-04-14,1.297,1.245,1.351
2020-04-15,1.288,1.239,1.339
2020-04-16,1.287,1.24,1.335
2020-04-17,1.271,1.227,1.317
2020-04-18,1.265,1.223,1.309
2020-04-19,1.244,1.204,1.285
2020-04-20,1.218,1.181,1.257
2020-04-21,1.212,1.176,1.249
2020-04-22,1.19,1.156,1.225
2020-04-23,1.199,1.166,1.232
2020-04-24,1.216,1.185,1.249
2020-04-25,1.222,1.192,1.253
2020-04-26,1.233,1.204,1.263
2020-04-27,1.226,1.198,1.254
2020-04-28,1.222,1.195,1.249
2020-04-29,1.239,1.213,1.266
2020-04-30,1.242,1.217,1.267
2020-05-01,1.259,1.235,1.283
2020-05-02,1.264,1.241,1.288
2020-05-03,1.252,1.23,1.275
2020-05-04,1.234,1.213,1.256
2020-05-05,1.234,1.214,1.255
2020-05-06,1.283,1.263,1.304
2020-05-07,1.277,1.258,1.297
2020-05-08,1.272,1.253,1.291
2020-05-09,1.317,1.299,1.336
2020-05-10,1.299,1.281,1.316
2020-05-11,1.279,1.262,1.296
2020-05-12,1.298,1.281,1.314
2020-05-13,1.291,1.275,1.307
2020-05-14,1.28,1.265,1.295
2020-05-15,1.273,1.258,1.287
2020-05-16,1.335,1.321,1.35
2020-05-17,1.313,1.299,1.327
2020-05-18,1.288,1.275,1.301
2020-05-19,1.267,1.254,1.28
2020-05-20,1.252,1.24,1.264
2020-05-21,1.356,1.343,1.369
2020-05-22,1.374,1.362,1.387
2020-05-23,1.382,1.371,1.395
2020-05-24,1.385,1.374,1.397
2020-05-25,1.365,1.354,1.376
2020-05-26,1.344,1.333,1.354
2020-05-27,1.333,1.323,1.343
2020-05-28,1.326,1.316,1.336
2020-05-29,1.372,1.362,1.382
2020-05-30,1.377,1.367,1.386
2020-05-31,1.369,1.36,1.378
2020-06-01,1.346,1.338,1.355
2020-06-02,1.329,1.321,1.337
2020-06-03,1.325,1.317,1.333
2020-06-04,1.322,1.314,1.33
2020-06-05,1.324,1.316,1.331
2020-06-06,1.323,1.315,1.33
2020-06-07,1.317,1.31,1.324
2020-06-08,1.299,1.293,1.306
2020-06-09,1.284,1.277,1.29
2020-06-10,1.282,1.276,1.288
2020-06-11,1.288,1.282,1.294
2020-06-12,1.285,1.279,1.291
2020-06-13,1.273,1.267,1.278
2020-06-14,1.263,1.257,1.268
2020-06-15,1.248,1.243,1.253
2020-06-16,1.251,1.246,1.256
2020-06-17,1.259,1.254,1.264
2020-06-18,1.258,1.253,1.262
2020-06-19,1.256,1.252,1.261
2020-06-20,1.256,1.251,1.261
2020-06-21,1.251,1.247,1.256
2020-06-22,1.241,1.237,1.245
2020-06-23,1.234,1.23,1.238
2020-06-24,1.239,1.235,1.244
2020-06-25,1.244,1.24,1.248
2020-06-26,1.245,1.242,1.249
2020-06-27,1.247,1.243,1.25
2020-06-28,1.245,1.241,1.249
2020-06-29,1.235,1.232,1.239
2020-06-30,1.228,1.225,1.231
2020-07-01,1.231,1.228,1.234
2020-07-02,1.233,1.229,1.236
2020-07-03,1.232,1.228,1.235
2020-07-04,1.232,1.229,1.235
2020-07-05,1.232,1.229,1.235
2020-07-06,1.224,1.221,1.227
2020-07-07,1.217,1.214,1.22
2020-07-08,1.219,1.216,1.221
2020-07-09,1.222,1.22,1.225
2020-07-10,1.219,1.216,1.221
2020-07-11,1.216,1.214,1.219
2020-07-12,1.215,1.213,1.218
2020-07-13,1.209,1.206,1.211
2020-07-14,1.202,1.2,1.205
2020-07-15,1.202,1.2,1.204
2020-07-16,1.201,1.198,1.203
2020-07-17,1.21,1.208,1.213
2020-07-18,1.209,1.207,1.211
2020-07-19,1.2,1.198,1.203
2020-07-20,1.193,1.191,1.195
2020-07-21,1.187,1.185,1.189
2020-07-22,1.191,1.189,1.193
2020-07-23,1.199,1.197,1.201
2020-07-24,1.198,1.196,1.2
2020-07-25,1.2,1.198,1.202
2020-07-26,1.2,1.198,1.202
2020-07-27,1.195,1.193,1.196
2020-07-28,1.188,1.186,1.189
2020-07-29,1.189,1.187,1.191
2020-07-30,1.189,1.188,1.191
2020-07-31,1.189,1.187,1.191
2020-08-01,1.182,1.18,1.184
2020-08-02,1.188,1.186,1.189
2020-08-03,1.182,1.181,1.184
2020-08-04,1.176,1.175,1.178
2020-08-05,1.176,1.175,1.178
2020-08-06,1.178,1.177,1.18
2020-08-07,1.178,1.177,1.18
2020-08-08,1.172,1.17,1.173
2020-08-09,1.178,1.176,1.179
