"data","R0","LB","UB"
2020-03-15,10.294,0,1191.793
2020-03-16,1,0,32.963
2020-03-17,0.597,0,11.097
2020-03-18,0.028,0,3.776
2020-03-19,4.424,1.109,12.513
2020-03-20,4.827,2.026,10.288
2020-03-21,7.077,4.166,11.94
2020-03-22,5.647,3.761,8.425
2020-03-23,3.953,2.801,5.516
2020-03-24,3.466,2.604,4.576
2020-03-25,3.212,2.531,4.056
2020-03-26,2.633,2.127,3.239
2020-03-27,2.559,2.132,3.059
2020-03-28,2.213,1.874,2.603
2020-03-29,2.068,1.782,2.393
2020-03-30,1.857,1.618,2.125
2020-03-31,1.787,1.577,2.02
2020-04-01,1.674,1.491,1.875
2020-04-02,1.557,1.396,1.732
2020-04-03,1.598,1.45,1.759
2020-04-04,1.54,1.406,1.684
2020-04-05,1.643,1.516,1.778
2020-04-06,1.577,1.463,1.698
2020-04-07,1.57,1.466,1.682
2020-04-08,1.561,1.465,1.664
2020-04-09,1.556,1.466,1.65
2020-04-10,1.848,1.756,1.946
2020-04-11,1.727,1.646,1.812
2020-04-12,1.616,1.544,1.692
2020-04-13,1.57,1.504,1.639
2020-04-14,1.536,1.475,1.6
2020-04-15,1.478,1.422,1.536
2020-04-16,1.433,1.382,1.487
2020-04-17,1.406,1.358,1.456
2020-04-18,1.375,1.33,1.422
2020-04-19,1.329,1.287,1.372
2020-04-20,1.319,1.279,1.36
2020-04-21,1.3,1.262,1.338
2020-04-22,1.275,1.24,1.312
2020-04-23,1.251,1.217,1.285
2020-04-24,1.249,1.217,1.282
2020-04-25,1.237,1.206,1.268
2020-04-26,1.218,1.189,1.248
2020-04-27,1.241,1.213,1.27
2020-04-28,1.276,1.249,1.304
2020-04-29,1.447,1.419,1.476
2020-04-30,1.426,1.4,1.453
2020-05-01,1.473,1.448,1.5
2020-05-02,1.421,1.397,1.445
2020-05-03,1.439,1.416,1.462
2020-05-04,1.433,1.411,1.456
2020-05-05,1.411,1.39,1.432
2020-05-06,1.404,1.385,1.425
2020-05-07,1.387,1.369,1.406
2020-05-08,1.379,1.361,1.397
2020-05-09,1.363,1.346,1.38
2020-05-10,1.355,1.339,1.371
2020-05-11,1.33,1.315,1.346
2020-05-12,1.315,1.3,1.33
2020-05-13,1.314,1.3,1.328
2020-05-14,1.298,1.285,1.312
2020-05-15,1.331,1.318,1.344
2020-05-16,1.327,1.314,1.34
2020-05-17,1.311,1.299,1.324
2020-05-18,1.295,1.284,1.307
2020-05-19,1.307,1.296,1.319
2020-05-20,1.303,1.292,1.314
2020-05-21,1.286,1.275,1.297
2020-05-22,1.272,1.262,1.282
2020-05-23,1.312,1.302,1.322
2020-05-24,1.298,1.289,1.308
2020-05-25,1.281,1.272,1.291
2020-05-26,1.272,1.263,1.281
2020-05-27,1.26,1.252,1.269
2020-05-28,1.261,1.253,1.27
2020-05-29,1.275,1.267,1.284
2020-05-30,1.282,1.274,1.29
2020-05-31,1.274,1.266,1.281
2020-06-01,1.266,1.259,1.274
2020-06-02,1.267,1.26,1.275
2020-06-03,1.256,1.249,1.263
2020-06-04,1.253,1.247,1.26
2020-06-05,1.255,1.248,1.261
2020-06-06,1.249,1.243,1.255
2020-06-07,1.248,1.242,1.254
2020-06-08,1.241,1.235,1.247
2020-06-09,1.231,1.226,1.237
2020-06-10,1.23,1.225,1.236
2020-06-11,1.227,1.222,1.233
2020-06-12,1.223,1.218,1.229
2020-06-13,1.216,1.211,1.221
2020-06-14,1.206,1.201,1.211
2020-06-15,1.196,1.191,1.201
2020-06-16,1.199,1.194,1.203
2020-06-17,1.197,1.193,1.202
2020-06-18,1.199,1.195,1.204
2020-06-19,1.2,1.195,1.204
2020-06-20,1.204,1.199,1.208
2020-06-21,1.207,1.203,1.211
2020-06-22,1.204,1.2,1.208
2020-06-23,1.199,1.195,1.203
2020-06-24,1.21,1.206,1.214
2020-06-25,1.224,1.22,1.228
2020-06-26,1.227,1.223,1.231
2020-06-27,1.229,1.225,1.232
2020-06-28,1.228,1.224,1.232
2020-06-29,1.223,1.22,1.227
2020-06-30,1.22,1.217,1.224
2020-07-01,1.224,1.221,1.227
2020-07-02,1.223,1.219,1.226
2020-07-03,1.225,1.222,1.228
2020-07-04,1.231,1.228,1.234
2020-07-05,1.235,1.232,1.238
2020-07-06,1.233,1.23,1.236
2020-07-07,1.229,1.226,1.232
2020-07-08,1.23,1.227,1.233
2020-07-09,1.231,1.228,1.233
2020-07-10,1.232,1.229,1.234
2020-07-11,1.233,1.23,1.235
2020-07-12,1.235,1.232,1.237
2020-07-13,1.23,1.228,1.233
2020-07-14,1.224,1.222,1.227
2020-07-15,1.228,1.225,1.23
2020-07-16,1.228,1.226,1.231
2020-07-17,1.228,1.225,1.23
2020-07-18,1.227,1.225,1.229
2020-07-19,1.221,1.219,1.224
2020-07-20,1.215,1.213,1.218
2020-07-21,1.211,1.209,1.213
2020-07-22,1.211,1.209,1.214
2020-07-23,1.216,1.214,1.218
2020-07-24,1.218,1.216,1.22
2020-07-25,1.22,1.218,1.222
2020-07-26,1.219,1.217,1.221
2020-07-27,1.215,1.213,1.217
2020-07-28,1.211,1.209,1.213
2020-07-29,1.215,1.213,1.216
2020-07-30,1.216,1.214,1.218
2020-07-31,1.22,1.218,1.221
2020-08-01,1.22,1.218,1.222
2020-08-02,1.219,1.217,1.221
2020-08-03,1.213,1.211,1.214
2020-08-04,1.206,1.205,1.208
2020-08-05,1.207,1.205,1.208
2020-08-06,1.207,1.205,1.208
2020-08-07,1.206,1.205,1.208
2020-08-08,1.205,1.203,1.206
2020-08-09,1.204,1.202,1.205
2020-08-10,1.198,1.197,1.2
